Orthogroup	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169
OG0002032	KAI3430573.1 hypothetical protein D9Q98_005166 [Chlorella vulgaris]	EIE24901.1 hypothetical protein COCSUDRAFT_14300 [Coccomyxa subellipsoidea C-169]
OG0002033	KAI3427161.1 hypothetical protein D9Q98_007098 [Chlorella vulgaris]	EIE18517.1 signal recognition particle protein [Coccomyxa subellipsoidea C-169]
OG0002034	KAI3424174.1 hypothetical protein D9Q98_009533 [Chlorella vulgaris]	EIE26093.1 hypothetical protein COCSUDRAFT_46488 [Coccomyxa subellipsoidea C-169]
OG0002035	KAI3433704.1 hypothetical protein D9Q98_003513 [Chlorella vulgaris]	EIE23790.1 DNA topoisomerase II [Coccomyxa subellipsoidea C-169]
OG0002037	KAI3427412.1 hypothetical protein D9Q98_010327 [Chlorella vulgaris]	EIE21291.1 antiviral helicase [Coccomyxa subellipsoidea C-169]
OG0002038	KAI3429604.1 hypothetical protein D9Q98_005690 [Chlorella vulgaris]	EIE24065.1 ribosomal protein L37 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]
OG0002039	KAI3438564.1 hypothetical protein D9Q98_000991 [Chlorella vulgaris]	EIE23880.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0002040	KAI3432213.1 hypothetical protein D9Q98_003775 [Chlorella vulgaris]	EIE26294.1 dihydroxy-acid dehydratase [Coccomyxa subellipsoidea C-169]
OG0002041	KAI3430493.1 hypothetical protein D9Q98_005088 [Chlorella vulgaris]	EIE24967.1 hypothetical protein COCSUDRAFT_83659_ partial [Coccomyxa subellipsoidea C-169]
OG0002042	KAI3429595.1 hypothetical protein D9Q98_005681 [Chlorella vulgaris]	EIE25420.1 starch branching enzyme [Coccomyxa subellipsoidea C-169]
OG0002043	KAI3430534.1 hypothetical protein D9Q98_005127 [Chlorella vulgaris]	EIE23695.1 DNA polymerase epsilon_ subunit B [Coccomyxa subellipsoidea C-169]
OG0002044	KAI3427239.1 hypothetical protein D9Q98_007174 [Chlorella vulgaris]	EIE20259.1 hypothetical protein COCSUDRAFT_37929 [Coccomyxa subellipsoidea C-169]
OG0002045	KAI3430519.1 hypothetical protein D9Q98_005112 [Chlorella vulgaris]	EIE23756.1 hypothetical protein COCSUDRAFT_53450 [Coccomyxa subellipsoidea C-169]
OG0002046	KAI3425978.1 hypothetical protein D9Q98_007946 [Chlorella vulgaris]	EIE20756.1 ribosomal protein S2 [Coccomyxa subellipsoidea C-169]
OG0002047	KAI3424994.1 hypothetical protein D9Q98_008375 [Chlorella vulgaris]	EIE22733.1 hypothetical protein COCSUDRAFT_66368_ partial [Coccomyxa subellipsoidea C-169]
OG0002048	KAI3435493.1 hypothetical protein D9Q98_001559 [Chlorella vulgaris]	EIE26746.1 aconitate hydratase [Coccomyxa subellipsoidea C-169]
OG0002049	KAI3430588.1 hypothetical protein D9Q98_005181 [Chlorella vulgaris]	EIE24780.1 DNA repair exonuclease [Coccomyxa subellipsoidea C-169]
OG0002050	KAI3437550.1 hypothetical protein D9Q98_000003 [Chlorella vulgaris]	EIE18147.1 hypothetical protein COCSUDRAFT_49369 [Coccomyxa subellipsoidea C-169]
OG0002051	KAI3437621.1 hypothetical protein D9Q98_000073 [Chlorella vulgaris]	EIE21089.1 Nop-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002052	KAI3425893.1 hypothetical protein D9Q98_007866 [Chlorella vulgaris]	EIE20699.1 hypothetical protein COCSUDRAFT_57268 [Coccomyxa subellipsoidea C-169], EIE20698.1 phosphatases II [Coccomyxa subellipsoidea C-169]
OG0002053	KAI3431000.1 hypothetical protein D9Q98_009402 [Chlorella vulgaris]	EIE19777.1 signal peptidase complex I_ partial [Coccomyxa subellipsoidea C-169]
OG0002054	KAI3430865.1 hypothetical protein D9Q98_009274 [Chlorella vulgaris]	EIE21301.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0002055	KAI3431465.1 hypothetical protein D9Q98_004517 [Chlorella vulgaris]	EIE25952.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]
OG0002056	KAI3431454.1 hypothetical protein D9Q98_004506 [Chlorella vulgaris]	EIE25802.1 small rab-related GTPase [Coccomyxa subellipsoidea C-169]
OG0002057	KAI3431377.1 hypothetical protein D9Q98_004431 [Chlorella vulgaris]	EIE22242.1 ATP-binding cassette transporter_ partial [Coccomyxa subellipsoidea C-169]
OG0002058	KAI3431467.1 hypothetical protein D9Q98_004519 [Chlorella vulgaris]	EIE25954.1 hypothetical protein COCSUDRAFT_12541 [Coccomyxa subellipsoidea C-169]
OG0002059	KAI3431317.1 hypothetical protein D9Q98_004375 [Chlorella vulgaris]	EIE23389.1 hypothetical protein COCSUDRAFT_15264 [Coccomyxa subellipsoidea C-169]
OG0002060	KAI3431481.1 hypothetical protein D9Q98_004533 [Chlorella vulgaris], KAI3431482.1 hypothetical protein D9Q98_004533 [Chlorella vulgaris]	EIE26012.1 mitochondrial inner membrane translocase [Coccomyxa subellipsoidea C-169], EIE18067.1 mitochondrial inner membrane translocase [Coccomyxa subellipsoidea C-169]
OG0002061	KAI3431459.1 hypothetical protein D9Q98_004511 [Chlorella vulgaris]	EIE26344.1 Cupredoxin [Coccomyxa subellipsoidea C-169]
OG0002062	KAI3425784.1 hypothetical protein D9Q98_007759 [Chlorella vulgaris]	EIE19573.1 PTR2-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002063	KAI3431326.1 hypothetical protein D9Q98_004384 [Chlorella vulgaris]	EIE26210.1 Polyprenyl synthetase [Coccomyxa subellipsoidea C-169]
OG0002064	KAI3431421.1 hypothetical protein D9Q98_004474 [Chlorella vulgaris]	EIE25894.1 ubiquitin conjugating enzyme [Coccomyxa subellipsoidea C-169]
OG0002065	KAI3431406.1 hypothetical protein D9Q98_004459 [Chlorella vulgaris]	EIE23420.1 hypothetical protein COCSUDRAFT_41669 [Coccomyxa subellipsoidea C-169]
OG0002066	KAI3431316.1 hypothetical protein D9Q98_004374 [Chlorella vulgaris]	EIE27053.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002068	KAI3433511.1 hypothetical protein D9Q98_003322 [Chlorella vulgaris]	EIE22107.1 Redoxin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002069	KAI3438432.1 hypothetical protein D9Q98_000863 [Chlorella vulgaris]	EIE22849.1 cytochrome P450_ C-22 desaturase [Coccomyxa subellipsoidea C-169]
OG0002070	KAI3438420.1 hypothetical protein D9Q98_000851 [Chlorella vulgaris]	EIE20614.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002071	KAI3438277.1 hypothetical protein D9Q98_000712 [Chlorella vulgaris]	EIE21970.1 hypothetical protein COCSUDRAFT_56415 [Coccomyxa subellipsoidea C-169]
OG0002072	KAI3432617.1 hypothetical protein D9Q98_004163 [Chlorella vulgaris]	EIE24579.1 porphobilinogen deaminase [Coccomyxa subellipsoidea C-169]
OG0002073	KAI3438306.1 hypothetical protein D9Q98_000740 [Chlorella vulgaris], KAI3438307.1 hypothetical protein D9Q98_000741 [Chlorella vulgaris]	EIE21960.1 40S ribosomal protein S16 [Coccomyxa subellipsoidea C-169]
OG0002074	KAI3433642.1 hypothetical protein D9Q98_003451 [Chlorella vulgaris]	EIE18677.1 hypothetical protein COCSUDRAFT_31575 [Coccomyxa subellipsoidea C-169]
OG0002075	KAI3433540.1 hypothetical protein D9Q98_003350 [Chlorella vulgaris]	EIE19377.1 myo-inositol-1-phosphate synthase_ partial [Coccomyxa subellipsoidea C-169]
OG0002076	KAI3433598.1 hypothetical protein D9Q98_003408 [Chlorella vulgaris], KAI3433597.1 hypothetical protein D9Q98_003408 [Chlorella vulgaris]	EIE18740.1 hypothetical protein COCSUDRAFT_38543 [Coccomyxa subellipsoidea C-169]
OG0002077	KAI3432666.1 hypothetical protein D9Q98_004210 [Chlorella vulgaris]	EIE20165.1 SMAD/FHA domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002078	KAI3425815.1 hypothetical protein D9Q98_007790 [Chlorella vulgaris], KAI3426273.1 hypothetical protein D9Q98_008648 [Chlorella vulgaris], KAI3436137.1 hypothetical protein D9Q98_002194 [Chlorella vulgaris]	EIE20126.1 hypothetical protein COCSUDRAFT_67495 [Coccomyxa subellipsoidea C-169]
OG0002079	KAI3433541.1 hypothetical protein D9Q98_003351 [Chlorella vulgaris]	EIE26934.1 hypothetical protein COCSUDRAFT_12206_ partial [Coccomyxa subellipsoidea C-169]
OG0002080	KAI3433551.1 hypothetical protein D9Q98_003362 [Chlorella vulgaris]	EIE23635.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0002081	KAI3425814.1 hypothetical protein D9Q98_007789 [Chlorella vulgaris]	EIE19179.1 hypothetical protein COCSUDRAFT_19880 [Coccomyxa subellipsoidea C-169]
OG0002082	KAI3438232.1 hypothetical protein D9Q98_000669 [Chlorella vulgaris]	EIE19930.1 20S proteasome alpha subunit D [Coccomyxa subellipsoidea C-169]
OG0002083	KAI3438303.1 hypothetical protein D9Q98_000737 [Chlorella vulgaris]	EIE21909.1 nascent polypeptide-associated complex_ alpha subunit [Coccomyxa subellipsoidea C-169]
OG0002084	KAI3438421.1 hypothetical protein D9Q98_000852 [Chlorella vulgaris]	EIE20615.1 tRNA-i_6_A37 modification enzyme MiaB [Coccomyxa subellipsoidea C-169]
OG0002085	KAI3428108.1 hypothetical protein D9Q98_006491 [Chlorella vulgaris]	EIE25479.1 hypothetical protein COCSUDRAFT_1587_ partial [Coccomyxa subellipsoidea C-169]
OG0002086	KAI3433513.1 hypothetical protein D9Q98_003324 [Chlorella vulgaris]	EIE24041.1 HIT-like protein [Coccomyxa subellipsoidea C-169]
OG0002087	KAI3438905.1 hypothetical protein D9Q98_001320 [Chlorella vulgaris], KAI3438906.1 hypothetical protein D9Q98_001320 [Chlorella vulgaris]	EIE22441.1 importin alpha [Coccomyxa subellipsoidea C-169]
OG0002088	KAI3438894.1 hypothetical protein D9Q98_001309 [Chlorella vulgaris]	EIE22447.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0002089	KAI3428074.1 hypothetical protein D9Q98_006458 [Chlorella vulgaris]	EIE25344.1 glutaminyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0002090	KAI3438888.1 hypothetical protein D9Q98_001303 [Chlorella vulgaris]	EIE22443.1 20S proteasome alpha subunit G [Coccomyxa subellipsoidea C-169]
OG0002091	KAI3438919.1 hypothetical protein D9Q98_001333 [Chlorella vulgaris]	EIE24807.1 NAD-binding D-isomer specific 2-hydroxyacid dehydrogenase [Coccomyxa subellipsoidea C-169], EIE22438.1 hypothetical protein COCSUDRAFT_37061 [Coccomyxa subellipsoidea C-169]
OG0002092	KAI3436789.1 hypothetical protein D9Q98_006200 [Chlorella vulgaris]	EIE23778.1 FtsJ-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002093	KAI3425694.1 hypothetical protein D9Q98_007671 [Chlorella vulgaris]	EIE27539.1 glycerol-3-phosphate permease-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002094	KAI3428093.1 hypothetical protein D9Q98_006476 [Chlorella vulgaris]	EIE25417.1 hypothetical protein COCSUDRAFT_40666 [Coccomyxa subellipsoidea C-169]
OG0002095	KAI3431557.1 hypothetical protein D9Q98_004606 [Chlorella vulgaris]	EIE25029.1 proteasome subunit alpha [Coccomyxa subellipsoidea C-169]
OG0002096	KAI3433480.1 hypothetical protein D9Q98_003292 [Chlorella vulgaris]	EIE26766.1 hypothetical protein COCSUDRAFT_46223 [Coccomyxa subellipsoidea C-169]
OG0002097	KAI3430350.1 hypothetical protein D9Q98_004945 [Chlorella vulgaris]	EIE20960.1 3-isopropylmalate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0002098	KAI3435952.1 hypothetical protein D9Q98_002010 [Chlorella vulgaris]	EIE21079.1 COP-II coat subunit [Coccomyxa subellipsoidea C-169]
OG0002099	KAI3432854.1 hypothetical protein D9Q98_010437 [Chlorella vulgaris]	EIE25711.1 threonyl-tRNA synthetase [Coccomyxa subellipsoidea C-169], EIE24047.1 threonyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0002100	KAI3434372.1 hypothetical protein D9Q98_002451 [Chlorella vulgaris]	EIE19872.1 amino acid transporter [Coccomyxa subellipsoidea C-169]
OG0002101	KAI3428828.1 hypothetical protein D9Q98_007645 [Chlorella vulgaris]	EIE20408.1 hypothetical protein COCSUDRAFT_67348 [Coccomyxa subellipsoidea C-169]
OG0002102	KAI3431483.1 hypothetical protein D9Q98_004534 [Chlorella vulgaris]	EIE27071.1 retrieval of early ER protein Rer1 [Coccomyxa subellipsoidea C-169]
OG0002103	KAI3430366.1 hypothetical protein D9Q98_004961 [Chlorella vulgaris]	EIE24888.1 acyl-CoA dehydrogenase NM domain-like protein [Coccomyxa subellipsoidea C-169]
OG0002104	KAI3430323.1 hypothetical protein D9Q98_004918 [Chlorella vulgaris]	EIE24792.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002105	KAI3428516.1 hypothetical protein D9Q98_007339 [Chlorella vulgaris]	EIE23138.1 ribosomal protein L5 [Coccomyxa subellipsoidea C-169]
OG0002106	KAI3431493.1 hypothetical protein D9Q98_004544 [Chlorella vulgaris]	EIE27090.1 ADP_ATP carrier protein [Coccomyxa subellipsoidea C-169], EIE27091.1 ADP_ATP carrier protein [Coccomyxa subellipsoidea C-169]
OG0002107	KAI3425101.1 hypothetical protein D9Q98_008479 [Chlorella vulgaris]	EIE20558.1 exocyst complex component Sec6 [Coccomyxa subellipsoidea C-169]
OG0002108	KAI3428523.1 hypothetical protein D9Q98_007346 [Chlorella vulgaris]	EIE19110.1 pyruvate decarboxylase [Coccomyxa subellipsoidea C-169]
OG0002109	KAI3434698.1 hypothetical protein D9Q98_002760 [Chlorella vulgaris]	EIE23353.1 E1 subunit of 2-oxoglutarate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0002110	KAI3434686.1 hypothetical protein D9Q98_002749 [Chlorella vulgaris]	EIE26133.1 DNA repair helicase rad25 [Coccomyxa subellipsoidea C-169]
OG0002111	KAI3432718.1 hypothetical protein D9Q98_004261 [Chlorella vulgaris]	EIE26300.1 hypothetical protein COCSUDRAFT_52293 [Coccomyxa subellipsoidea C-169], EIE26312.1 TRAUB-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002112	KAI3428808.1 hypothetical protein D9Q98_007625 [Chlorella vulgaris]	EIE25512.1 ribosomal protein L27 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]
OG0002113	KAI3436834.1 hypothetical protein D9Q98_006244 [Chlorella vulgaris], KAI3432768.1 hypothetical protein D9Q98_004308 [Chlorella vulgaris]	EIE26299.1 peptidase C19_ ubiquitin carboxyl-terminal hydrolase 2 [Coccomyxa subellipsoidea C-169], EIE26303.1 hypothetical protein COCSUDRAFT_58843 [Coccomyxa subellipsoidea C-169]
OG0002114	KAI3432758.1 hypothetical protein D9Q98_004298 [Chlorella vulgaris], KAI3432689.1 hypothetical protein D9Q98_004232 [Chlorella vulgaris]	EIE26457.1 hypothetical protein COCSUDRAFT_46095 [Coccomyxa subellipsoidea C-169]
OG0002115	KAI3436035.1 hypothetical protein D9Q98_002092 [Chlorella vulgaris]	EIE21592.1 serine decarboxylase [Coccomyxa subellipsoidea C-169]
OG0002116	KAI3428167.1 hypothetical protein D9Q98_006549 [Chlorella vulgaris], KAI3428168.1 hypothetical protein D9Q98_006549 [Chlorella vulgaris]	EIE25472.1 DEAD-box RNA helicase [Coccomyxa subellipsoidea C-169]
OG0002117	KAI3428471.1 hypothetical protein D9Q98_007296 [Chlorella vulgaris], KAI3428468.1 hypothetical protein D9Q98_007293 [Chlorella vulgaris]	EIE25372.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002118	KAI3436055.1 hypothetical protein D9Q98_002114 [Chlorella vulgaris]	EIE21177.1 hypothetical protein COCSUDRAFT_48305 [Coccomyxa subellipsoidea C-169]
OG0002119	KAI3425361.1 hypothetical protein D9Q98_009125 [Chlorella vulgaris], KAI3428204.1 hypothetical protein D9Q98_006584 [Chlorella vulgaris]	EIE18666.1 cytochrome b5 [Coccomyxa subellipsoidea C-169]
OG0002120	KAI3436080.1 hypothetical protein D9Q98_002138 [Chlorella vulgaris]	EIE21637.1 hypothetical protein COCSUDRAFT_30131 [Coccomyxa subellipsoidea C-169]
OG0002121	KAI3428197.1 hypothetical protein D9Q98_006577 [Chlorella vulgaris]	EIE25585.1 glutamate 5-kinase [Coccomyxa subellipsoidea C-169]
OG0002122	KAI3436063.1 hypothetical protein D9Q98_002121 [Chlorella vulgaris]	EIE21500.1 ERD2 protein [Coccomyxa subellipsoidea C-169]
OG0002123	KAI3436150.1 hypothetical protein D9Q98_002207 [Chlorella vulgaris]	EIE21616.1 hydroxyacylglutathione hydrolase [Coccomyxa subellipsoidea C-169]
OG0002124	KAI3428233.1 hypothetical protein D9Q98_006613 [Chlorella vulgaris]	EIE25013.1 GTP-binding protein Obg/CgtA [Coccomyxa subellipsoidea C-169]
OG0002125	KAI3428230.1 hypothetical protein D9Q98_006610 [Chlorella vulgaris]	EIE25327.1 hypothetical protein COCSUDRAFT_61549 [Coccomyxa subellipsoidea C-169]
OG0002127	KAI3437938.1 hypothetical protein D9Q98_000382 [Chlorella vulgaris]	EIE27430.1 vacuolar H+ ATPase V1 sector_ subunit C [Coccomyxa subellipsoidea C-169]
OG0002128	KAI3429738.1 hypothetical protein D9Q98_010053 [Chlorella vulgaris]	EIE24677.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002129	KAI3430858.1 hypothetical protein D9Q98_009267 [Chlorella vulgaris], KAI3431505.1 hypothetical protein D9Q98_004555 [Chlorella vulgaris]	EIE24362.1 DUF541-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002130	KAI3429897.1 hypothetical protein D9Q98_010208 [Chlorella vulgaris]	EIE24366.1 ATP-dependent protease La [Coccomyxa subellipsoidea C-169]
OG0002131	KAI3429867.1 hypothetical protein D9Q98_010178 [Chlorella vulgaris]	EIE20752.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002132	KAI3427269.1 hypothetical protein D9Q98_007201 [Chlorella vulgaris]	EIE19946.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169], EIE23609.1 mitochondrial carrier [Coccomyxa subellipsoidea C-169]
OG0002133	KAI3431588.1 hypothetical protein D9Q98_004638 [Chlorella vulgaris]	EIE23610.1 peptidase M14_ carboxypeptidase A [Coccomyxa subellipsoidea C-169]
OG0002134	KAI3429888.1 hypothetical protein D9Q98_010199 [Chlorella vulgaris]	EIE24341.1 hypothetical protein COCSUDRAFT_14707 [Coccomyxa subellipsoidea C-169]
OG0002135	KAI3429797.1 hypothetical protein D9Q98_010110 [Chlorella vulgaris]	EIE24665.1 hypothetical protein COCSUDRAFT_41001 [Coccomyxa subellipsoidea C-169]
OG0002136	KAI3430853.1 hypothetical protein D9Q98_009263 [Chlorella vulgaris], KAI3430854.1 hypothetical protein D9Q98_009263 [Chlorella vulgaris]	EIE19732.1 hypothetical protein COCSUDRAFT_44557 [Coccomyxa subellipsoidea C-169]
OG0002137	KAI3437921.1 hypothetical protein D9Q98_000366 [Chlorella vulgaris]	EIE27664.1 hypothetical protein COCSUDRAFT_11364 [Coccomyxa subellipsoidea C-169]
OG0002138	KAI3436824.1 hypothetical protein D9Q98_006234 [Chlorella vulgaris]	EIE23968.1 EF-hand [Coccomyxa subellipsoidea C-169]
OG0002139	KAI3428350.1 hypothetical protein D9Q98_006730 [Chlorella vulgaris]	EIE25331.1 60S ribosomal protein L10a [Coccomyxa subellipsoidea C-169]
OG0002140	KAI3425778.1 hypothetical protein D9Q98_007753 [Chlorella vulgaris], KAI3425780.1 hypothetical protein D9Q98_007755 [Chlorella vulgaris]	EIE22928.1 hypothetical protein COCSUDRAFT_53704 [Coccomyxa subellipsoidea C-169]
OG0002141	KAI3434789.1 hypothetical protein D9Q98_002847 [Chlorella vulgaris]	EIE23255.1 ribosomal protein L6 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]
OG0002142	KAI3428835.1 hypothetical protein D9Q98_007652 [Chlorella vulgaris]	EIE25173.1 Qc-snare protein_ Syn8/Syntaxin8-family [Coccomyxa subellipsoidea C-169]
OG0002143	KAI3435918.1 hypothetical protein D9Q98_001976 [Chlorella vulgaris]	EIE24962.1 hypothetical protein COCSUDRAFT_83654 [Coccomyxa subellipsoidea C-169]
OG0002144	KAI3429711.1 hypothetical protein D9Q98_005796 [Chlorella vulgaris]	EIE24063.1 hypothetical protein COCSUDRAFT_28593 [Coccomyxa subellipsoidea C-169]
OG0002145	KAI3424470.1 hypothetical protein D9Q98_010021 [Chlorella vulgaris]	EIE20718.1 hypothetical protein COCSUDRAFT_37603 [Coccomyxa subellipsoidea C-169]
OG0002146	KAI3435927.1 hypothetical protein D9Q98_001985 [Chlorella vulgaris]	EIE21163.1 NAD_P_-binding protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002147	KAI3436881.1 hypothetical protein D9Q98_006289 [Chlorella vulgaris]	EIE26729.1 ribosomal protein L13 [Coccomyxa subellipsoidea C-169]
OG0002148	KAI3428333.1 hypothetical protein D9Q98_006713 [Chlorella vulgaris]	EIE25530.1 hypothetical protein COCSUDRAFT_28078_ partial [Coccomyxa subellipsoidea C-169], EIE25531.1 NOL1/NOP2/sun family putative RNA met [Coccomyxa subellipsoidea C-169]
OG0002149	KAI3438555.1 hypothetical protein D9Q98_000983 [Chlorella vulgaris]	EIE20471.1 hypothetical protein COCSUDRAFT_48524 [Coccomyxa subellipsoidea C-169]
OG0002150	KAI3428344.1 hypothetical protein D9Q98_006724 [Chlorella vulgaris], KAI3428343.1 hypothetical protein D9Q98_006723 [Chlorella vulgaris]	EIE25079.1 hypothetical protein COCSUDRAFT_32551 [Coccomyxa subellipsoidea C-169]
OG0002152	KAI3436781.1 hypothetical protein D9Q98_006192 [Chlorella vulgaris]	EIE27019.1 hypothetical protein COCSUDRAFT_83578 [Coccomyxa subellipsoidea C-169]
OG0002153	KAI3438831.1 hypothetical protein D9Q98_001248 [Chlorella vulgaris]	EIE23969.1 subunit of the ESCRT-III complex [Coccomyxa subellipsoidea C-169]
OG0002154	KAI3428367.1 hypothetical protein D9Q98_006747 [Chlorella vulgaris]	EIE25307.1 hypothetical protein COCSUDRAFT_13851 [Coccomyxa subellipsoidea C-169]
OG0002155	KAI3436876.1 hypothetical protein D9Q98_006285 [Chlorella vulgaris], KAI3436877.1 hypothetical protein D9Q98_006285 [Chlorella vulgaris]	EIE26789.1 Rcd1-like protein [Coccomyxa subellipsoidea C-169]
OG0002156	KAI3429732.1 hypothetical protein D9Q98_010047 [Chlorella vulgaris]	EIE27424.1 hypothetical protein COCSUDRAFT_26724 [Coccomyxa subellipsoidea C-169]
OG0002157	KAI3429691.1 hypothetical protein D9Q98_005776 [Chlorella vulgaris]	EIE24183.1 serine glyoxylate aminotransferase [Coccomyxa subellipsoidea C-169]
OG0002158	KAI3436782.1 hypothetical protein D9Q98_006193 [Chlorella vulgaris]	EIE26617.1 hypothetical protein COCSUDRAFT_27128 [Coccomyxa subellipsoidea C-169]
OG0002159	KAI3435838.1 hypothetical protein D9Q98_001896 [Chlorella vulgaris]	EIE21633.1 phosphatidylinositol 3-kinase [Coccomyxa subellipsoidea C-169]
OG0002160	KAI3430616.1 hypothetical protein D9Q98_005208 [Chlorella vulgaris]	EIE25598.1 hypothetical protein COCSUDRAFT_22793 [Coccomyxa subellipsoidea C-169]
OG0002161	KAI3425297.1 hypothetical protein D9Q98_009063 [Chlorella vulgaris]	EIE20262.1 anthranilate synthase component [Coccomyxa subellipsoidea C-169]
OG0002162	KAI3424428.1 hypothetical protein D9Q98_009980 [Chlorella vulgaris]	EIE19209.1 60S ribosomal protein L5 [Coccomyxa subellipsoidea C-169]
OG0002163	KAI3435879.1 hypothetical protein D9Q98_001937 [Chlorella vulgaris]	EIE19617.1 Dor1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002164	KAI3432285.1 hypothetical protein D9Q98_003845 [Chlorella vulgaris], KAI3438827.1 hypothetical protein D9Q98_001244 [Chlorella vulgaris]	EIE23876.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0002165	KAI3434788.1 hypothetical protein D9Q98_002846 [Chlorella vulgaris]	EIE23625.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0002166	KAI3435932.1 hypothetical protein D9Q98_001990 [Chlorella vulgaris]	EIE21123.1 transducin family protein [Coccomyxa subellipsoidea C-169]
OG0002167	KAI3434792.1 hypothetical protein D9Q98_002850 [Chlorella vulgaris]	EIE23744.1 transcription initiation factor IIA_ gamma subunit [Coccomyxa subellipsoidea C-169]
OG0002168	KAI3435893.1 hypothetical protein D9Q98_001951 [Chlorella vulgaris]	EIE21726.1 hypothetical protein COCSUDRAFT_83515 [Coccomyxa subellipsoidea C-169]
OG0002169	KAI3438410.1 hypothetical protein D9Q98_000841 [Chlorella vulgaris]	EIE20453.1 hypothetical protein COCSUDRAFT_30620 [Coccomyxa subellipsoidea C-169]
OG0002170	KAI3428685.1 hypothetical protein D9Q98_007508 [Chlorella vulgaris]	EIE27235.1 hypothetical protein COCSUDRAFT_38960 [Coccomyxa subellipsoidea C-169]
OG0002171	KAI3426103.1 hypothetical protein D9Q98_008071 [Chlorella vulgaris]	EIE20839.1 carbamoyl-phosphate synthase [Coccomyxa subellipsoidea C-169]
OG0002172	KAI3428683.1 hypothetical protein D9Q98_007506 [Chlorella vulgaris]	EIE27280.1 ribosomal protein L32e [Coccomyxa subellipsoidea C-169]
OG0002173	KAI3428690.1 hypothetical protein D9Q98_007513 [Chlorella vulgaris]	EIE27234.1 AAA-ATPase of VPS4/SKD1 family [Coccomyxa subellipsoidea C-169]
OG0002174	KAI3426085.1 hypothetical protein D9Q98_008053 [Chlorella vulgaris]	EIE20846.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0002175	KAI3426102.1 hypothetical protein D9Q98_008070 [Chlorella vulgaris]	EIE20837.1 Diphthine synthase [Coccomyxa subellipsoidea C-169]
OG0002176	KAI3428753.1 hypothetical protein D9Q98_007575 [Chlorella vulgaris]	EIE25467.1 protoheme IX farnesyltransferase [Coccomyxa subellipsoidea C-169]
OG0002177	KAI3428693.1 hypothetical protein D9Q98_007516 [Chlorella vulgaris]	EIE27283.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0002178	KAI3438269.1 hypothetical protein D9Q98_000704 [Chlorella vulgaris]	EIE18266.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0002179	KAI3428653.1 hypothetical protein D9Q98_007476 [Chlorella vulgaris]	EIE27254.1 breast carcinoma amplified sequence 2 [Coccomyxa subellipsoidea C-169]
OG0002180	KAI3426076.1 hypothetical protein D9Q98_008044 [Chlorella vulgaris]	EIE20891.1 TRAPP I complex [Coccomyxa subellipsoidea C-169]
OG0002181	KAI3428658.1 hypothetical protein D9Q98_007481 [Chlorella vulgaris]	EIE19834.1 DUF28-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002182	KAI3436708.1 hypothetical protein D9Q98_006123 [Chlorella vulgaris]	EIE26367.1 DUF846-domain-containing protein [Coccomyxa subellipsoidea C-169]
