Orthogroup	Micractinium_SAG24180	Coccomyxa_SubellipsoideaC169
OG0002677	PSC67404.1 FAD synthase [Micractinium conductrix]	EIE21624.1 hypothetical protein COCSUDRAFT_17414_ partial [Coccomyxa subellipsoidea C-169]
OG0002678	PSC70843.1 leukocyte receptor cluster member 8-like protein [Micractinium conductrix]	EIE23285.1 hypothetical protein COCSUDRAFT_63639 [Coccomyxa subellipsoidea C-169]
OG0002680	PSC67396.1 G3BP isoform X1 [Micractinium conductrix]	EIE21720.1 hypothetical protein COCSUDRAFT_83509 [Coccomyxa subellipsoidea C-169]
OG0002681	PSC75200.1 centromere J-like isoform X1 [Micractinium conductrix]	EIE27531.1 hypothetical protein COCSUDRAFT_55530 [Coccomyxa subellipsoidea C-169]
OG0002682	PSC71367.1 phosphoglycolate phosphatase [Micractinium conductrix]	EIE26103.1 2-phosphoglycolate phosphatase [Coccomyxa subellipsoidea C-169]
OG0002683	PSC73804.1 UDP-N-acetylglucosamine UDP-glucose GDP-mannose transporter [Micractinium conductrix]	EIE21556.1 hypothetical protein COCSUDRAFT_37348 [Coccomyxa subellipsoidea C-169], EIE25911.1 hypothetical protein COCSUDRAFT_64896 [Coccomyxa subellipsoidea C-169]
OG0002684	PSC75513.1 rRNA-processing UTP23-like protein [Micractinium conductrix]	EIE18513.1 hypothetical protein COCSUDRAFT_9312_ partial [Coccomyxa subellipsoidea C-169]
OG0002685	PSC69671.1 Oxysterol-binding 9 [Micractinium conductrix]	EIE26837.1 hypothetical protein COCSUDRAFT_64679 [Coccomyxa subellipsoidea C-169]
OG0002686	PSC75788.1 CMP-sialic acid transporter 3-like [Micractinium conductrix]	EIE18473.1 nucleotide-sugar transporter [Coccomyxa subellipsoidea C-169]
OG0002687	PSC75148.1 putative ribosome-binding factor chloroplastic [Micractinium conductrix]	EIE24234.1 ribosome-binding factor A [Coccomyxa subellipsoidea C-169]
OG0002688	PSC73331.1 putative phenylalanine-tRNA ligase beta subunit [Micractinium conductrix]	EIE26073.1 phenylalanyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0002689	PSC75043.1 Mitochondrial substrate carrier family B [Micractinium conductrix]	EIE27555.1 MC family transporter_ aspartate/glutamate_ partial [Coccomyxa subellipsoidea C-169]
OG0002690	PSC71393.1 Ribosome production factor 1 isoform A [Micractinium conductrix]	EIE20599.1 Brix-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002691	PSC70445.1 5 -nucleotidase domain-containing 4-like isoform X2 [Micractinium conductrix]	EIE22291.1 purine 5'-nucleotidase [Coccomyxa subellipsoidea C-169]
OG0002692	PSC68694.1 chloroplast precursor [Micractinium conductrix]	EIE18320.1 Plastocyanin_ chloroplastic [Coccomyxa subellipsoidea C-169]
OG0002693	PSC73914.1 serine threonine-phosphatase 2A activator [Micractinium conductrix]	EIE22572.1 PTPA-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002694	PSC67609.1 Glycerophosphodiester phosphodiesterase GDE1 isoform A [Micractinium conductrix], PSC67608.1 Glycerophosphodiester phosphodiesterase GDE1 isoform B [Micractinium conductrix]	EIE26034.1 PLC-like phosphodiesterase [Coccomyxa subellipsoidea C-169]
OG0002695	PSC74864.1 WD repeat-containing 20-like [Micractinium conductrix]	EIE24697.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0002697	PSC74853.1 mitochondrial import inner membrane translocase subunit TIM44-2-like [Micractinium conductrix]	EIE24514.1 Tim44-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002698	PSC69655.1 Mitochondrial ribosomal L37 isoform 1 [Micractinium conductrix]	EIE26799.1 hypothetical protein COCSUDRAFT_59307 [Coccomyxa subellipsoidea C-169]
OG0002699	PSC68805.1 ribosomal RNA large subunit methyltransferase N [Micractinium conductrix]	EIE26063.1 hypothetical protein COCSUDRAFT_61059 [Coccomyxa subellipsoidea C-169]
OG0002701	PSC76775.1 UDP-galactose UDP-glucose transporter 5 [Micractinium conductrix]	EIE27556.1 DMT family transporter_ UDP-galactose/UDP-glucose [Coccomyxa subellipsoidea C-169]
OG0002702	PSC69965.1 ATP-citrate synthase beta chain 2 [Micractinium conductrix]	EIE23122.1 citrate synthase [Coccomyxa subellipsoidea C-169]
OG0002703	PSC75735.1 Beta-1_3-galactosyltransferase 15 [Micractinium conductrix]	EIE18565.1 hypothetical protein COCSUDRAFT_60232 [Coccomyxa subellipsoidea C-169]
OG0002704	PSC75014.1 ATP-dependent RNA helicase DDX1 [Micractinium conductrix]	EIE24518.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002705	PSC76816.1 DNA polymerase lambda [Micractinium conductrix]	EIE18020.1 hypothetical protein COCSUDRAFT_60646 [Coccomyxa subellipsoidea C-169]
OG0002707	PSC71392.1 Ribosome production factor 1 isoform B [Micractinium conductrix]	EIE19789.1 purine and uridine phosphorylase [Coccomyxa subellipsoidea C-169]
OG0002708	PSC73877.1 hypothetical protein C2E20_3159 [Micractinium conductrix]	EIE21268.1 hypothetical protein COCSUDRAFT_25004_ partial [Coccomyxa subellipsoidea C-169]
OG0002709	PSC69529.1 hypothetical protein C2E20_6955 [Micractinium conductrix]	EIE27547.1 hypothetical protein COCSUDRAFT_34863 [Coccomyxa subellipsoidea C-169]
OG0002710	PSC68711.1 Regulatory-associated of TOR 1 [Micractinium conductrix]	EIE23195.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0002711	PSC68243.1 cytidine deaminase 1 [Micractinium conductrix]	EIE20643.1 cytidine deaminase-like protein [Coccomyxa subellipsoidea C-169]
OG0002712	PSC68287.1 Nudix hydrolase chloroplastic [Micractinium conductrix]	EIE26158.1 hypothetical protein COCSUDRAFT_40300 [Coccomyxa subellipsoidea C-169], EIE26161.1 hypothetical protein COCSUDRAFT_10765_ partial [Coccomyxa subellipsoidea C-169]
OG0002713	PSC72544.1 ALG-2 interacting X-like [Micractinium conductrix]	EIE22065.1 BRO1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002714	PSC76755.1 Casein kinase II subunit beta [Micractinium conductrix]	EIE24605.1 hypothetical protein COCSUDRAFT_22902 [Coccomyxa subellipsoidea C-169]
OG0002715	PSC72415.1 Ornithine chloroplastic [Micractinium conductrix]	EIE22039.1 ornithine carbamoyltransferase [Coccomyxa subellipsoidea C-169]
OG0002716	PSC69287.1 malignant T-cell-amplified sequence 1-like protein [Micractinium conductrix]	EIE25941.1 hypothetical protein COCSUDRAFT_12599 [Coccomyxa subellipsoidea C-169]
OG0002717	PSC69291.1 THO complex subunit 1 isoform X1 isoform B [Micractinium conductrix], PSC69290.1 THO complex subunit 1 isoform X1 isoform A [Micractinium conductrix]	EIE25850.1 hypothetical protein COCSUDRAFT_64866 [Coccomyxa subellipsoidea C-169]
OG0002718	PSC76397.1 chlorophyll_ide_ b reductase chloroplastic isoform X2 [Micractinium conductrix]	EIE21732.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0002719	PSC76212.1 DNA replication complex GINS SLD5 [Micractinium conductrix]	EIE19067.1 GINS complex_ Sld5 component [Coccomyxa subellipsoidea C-169]
OG0002720	PSC69195.1 RNA polymerase II-associated factor 1 [Micractinium conductrix]	EIE25956.1 hypothetical protein COCSUDRAFT_64915 [Coccomyxa subellipsoidea C-169]
OG0002721	PSC75626.1 geranylgeranyl reductase [Micractinium conductrix]	EIE18171.1 putative plastid geranylgeranyl reductase precursor [Coccomyxa subellipsoidea C-169]
OG0002722	PSC69140.1 CMF receptor CMFR1 [Micractinium conductrix]	EIE24575.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002723	PSC74843.1 DNA-directed RNA polymerase chloroplastic mitochondrial [Micractinium conductrix]	EIE23799.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]
OG0002724	PSC67135.1 Serine threonine-kinase chloroplastic [Micractinium conductrix], PSC69101.1 Serine threonine-kinase chloroplastic [Micractinium conductrix]	EIE24576.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0002725	PSC68280.1 ATP-dependent RNA helicase isoform X1 [Micractinium conductrix]	EIE25583.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002726	PSC70134.1 melanoma antigen 2 [Micractinium conductrix], PSC75092.1 hypothetical protein C2E20_2069 [Micractinium conductrix]	EIE23783.1 hypothetical protein COCSUDRAFT_63305 [Coccomyxa subellipsoidea C-169]
OG0002727	PSC71633.1 phytoene desaturase [Micractinium conductrix]	EIE22688.1 Phytoene desaturase [Coccomyxa subellipsoidea C-169]
OG0002728	PSC70005.1 DNA topoisomerase 1 [Micractinium conductrix]	EIE23767.1 DNA topoisomerase I [Coccomyxa subellipsoidea C-169]
OG0002729	PSC68247.1 putative glucan 1_3-alpha-glucosidase [Micractinium conductrix]	EIE20951.1 glycoside-hydrolase-like protein [Coccomyxa subellipsoidea C-169]
OG0002730	PSC70196.1 Cleavage and polyadenylation specificity factor CPSF30 [Micractinium conductrix]	EIE20850.1 hypothetical protein COCSUDRAFT_9790_ partial [Coccomyxa subellipsoidea C-169]
OG0002731	PSC70197.1 ATPase family AAA domain-containing 3-B [Micractinium conductrix]	EIE18960.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002732	PSC75644.1 exocyst complex component SEC15A [Micractinium conductrix]	EIE26166.1 hypothetical protein COCSUDRAFT_65015 [Coccomyxa subellipsoidea C-169]
OG0002733	PSC70060.1 Trafficking particle complex subunit 3 [Micractinium conductrix]	EIE20894.1 TRAPP I complex [Coccomyxa subellipsoidea C-169]
OG0002735	PSC71517.1 proteasome subunit beta type-3-A [Micractinium conductrix]	EIE22037.1 N-terminal nucleophile aminohydrolase [Coccomyxa subellipsoidea C-169]
OG0002736	PSC67305.1 DNA topoisomerase 3-alpha [Micractinium conductrix]	EIE27522.1 prokaryotic type I DNA topoisomerase [Coccomyxa subellipsoidea C-169]
OG0002737	PSC67360.1 1-_5-phosphoribosyl_-5-[_5-phosphoribosylami no_methylideneamino] imidazole-4-carboxamide chloroplastic [Micractinium conductrix]	EIE20230.1 phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase [Coccomyxa subellipsoidea C-169]
OG0002738	PSC75628.1 U4 small nuclear ribonucleo 27 kDa [Micractinium conductrix]	EIE26845.1 DUF1777-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002739	PSC76609.1 dynein light chain Tctex-type [Micractinium conductrix]	EIE23536.1 dynein light chain 9_ partial [Coccomyxa subellipsoidea C-169]
OG0002740	PSC69043.1 N-alpha-acetyltransferase 50 [Micractinium conductrix]	EIE24392.1 acyl-CoA N-acyltransferase [Coccomyxa subellipsoidea C-169]
OG0002741	PSC69071.1 T-complex 1 subunit delta [Micractinium conductrix]	EIE19120.1 T-complex protein_ delta subunit [Coccomyxa subellipsoidea C-169]
OG0002742	PSC74629.1 enoyl hydratase isomerase [Micractinium conductrix]	EIE24631.1 ClpP/crotonase [Coccomyxa subellipsoidea C-169]
OG0002743	PSC69588.1 Isoamylase chloroplastic [Micractinium conductrix]	EIE26827.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]
OG0002745	PSC74916.1 Kinetochore NDC80 [Micractinium conductrix]	EIE20252.1 hypothetical protein COCSUDRAFT_25458 [Coccomyxa subellipsoidea C-169]
OG0002746	PSC70160.1 putative hydrolase [Micractinium conductrix]	EIE20918.1 HAD-like protein [Coccomyxa subellipsoidea C-169]
OG0002747	PSC74391.1 DEAD-box ATP-dependent RNA helicase 16 [Micractinium conductrix]	EIE24238.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002748	PSC69031.1 phosphatidylinositol synthase [Micractinium conductrix]	EIE18206.1 CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Coccomyxa subellipsoidea C-169]
OG0002749	PSC68651.1 hypothetical protein C2E20_7792 [Micractinium conductrix]	EIE22565.1 hypothetical protein COCSUDRAFT_66283 [Coccomyxa subellipsoidea C-169]
OG0002750	PSC71424.1 DUF747 family [Micractinium conductrix]	EIE21001.1 DUF747-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002751	PSC76759.1 serine threonine kinase [Micractinium conductrix]	EIE21372.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0002753	PSC74642.1 coatomer subunit beta -1 isoform X1 [Micractinium conductrix]	EIE20843.1 coatomer protein complex_ beta prime [Coccomyxa subellipsoidea C-169]
OG0002754	PSC72697.1 replication factor C subunit 2 [Micractinium conductrix]	EIE25788.1 putative replication factor C 37 kDa subunit [Coccomyxa subellipsoidea C-169]
OG0002755	PSC68592.1 50S ribosomal L1 [Micractinium conductrix]	EIE22593.1 ribosomal protein L1 [Coccomyxa subellipsoidea C-169]
OG0002756	PSC71663.1 Pre-mRNA-splicing factor CWC21 [Micractinium conductrix]	EIE26609.1 hypothetical protein COCSUDRAFT_64574 [Coccomyxa subellipsoidea C-169]
OG0002757	PSC68932.1 NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 [Micractinium conductrix]	EIE22808.1 complex 1 family protein-like protein [Coccomyxa subellipsoidea C-169]
OG0002758	PSC72489.1 hypothetical protein C2E20_4316 [Micractinium conductrix]	EIE25146.1 hypothetical protein COCSUDRAFT_52776 [Coccomyxa subellipsoidea C-169]
OG0002759	PSC71207.1 U4 tri-snRNP-associated 2 [Micractinium conductrix]	EIE21145.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]
OG0002760	PSC72552.1 ALG-2 interacting isoform A [Micractinium conductrix], PSC72553.1 ALG-2 interacting isoform B [Micractinium conductrix]	EIE25422.1 hypothetical protein COCSUDRAFT_65239 [Coccomyxa subellipsoidea C-169]
OG0002762	PSC67478.1 aci-reductone dioxygenase [Micractinium conductrix]	EIE26677.1 aci-reductone dioxygenase [Coccomyxa subellipsoidea C-169]
OG0002763	PSC76318.1 hypothetical protein C2E20_0864 [Micractinium conductrix]	EIE18568.1 hypothetical protein COCSUDRAFT_9085_ partial [Coccomyxa subellipsoidea C-169]
OG0002764	PSC71620.1 50S ribosomal L19 [Micractinium conductrix]	EIE27013.1 hypothetical protein COCSUDRAFT_83572 [Coccomyxa subellipsoidea C-169]
OG0002765	PSC70180.1 ribosome biogenesis NSA2-like protein [Micractinium conductrix]	EIE20916.1 low-CO2-inducible protein [Coccomyxa subellipsoidea C-169]
OG0002766	PSC77038.1 Tetratricopeptide repeat 1 [Micractinium conductrix]	EIE21525.1 hypothetical protein COCSUDRAFT_66932 [Coccomyxa subellipsoidea C-169]
OG0002767	PSC74470.1 60S ribosomal L18-3 [Micractinium conductrix]	EIE19091.1 ribosomal protein L18 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]
OG0002768	PSC74381.1 hypothetical protein C2E20_2190 [Micractinium conductrix]	EIE26179.1 hypothetical protein COCSUDRAFT_8646_ partial [Coccomyxa subellipsoidea C-169]
OG0002769	PSC71654.1 40S ribosomal S13 [Micractinium conductrix]	EIE26389.1 hypothetical protein COCSUDRAFT_21671 [Coccomyxa subellipsoidea C-169]
OG0002770	PSC74709.1 60S ribosomal L7 [Micractinium conductrix]	EIE19109.1 60S ribosomal protein L7 [Coccomyxa subellipsoidea C-169]
OG0002771	PSC71465.1 PAT1-like protein 1-like isoform X2 [Micractinium conductrix]	EIE24972.1 hypothetical protein COCSUDRAFT_83665 [Coccomyxa subellipsoidea C-169]
OG0002772	PSC69044.1 RTF2-like protein [Micractinium conductrix]	EIE21674.1 DUF602-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002773	PSC76066.1 chlorophyll synthetase [Micractinium conductrix]	EIE25828.1 chlorophyll synthase [Coccomyxa subellipsoidea C-169]
OG0002774	PSC72619.1 peroxisomal nicotinamide adenine dinucleotide carrier [Micractinium conductrix]	EIE18930.1 mitochondrial carrier [Coccomyxa subellipsoidea C-169]
OG0002775	PSC74784.1 TIC chloroplastic [Micractinium conductrix]	EIE19155.1 hypothetical protein COCSUDRAFT_59638 [Coccomyxa subellipsoidea C-169]
OG0002776	PSC69054.1 Translation initiation factor eIF-2B subunit alpha [Micractinium conductrix]	EIE21780.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]
OG0002778	PSC67984.1 Pre-mRNA-splicing factor 38A [Micractinium conductrix]	EIE23805.1 PRP38-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002779	PSC71272.1 dolichyl-diphosphooligosaccharide-glycosyltransferase 48 kDa subunit [Micractinium conductrix]	EIE21680.1 Dolichyl-diphosphooligosaccharide-protein glycosyltransferase 48kDa subunit [Coccomyxa subellipsoidea C-169]
OG0002780	PSC73374.1 DNA polymerase delta catalytic subunit [Micractinium conductrix]	EIE26585.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]
OG0002781	PSC72756.1 nucleotide-diphospho-sugar transferase [Micractinium conductrix]	EIE26657.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169]
OG0002782	PSC76337.1 NEDD8-conjugating enzyme Ubc12 [Micractinium conductrix]	EIE18874.1 RUB1 conjugating enzyme [Coccomyxa subellipsoidea C-169]
OG0002783	PSC72360.1 LETM1 and EF-hand domain-containing anon-mitochondrial [Micractinium conductrix]	EIE25017.1 hypothetical protein COCSUDRAFT_40379 [Coccomyxa subellipsoidea C-169]
OG0002784	PSC76721.1 putative membrane -like isoform X2 isoform B [Micractinium conductrix], PSC76722.1 putative membrane -like isoform X2 isoform A [Micractinium conductrix]	EIE21689.1 DUF819-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002785	PSC75419.1 chloride channel C-like [Micractinium conductrix]	EIE21237.1 Clc chloride channel [Coccomyxa subellipsoidea C-169]
OG0002786	PSC72715.1 nucleolar 6 [Micractinium conductrix]	EIE23350.1 hypothetical protein COCSUDRAFT_65874 [Coccomyxa subellipsoidea C-169]
OG0002787	PSC75593.1 calcineurin-like phosphoesterase [Micractinium conductrix]	EIE19713.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]
OG0002788	PSC76909.1 hypothetical protein C2E20_0693 [Micractinium conductrix]	EIE24028.1 hypothetical protein COCSUDRAFT_47107 [Coccomyxa subellipsoidea C-169]
OG0002789	PSC76831.1 DAMAGED DNA-BINDING 2 [Micractinium conductrix]	EIE21482.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002790	PSC73272.1 E3 ubiquitin-ligase HOS1 [Micractinium conductrix]	EIE19378.1 hypothetical protein COCSUDRAFT_44718 [Coccomyxa subellipsoidea C-169]
OG0002791	PSC75749.1 tRNA threonylcarbamoyladenosine biosynthesis [Micractinium conductrix]	EIE25100.1 hypothetical protein COCSUDRAFT_9560_ partial [Coccomyxa subellipsoidea C-169]
OG0002792	PSC76412.1 T-complex 1 subunit eta [Micractinium conductrix]	EIE21118.1 T-complex protein_ eta subunit [Coccomyxa subellipsoidea C-169]
OG0002793	PSC73353.1 chloroplastic isoform X2 [Micractinium conductrix]	EIE19305.1 hypothetical protein COCSUDRAFT_31183 [Coccomyxa subellipsoidea C-169]
OG0002794	PSC71806.1 vacuolar sorting-associated 51-like protein [Micractinium conductrix]	EIE21455.1 hypothetical protein COCSUDRAFT_66895 [Coccomyxa subellipsoidea C-169]
OG0002796	PSC73397.1 hypothetical protein C2E20_3292 isoform B [Micractinium conductrix], PSC73396.1 hypothetical protein C2E20_3292 isoform A [Micractinium conductrix]	EIE19408.1 hypothetical protein COCSUDRAFT_67882 [Coccomyxa subellipsoidea C-169]
OG0002797	PSC71717.1 Lysosomal Cystine Transporter _LCT_ Family [Micractinium conductrix]	EIE22930.1 hypothetical protein COCSUDRAFT_83702 [Coccomyxa subellipsoidea C-169]
OG0002798	PSC75869.1 50S ribosomal L22 [Micractinium conductrix]	EIE19413.1 hypothetical protein COCSUDRAFT_25855 [Coccomyxa subellipsoidea C-169]
OG0002800	PSC68355.1 adenylate kinase [Micractinium conductrix]	EIE21133.1 adenylate kinase [Coccomyxa subellipsoidea C-169]
OG0002801	PSC72936.1 Uroporphyrinogen decarboxylase [Micractinium conductrix]	EIE26752.1 Uroporphyrinogen decarboxylase [Coccomyxa subellipsoidea C-169]
OG0002803	PSC75846.1 condensin complex subunit 2 [Micractinium conductrix]	EIE23131.1 barren-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002804	PSC72804.1 replication factor C subunit 2 [Micractinium conductrix]	EIE22173.1 DNA replication factor C complex subunit 2 [Coccomyxa subellipsoidea C-169]
OG0002805	PSC73520.1 endoplasmic reticulum oxidoreductin-1-like [Micractinium conductrix]	EIE26380.1 endoplasmic reticulum oxidoreductin 1 [Coccomyxa subellipsoidea C-169]
OG0002806	PSC73480.1 Nucleoporin NUP53 [Micractinium conductrix]	EIE26834.1 hypothetical protein COCSUDRAFT_59342 [Coccomyxa subellipsoidea C-169]
OG0002807	PSC72765.1 kDa vesicle transport [Micractinium conductrix]	EIE22158.1 R-SNARE protein_ Sec22-family [Coccomyxa subellipsoidea C-169]
OG0002808	PSC76062.1 zeta-carotene desaturase [Micractinium conductrix]	EIE25948.1 zeta-carotene desaturase [Coccomyxa subellipsoidea C-169]
OG0002809	PSC72638.1 splicing factor u2af 65 kda [Micractinium conductrix]	EIE26777.1 hypothetical protein COCSUDRAFT_64653 [Coccomyxa subellipsoidea C-169]
OG0002810	PSC72789.1 Seven transmembrane 1 [Micractinium conductrix]	EIE26751.1 hypothetical protein COCSUDRAFT_32261_ partial [Coccomyxa subellipsoidea C-169]
OG0002811	PSC76507.1 7-hydroxymethyl chlorophyll a chloroplastic [Micractinium conductrix]	EIE24393.1 hypothetical protein COCSUDRAFT_14021 [Coccomyxa subellipsoidea C-169]
OG0002812	PSC71072.1 hypothetical protein C2E20_5531 [Micractinium conductrix]	EIE27437.1 hypothetical protein COCSUDRAFT_26736 [Coccomyxa subellipsoidea C-169]
OG0002813	PSC72626.1 Kelch domain-containing 4 [Micractinium conductrix]	EIE25653.1 galactose oxidase [Coccomyxa subellipsoidea C-169]
OG0002814	PSC73299.1 TIC 22-chloroplastic [Micractinium conductrix]	EIE26430.1 hypothetical protein COCSUDRAFT_58968 [Coccomyxa subellipsoidea C-169]
OG0002815	PSC71536.1 hypothetical protein C2E20_5086 [Micractinium conductrix]	EIE18927.1 hypothetical protein COCSUDRAFT_49110 [Coccomyxa subellipsoidea C-169]
OG0002816	PSC76335.1 elongation factor [Micractinium conductrix]	EIE18794.1 hypothetical protein COCSUDRAFT_68202 [Coccomyxa subellipsoidea C-169]
OG0002817	PSC68706.1 Structural maintenance of chromosomes flexible hinge domain-containing 1 [Micractinium conductrix]	EIE19801.1 hypothetical protein COCSUDRAFT_58530 [Coccomyxa subellipsoidea C-169]
OG0002818	PSC72694.1 DNA-directed RNA polymerase I subunit RPA12 [Micractinium conductrix]	EIE27025.1 hypothetical protein COCSUDRAFT_83584 [Coccomyxa subellipsoidea C-169]
OG0002819	PSC72651.1 Tocopherol chloroplastic [Micractinium conductrix]	EIE26754.1 tocopherol cyclase [Coccomyxa subellipsoidea C-169]
OG0002820	PSC72742.1 ubiquinone biosynthesis O-methyltransferase [Micractinium conductrix]	EIE20224.1 ubiquinone biosynthesis O-methyltransferase [Coccomyxa subellipsoidea C-169]
OG0002821	PSC77011.1 AP-1 complex subunit gamma-2-like isoform X2 [Micractinium conductrix]	EIE22622.1 Adaptor protein complex AP-1 gamma subunit [Coccomyxa subellipsoidea C-169]
OG0002822	PSC72696.1 ribosomal RNA processing 36-like protein [Micractinium conductrix]	EIE18618.1 DUF947-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002824	PSC68675.1 TPR repeat-containing isoform A [Micractinium conductrix], PSC68674.1 TPR repeat-containing isoform B [Micractinium conductrix]	EIE19554.1 hypothetical protein COCSUDRAFT_67698 [Coccomyxa subellipsoidea C-169]
OG0002825	PSC72819.1 Translation initiation factor IF-3 [Micractinium conductrix], PSC72822.1 vesicle transport USE1-like [Micractinium conductrix]	EIE27024.1 hypothetical protein COCSUDRAFT_83583 [Coccomyxa subellipsoidea C-169]
OG0002826	PSC73442.1 serine arginine-rich splicing factor SR34A-like isoform X1 [Micractinium conductrix]	EIE26363.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002827	PSC72065.1 Ubiquitin-like domain-containing CTD phosphatase [Micractinium conductrix]	EIE27356.1 MGC81798 protein-like protein [Coccomyxa subellipsoidea C-169]
OG0002828	PSC71022.1 RWD domain-containing 1 [Micractinium conductrix]	EIE21921.1 hypothetical protein COCSUDRAFT_42941 [Coccomyxa subellipsoidea C-169]
OG0002829	PSC72146.1 mRNA-capping enzyme isoform X1 [Micractinium conductrix]	EIE27392.1 hypothetical protein COCSUDRAFT_34803 [Coccomyxa subellipsoidea C-169]
OG0002830	PSC71094.1 putative phosphatase 2C 35 [Micractinium conductrix]	EIE18302.1 protein serine/threonine phosphatase 2C_ partial [Coccomyxa subellipsoidea C-169]
OG0002831	PSC72346.1 Eukaryotic translation initiation factor 2 subunit alpha [Micractinium conductrix]	EIE21978.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]
OG0002832	PSC72278.1 Phosphatidylinositol 4-kinase alpha 1 [Micractinium conductrix]	EIE19821.1 phosphatidylinositol 3 and 4-kinase family protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002833	PSC72177.1 swi snf complex [Micractinium conductrix]	EIE18248.1 hypothetical protein COCSUDRAFT_9602_ partial [Coccomyxa subellipsoidea C-169]
OG0002834	PSC72237.1 hypothetical protein C2E20_4539 [Micractinium conductrix]	EIE27309.1 hypothetical protein COCSUDRAFT_55328 [Coccomyxa subellipsoidea C-169], EIE27307.1 hypothetical protein COCSUDRAFT_55326 [Coccomyxa subellipsoidea C-169]
OG0002835	PSC71109.1 transcription initiation factor IIB-2 [Micractinium conductrix]	EIE18298.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]
OG0002836	PSC72228.1 cell motility mediator [Micractinium conductrix]	EIE24114.1 UPF0103-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002837	PSC72317.1 DNA polymerase zeta [Micractinium conductrix]	EIE27351.1 DNA polymerase zeta [Coccomyxa subellipsoidea C-169]
OG0002838	PSC70511.1 B3 domain-containing transcription factor LEC2 isoform A [Micractinium conductrix], PSC70512.1 B3 domain-containing transcription factor LEC2 isoform B [Micractinium conductrix]	EIE25495.1 hypothetical protein COCSUDRAFT_61708 [Coccomyxa subellipsoidea C-169]
OG0002839	PSC76313.1 periodic tryptophan 2-like protein [Micractinium conductrix]	EIE19483.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0002840	PSC76903.1 dynamin-related 1E-like [Micractinium conductrix]	EIE19437.1 Dynamin-related protein 5A [Coccomyxa subellipsoidea C-169]
OG0002841	PSC76509.1 DCC family chloroplastic [Micractinium conductrix]	EIE19405.1 DUF393-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002843	PSC68549.1 Pentatricopeptide repeat-containing mitochondrial [Micractinium conductrix]	EIE23886.1 hypothetical protein COCSUDRAFT_62416 [Coccomyxa subellipsoidea C-169]
OG0002844	PSC72562.1 Splicing factor 3B subunit 1 [Micractinium conductrix]	EIE25158.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0002845	PSC72353.1 Serine threonine-kinase Aurora-1 [Micractinium conductrix]	EIE25136.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002846	PSC74107.1 Cell cycle checkpoint control RAD9A [Micractinium conductrix]	EIE22095.1 hypothetical protein COCSUDRAFT_83486_ partial [Coccomyxa subellipsoidea C-169]
