Orthogroup	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180
OG0001926	EIE26146.1 hypothetical protein COCSUDRAFT_61136 [Coccomyxa subellipsoidea C-169]	PSC74943.1 sorting nexin-14 [Micractinium conductrix]
OG0001927	EIE25927.1 hypothetical protein COCSUDRAFT_64902 [Coccomyxa subellipsoidea C-169]	PSC69201.1 DNA polymerase delta subunit 3 [Micractinium conductrix]
OG0001928	EIE24157.1 hypothetical protein COCSUDRAFT_14797 [Coccomyxa subellipsoidea C-169]	PSC76454.1 arogenate prephenate dehydrogenase [Micractinium conductrix]
OG0001929	EIE26237.1 hypothetical protein COCSUDRAFT_83612 [Coccomyxa subellipsoidea C-169]	PSC69261.1 flagellar associated [Micractinium conductrix]
OG0001930	EIE25834.1 coatomer delta subunit [Coccomyxa subellipsoidea C-169]	PSC69188.1 coatomer subunit delta-like [Micractinium conductrix]
OG0001931	EIE25845.1 hypothetical protein COCSUDRAFT_52595 [Coccomyxa subellipsoidea C-169]	PSC69277.1 60S ribosomal L4-1 [Micractinium conductrix]
OG0001932	EIE25849.1 hypothetical protein COCSUDRAFT_64865 [Coccomyxa subellipsoidea C-169]	PSC69221.1 TBC1 domain family member 2A [Micractinium conductrix]
OG0001933	EIE18260.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	PSC74338.1 kinase Yak1 [Micractinium conductrix]
OG0001934	EIE27696.1 RCC1/BLIP-II [Coccomyxa subellipsoidea C-169]	PSC71357.1 RCC2-like protein [Micractinium conductrix]
OG0001935	EIE22053.1 NADH-quinone oxidoreductase_ partial [Coccomyxa subellipsoidea C-169]	PSC71559.1 NADH dehydrogenase [ubiquinone] iron-sulfur 8-mitochondrial [Micractinium conductrix]
OG0001936	EIE23698.1 mitochondrial phosphate carrier 1_ minor isoform [Coccomyxa subellipsoidea C-169]	PSC69989.1 mitochondrial phosphate carrier 1 [Micractinium conductrix]
OG0001937	EIE26448.1 RIO1-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC75250.1 serine threonine-kinase RIO1-like [Micractinium conductrix]
OG0001938	EIE24670.1 ribosomal protein S5 domain 2-like protein [Coccomyxa subellipsoidea C-169]	PSC70255.1 exosome complex component RRP41 [Micractinium conductrix]
OG0001939	EIE18803.1 hypothetical protein COCSUDRAFT_59934 [Coccomyxa subellipsoidea C-169]	PSC72687.1 traB domain-containing [Micractinium conductrix]
OG0001940	EIE24847.1 hypothetical protein COCSUDRAFT_14202_ partial [Coccomyxa subellipsoidea C-169]	PSC67817.1 copper transport ATX1-like [Micractinium conductrix], PSC67510.1 copper transport ATX1-like [Micractinium conductrix], PSC67068.1 copper transport ATX1-like [Micractinium conductrix]
OG0001941	EIE22268.1 hypothetical protein COCSUDRAFT_24197 [Coccomyxa subellipsoidea C-169]	PSC75421.1 isoleucine-tRNA cytoplasmic [Micractinium conductrix]
OG0001942	EIE20744.1 cysteine synthase [Coccomyxa subellipsoidea C-169]	PSC75522.1 cysteine synthase 2 [Micractinium conductrix]
OG0001943	EIE18244.1 eukaryotic release factor 1 [Coccomyxa subellipsoidea C-169]	PSC75808.1 Eukaryotic peptide chain release factor subunit 1-3 [Micractinium conductrix]
OG0001944	EIE18425.1 S-adenosyl-L-methionine-dependent methyltransferase_ partial [Coccomyxa subellipsoidea C-169]	PSC75867.1 DNA _cytosine-5_-methyltransferase 1-like [Micractinium conductrix]
OG0001945	EIE24011.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC75729.1 pachytene checkpoint 2-like protein [Micractinium conductrix]
OG0001946	EIE25428.1 epsilon-cop [Coccomyxa subellipsoidea C-169]	PSC75635.1 coatomer subunit epsilon-1-like [Micractinium conductrix]
OG0001947	EIE26840.1 putative leucyl tRNA synthetase [Coccomyxa subellipsoidea C-169]	PSC67354.1 leucine-tRNA mitochondrial [Micractinium conductrix]
OG0001948	EIE21638.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	PSC76000.1 alpha beta-hydrolase superfamily isoform B [Micractinium conductrix], PSC75999.1 alpha beta-hydrolase superfamily isoform A [Micractinium conductrix]
OG0001949	EIE18242.1 hypothetical protein COCSUDRAFT_45504 [Coccomyxa subellipsoidea C-169]	PSC75797.1 TBC1 domain family member 1 isoform A [Micractinium conductrix], PSC75798.1 TBC1 domain family member 1 isoform B [Micractinium conductrix], PSC75799.1 TBC1 domain family member 1 isoform C [Micractinium conductrix]
OG0001951	EIE24636.1 ribosomal protein S18 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]	PSC71665.1 40S ribosomal S18 [Micractinium conductrix]
OG0001952	EIE24637.1 26S proteasome regulatory subunit [Coccomyxa subellipsoidea C-169]	PSC71553.1 26S proteasome regulatory subunit [Micractinium conductrix]
OG0001953	EIE22446.1 hypothetical protein COCSUDRAFT_56130 [Coccomyxa subellipsoidea C-169]	PSC74574.1 hypothetical protein C2E20_2186 [Micractinium conductrix], PSC74496.1 putative inactive tRNA-specific adenosine deaminase 3 isoform X1 [Micractinium conductrix]
OG0001954	EIE22455.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	PSC75016.1 S-adenosyl-L-methionine-dependent methyltransferases superfamily [Micractinium conductrix]
OG0001955	EIE23587.1 peptidase M18_ aminopeptidase I [Coccomyxa subellipsoidea C-169]	PSC77070.1 putative aspartyl aminopeptidase [Micractinium conductrix]
OG0001956	EIE19836.1 glycyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	PSC72809.1 Glycyl-tRNA synthetase family [Micractinium conductrix]
OG0001957	EIE25131.1 hypothetical protein COCSUDRAFT_46598 [Coccomyxa subellipsoidea C-169]	PSC72536.1 LIM domain and RING finger [Micractinium conductrix]
OG0001958	EIE19736.1 heme peroxidase [Coccomyxa subellipsoidea C-169]	PSC70734.1 L-ascorbate peroxidase 6 [Micractinium conductrix]
OG0001960	EIE19108.1 spliceosome component_ nuclear pre-mRNA splicing factor [Coccomyxa subellipsoidea C-169]	PSC74641.1 U-box domain-containing 72-like [Micractinium conductrix]
OG0001961	EIE22621.1 hypothetical protein COCSUDRAFT_53607 [Coccomyxa subellipsoidea C-169]	PSC72381.1 Glycine-tRNA ligase chloroplastic mitochondrial [Micractinium conductrix]
OG0001962	EIE26619.1 phosphatases II [Coccomyxa subellipsoidea C-169]	PSC71447.1 dual specificity phosphatase domain [Micractinium conductrix]
OG0001963	EIE25157.1 hypothetical protein COCSUDRAFT_27846 [Coccomyxa subellipsoidea C-169]	PSC72593.1 K_+_ efflux antiporter 4-like isoform A [Micractinium conductrix], PSC72594.1 K_+_ efflux antiporter 4-like isoform B [Micractinium conductrix]
OG0001964	EIE20662.1 hypothetical protein COCSUDRAFT_54194 [Coccomyxa subellipsoidea C-169]	PSC70290.1 RING-H2 finger ATL48 [Micractinium conductrix]
OG0001965	EIE21705.1 long-chain acyl-CoA oxidase [Coccomyxa subellipsoidea C-169]	PSC71176.1 acyl-coenzyme A oxidase peroxisomal [Micractinium conductrix]
OG0001966	EIE26653.1 hypothetical protein COCSUDRAFT_59173 [Coccomyxa subellipsoidea C-169]	PSC68849.1 ataxin-3-like protein [Micractinium conductrix]
OG0001967	EIE19467.1 ribosomal protein S19 [Coccomyxa subellipsoidea C-169]	PSC76600.1 40S ribosomal S15 [Micractinium conductrix]
OG0001968	EIE18937.1 phophatdylinositol 4-kinase [Coccomyxa subellipsoidea C-169]	PSC69006.1 Phosphatidylinositol 4-kinase beta 1 [Micractinium conductrix]
OG0001969	EIE24722.1 nucleotide binding protein [Coccomyxa subellipsoidea C-169]	PSC74599.1 cytosolic Fe-S cluster assembly factor NBP35 [Micractinium conductrix]
OG0001970	EIE21063.1 GTPase EngC_ partial [Coccomyxa subellipsoidea C-169]	PSC71211.1 ribosome biogenesis GTPase [Micractinium conductrix]
OG0001971	EIE20255.1 hypothetical protein COCSUDRAFT_2352_ partial [Coccomyxa subellipsoidea C-169]	PSC75208.1 thiamine biosynthetic bifunctional enzyme chloroplastic isoform A [Micractinium conductrix], PSC75210.1 thiamine biosynthetic bifunctional enzyme chloroplastic isoform C [Micractinium conductrix], PSC75209.1 thiamine biosynthetic bifunctional enzyme chloroplastic isoform B [Micractinium conductrix]
OG0001972	EIE19247.1 starch branching enzyme [Coccomyxa subellipsoidea C-169]	PSC69001.1 starch branching enzyme isoform A [Micractinium conductrix], PSC69000.1 starch branching enzyme isoform B [Micractinium conductrix]
OG0001973	EIE25878.1 p-hydroxyphenylpyruvate dioxigenase [Coccomyxa subellipsoidea C-169]	PSC69061.1 4-hydroxyphenylpyruvate dioxygenase [Micractinium conductrix]
OG0001974	EIE20990.1 hypothetical protein COCSUDRAFT_54084 [Coccomyxa subellipsoidea C-169]	PSC71143.1 Diacylglycerol O-acyltransferase 1 [Micractinium conductrix]
OG0001975	EIE25813.1 hydrogenobyrinic acid a_c-diamide cobaltochelatase_ partial [Coccomyxa subellipsoidea C-169]	PSC71131.1 protoporphyrin IX magnesium chelatase [Micractinium conductrix]
OG0001976	EIE26706.1 glyoxalase I [Coccomyxa subellipsoidea C-169]	PSC70835.1 glyoxalase I [Micractinium conductrix]
OG0001978	EIE22579.1 hypothetical protein COCSUDRAFT_66290 [Coccomyxa subellipsoidea C-169]	PSC68642.1 lipase PLAT LH2 family [Micractinium conductrix]
OG0001979	EIE25465.1 Nop-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC68085.1 putative nucleolar 5-2 [Micractinium conductrix]
OG0001980	EIE21667.1 vacuolar ATP synthase subunit H [Coccomyxa subellipsoidea C-169]	PSC76439.1 V-type proton ATPase subunit H-like [Micractinium conductrix]
OG0001981	EIE21708.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	PSC76107.1 Chloroplast stem-loop binding of 41 kDa chloroplastic [Micractinium conductrix]
OG0001982	EIE18167.1 hypothetical protein COCSUDRAFT_49374 [Coccomyxa subellipsoidea C-169], EIE22009.1 hypothetical protein COCSUDRAFT_43000 [Coccomyxa subellipsoidea C-169]	PSC75340.1 methylase [Micractinium conductrix]
OG0001983	EIE22865.1 hypothetical protein COCSUDRAFT_63988 [Coccomyxa subellipsoidea C-169]	PSC75693.1 PHD-finger family homeodomain [Micractinium conductrix], PSC67057.1 hypothetical protein C2E20_9270 [Micractinium conductrix]
OG0001984	EIE25551.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	PSC75402.1 Monoglyceride lipase isoform A [Micractinium conductrix], PSC75403.1 Monoglyceride lipase isoform B [Micractinium conductrix]
OG0001986	EIE20935.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PSC71749.1 Mitogen-activated kinase 17 [Micractinium conductrix]
OG0001987	EIE23713.1 hypothetical protein COCSUDRAFT_41874 [Coccomyxa subellipsoidea C-169]	PSC76762.1 phospholipase A I isoform X1 [Micractinium conductrix]
OG0001988	EIE26750.1 AIG2-like protein [Coccomyxa subellipsoidea C-169]	PSC72734.1 AIG2 [Micractinium conductrix]
OG0001989	EIE26377.1 hypothetical protein COCSUDRAFT_32152_ partial [Coccomyxa subellipsoidea C-169]	PSC76095.1 MATE efflux family [Micractinium conductrix]
OG0001990	EIE22118.1 L30e-like protein [Coccomyxa subellipsoidea C-169]	PSC72607.1 H ACA ribonucleo complex subunit 2 [Micractinium conductrix]
OG0001991	EIE23132.1 HlyIII-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC75369.1 Heptahelical 4 isoform 2 [Micractinium conductrix]
OG0001992	EIE19723.1 ser/thr kinase_ ABC1 family [Coccomyxa subellipsoidea C-169]	PSC76710.1 putative aarF domain-containing kinase chloroplastic [Micractinium conductrix]
OG0001993	EIE22822.1 Flavokinase-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC75944.1 bifunctional riboflavin kinase FMN phosphatase-like [Micractinium conductrix]
OG0001994	EIE25888.1 adenosine/AMP deaminase family protein [Coccomyxa subellipsoidea C-169]	PSC76982.1 Adenosine deaminase [Micractinium conductrix]
OG0001995	EIE26434.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC73282.1 serine threonine-kinase TIO isoform X1 [Micractinium conductrix]
OG0001996	EIE23728.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Coccomyxa subellipsoidea C-169]	PSC72817.1 1-deoxy-D-xylulose-5-phosphate reductoisomerase [Micractinium conductrix]
OG0001997	EIE23912.1 SM/Sec1-family protein [Coccomyxa subellipsoidea C-169]	PSC68723.1 SM Sec1-family [Micractinium conductrix]
OG0001998	EIE24693.1 cyclopropyl isomerase [Coccomyxa subellipsoidea C-169]	PSC68708.1 Cycloeucalenol cycloisomerase [Micractinium conductrix]
OG0001999	EIE26765.1 riboflavin synthase domain-like protein [Coccomyxa subellipsoidea C-169]	PSC72744.1 NADPH-dependent diflavin oxidoreductase 1 isoform X1 [Micractinium conductrix]
OG0002000	EIE23742.1 glutamine amidotransferase/cyclase [Coccomyxa subellipsoidea C-169]	PSC76732.1 imidazole glycerol phosphate synthase chloroplastic [Micractinium conductrix]
OG0002001	EIE26974.1 hypothetical protein COCSUDRAFT_12091 [Coccomyxa subellipsoidea C-169]	PSC72681.1 LIMR family protein [Micractinium conductrix]
OG0002002	EIE24720.1 hypothetical protein COCSUDRAFT_36047 [Coccomyxa subellipsoidea C-169]	PSC72649.1 ABC transporter G family member 7 isoform C [Micractinium conductrix], PSC72650.1 ABC transporter G family member 7 isoform A [Micractinium conductrix], PSC72648.1 ABC transporter G family member 7 isoform B [Micractinium conductrix]
OG0002003	EIE20087.1 XAP5-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC73288.1 XAP5 CIRCADIAN TIMEKEEPER [Micractinium conductrix]
OG0002004	EIE26835.1 V-snare-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC73478.1 Qb-SNARE Bos1 Membrin family [Micractinium conductrix]
OG0002005	EIE27273.1 nucleic acid binding protein [Coccomyxa subellipsoidea C-169]	PSC72199.1 zinc finger CCCH domain-containing 1 [Micractinium conductrix]
OG0002006	EIE27347.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169]	PSC71090.1 Chlorophyll a-b binding chloroplastic [Micractinium conductrix]
OG0002007	EIE27359.1 Cse1-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC72253.1 Exportin-2 [Micractinium conductrix]
OG0002008	EIE21798.1 putative DnaJ protein [Coccomyxa subellipsoidea C-169]	PSC72303.1 DNAJ heat shock N-terminal domain-containing family [Micractinium conductrix]
OG0002009	EIE27411.1 ATP synthase-like protein O subunit_ mitochondrial precursor [Coccomyxa subellipsoidea C-169]	PSC72301.1 ATP synthase subunit mitochondrial [Micractinium conductrix]
OG0002010	EIE27419.1 CCAAT-binding transcription factor subunit A [Coccomyxa subellipsoidea C-169]	PSC72273.1 hypothetical protein C2E20_4572 [Micractinium conductrix]
OG0002011	EIE27414.1 vacuolar ATP synthase subunit B [Coccomyxa subellipsoidea C-169]	PSC72293.1 vacuolar ATP synthase subunit B [Micractinium conductrix]
OG0002012	EIE18249.1 hypothetical protein COCSUDRAFT_45509 [Coccomyxa subellipsoidea C-169]	PSC72257.1 Diacylglycerol O-acyltransferase 1 [Micractinium conductrix]
OG0002013	EIE27272.1 SCO1-SenC-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC72247.1 SCO1-like protein mitochondrial [Micractinium conductrix]
OG0002014	EIE27391.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC72166.1 RNA-binding 28 [Micractinium conductrix]
OG0002015	EIE20468.1 pyrroline-5-carboxlyate synthetase [Coccomyxa subellipsoidea C-169]	PSC76802.1 delta-1-pyrroline-5-carboxylate synthase A isoform X2 [Micractinium conductrix]
OG0002016	EIE24049.1 ClpX_ ATPase regulatory subunit [Coccomyxa subellipsoidea C-169]	PSC69399.1 ATP-dependent CLP protease ATP-binding subunit [Micractinium conductrix]
OG0002017	EIE18923.1 putative valyl tRNA synthetase [Coccomyxa subellipsoidea C-169]	PSC72462.1 valine-tRNA ligase [Micractinium conductrix]
OG0002018	EIE26831.1 acyl-CoA oxidase [Coccomyxa subellipsoidea C-169]	PSC69663.1 peroxisomal acyl-coenzyme A oxidase 1-like [Micractinium conductrix]
OG0002019	EIE25319.1 hypothetical protein COCSUDRAFT_65190 [Coccomyxa subellipsoidea C-169]	PSC72582.1 ATPase associated with various cellular activities AAA_5 [Micractinium conductrix]
OG0002020	EIE25134.1 Mog1p/PsbP-like protein [Coccomyxa subellipsoidea C-169]	PSC72476.1 domain-containing isoform A [Micractinium conductrix], PSC72477.1 hypothetical protein C2E20_4272 isoform B [Micractinium conductrix]
OG0002021	EIE24941.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC72206.1 Ribosome biogenesis ATPase RIX7 isoform A [Micractinium conductrix], PSC72207.1 Ribosome biogenesis ATPase RIX7 isoform B [Micractinium conductrix]
OG0002022	EIE26696.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]	PSC75630.1 cyclin-H1-1 isoform X1 [Micractinium conductrix]
OG0002023	EIE23830.1 ribosomal protein S5 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]	PSC67820.1 40S ribosomal S5 [Micractinium conductrix]
OG0002024	EIE25137.1 MATH-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC72457.1 MATH domain-containing protein [Micractinium conductrix]
OG0002025	EIE21219.1 superoxide dismutase [Mn] [Coccomyxa subellipsoidea C-169]	PSC72370.1 superoxide dismutase [Mn] [Micractinium conductrix]
OG0002026	EIE25148.1 TFP11-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC72411.1 septin and tuftelin-interacting 1-like protein 1 [Micractinium conductrix]
OG0002027	EIE25769.1 adenine phosphoribosyltransferase [Coccomyxa subellipsoidea C-169]	PSC67491.1 adenine phosphoribosyltransferase [Micractinium conductrix]
OG0002028	EIE22766.1 26S proteasome regulatory subunit [Coccomyxa subellipsoidea C-169]	PSC70049.1 26S proteasome regulatory subunit [Micractinium conductrix]
OG0002029	EIE18114.1 Actin/actin-like protein [Coccomyxa subellipsoidea C-169]	PSC76422.1 actin [Micractinium conductrix]
OG0002030	EIE18816.1 hypothetical protein COCSUDRAFT_44983 [Coccomyxa subellipsoidea C-169]	PSC67427.1 afadin alpha-actinin-binding [Micractinium conductrix]
OG0002031	EIE23648.1 kinesin-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]	PSC67436.1 Centromere-associated E [Micractinium conductrix]
OG0002032	EIE24901.1 hypothetical protein COCSUDRAFT_14300 [Coccomyxa subellipsoidea C-169]	PSC76576.1 Dynamin ARC5 [Micractinium conductrix]
OG0002033	EIE18517.1 signal recognition particle protein [Coccomyxa subellipsoidea C-169]	PSC75432.1 Signal recognition particle 54 kDa_ chloroplastic [Micractinium conductrix]
OG0002034	EIE26093.1 hypothetical protein COCSUDRAFT_46488 [Coccomyxa subellipsoidea C-169]	PSC74351.1 synaptotagmin-5-like [Micractinium conductrix]
OG0002035	EIE23790.1 DNA topoisomerase II [Coccomyxa subellipsoidea C-169]	PSC68910.1 DNA topoisomerase 2 [Micractinium conductrix]
OG0002036	EIE24744.1 hypothetical protein COCSUDRAFT_46926 [Coccomyxa subellipsoidea C-169]	PSC67967.1 hypothetical protein C2E20_8419 [Micractinium conductrix]
OG0002037	EIE21291.1 antiviral helicase [Coccomyxa subellipsoidea C-169]	PSC68430.1 superkiller viralicidic activity 2-like 2 [Micractinium conductrix]
OG0002038	EIE24065.1 ribosomal protein L37 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]	PSC69330.1 Ribosomal L37e [Micractinium conductrix]
OG0002039	EIE23880.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]	PSC76649.1 MFS family transporter_ sugar [Micractinium conductrix]
OG0002040	EIE26294.1 dihydroxy-acid dehydratase [Coccomyxa subellipsoidea C-169]	PSC73296.1 dihydroxy-acid dehydratase [Micractinium conductrix]
OG0002041	EIE24967.1 hypothetical protein COCSUDRAFT_83659_ partial [Coccomyxa subellipsoidea C-169]	PSC76139.1 nucleoside diphosphate sugar epimerase [Micractinium conductrix]
OG0002042	EIE25420.1 starch branching enzyme [Coccomyxa subellipsoidea C-169]	PSC69348.1 starch branching enzyme [Micractinium conductrix]
OG0002043	EIE23695.1 DNA polymerase epsilon_ subunit B [Coccomyxa subellipsoidea C-169]	PSC76890.1 DNA polymerase epsilon subunit 2 [Micractinium conductrix]
OG0002044	EIE20259.1 hypothetical protein COCSUDRAFT_37929 [Coccomyxa subellipsoidea C-169]	PSC73671.1 ferredoxin isoform A [Micractinium conductrix], PSC73672.1 ferredoxin isoform B [Micractinium conductrix]
OG0002045	EIE23756.1 hypothetical protein COCSUDRAFT_53450 [Coccomyxa subellipsoidea C-169]	PSC76447.1 sorbosone dehydrogenase [Micractinium conductrix]
OG0002046	EIE20756.1 ribosomal protein S2 [Coccomyxa subellipsoidea C-169]	PSC70202.1 40S ribosomal Sa-1 [Micractinium conductrix]
OG0002047	EIE22733.1 hypothetical protein COCSUDRAFT_66368_ partial [Coccomyxa subellipsoidea C-169]	PSC73644.1 metallo-beta-lactamase domain [Micractinium conductrix], PSC73859.1 hypothetical protein C2E20_3092 [Micractinium conductrix], PSC73858.1 hypothetical protein C2E20_3092 [Micractinium conductrix]
OG0002048	EIE26746.1 aconitate hydratase [Coccomyxa subellipsoidea C-169]	PSC72676.1 aconitate hydratase [Micractinium conductrix]
OG0002049	EIE24780.1 DNA repair exonuclease [Coccomyxa subellipsoidea C-169]	PSC71365.1 Double-strand break repair MRE11 [Micractinium conductrix]
OG0002050	EIE18147.1 hypothetical protein COCSUDRAFT_49369 [Coccomyxa subellipsoidea C-169]	PSC76487.1 THO complex subunit 2 [Micractinium conductrix]
OG0002051	EIE21089.1 Nop-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC74827.1 Nucleolar 56 [Micractinium conductrix]
OG0002052	EIE20699.1 hypothetical protein COCSUDRAFT_57268 [Coccomyxa subellipsoidea C-169], EIE20698.1 phosphatases II [Coccomyxa subellipsoidea C-169]	PSC74445.1 MAP kinase phosphatase with leucine-rich repeats 3 [Micractinium conductrix]
OG0002053	EIE19777.1 signal peptidase complex I_ partial [Coccomyxa subellipsoidea C-169]	PSC70737.1 signal peptidase complex catalytic subunit SEC11A [Micractinium conductrix], PSC70797.1 signal peptidase complex catalytic subunit SEC11A [Micractinium conductrix]
OG0002054	EIE21301.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	PSC71704.1 proteasome-associated ECM29-like protein [Micractinium conductrix]
OG0002055	EIE25952.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]	PSC71895.1 cyclin-L1-1-like [Micractinium conductrix]
OG0002056	EIE25802.1 small rab-related GTPase [Coccomyxa subellipsoidea C-169]	PSC71957.1 ras-related RHN1-like [Micractinium conductrix]
OG0002057	EIE22242.1 ATP-binding cassette transporter_ partial [Coccomyxa subellipsoidea C-169]	PSC71984.1 ABC transporter D family member chloroplastic [Micractinium conductrix], PSC71914.1 ABC transporter D family member chloroplastic [Micractinium conductrix]
OG0002058	EIE25954.1 hypothetical protein COCSUDRAFT_12541 [Coccomyxa subellipsoidea C-169]	PSC71904.1 serine arginine-rich splicing factor RS31-like isoform X1 [Micractinium conductrix]
OG0002059	EIE23389.1 hypothetical protein COCSUDRAFT_15264 [Coccomyxa subellipsoidea C-169]	PSC72006.1 TIC 20-chloroplastic [Micractinium conductrix]
OG0002060	EIE26012.1 mitochondrial inner membrane translocase [Coccomyxa subellipsoidea C-169], EIE18067.1 mitochondrial inner membrane translocase [Coccomyxa subellipsoidea C-169]	PSC67856.1 mitochondrial import inner membrane translocase subunit TIM8 [Micractinium conductrix]
OG0002061	EIE26344.1 Cupredoxin [Coccomyxa subellipsoidea C-169]	PSC72045.1 multicopper ferroxidase [Micractinium conductrix]
OG0002062	EIE19573.1 PTR2-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC73968.1 NRT1 PTR FAMILY -like [Micractinium conductrix]
OG0002063	EIE26210.1 Polyprenyl synthetase [Coccomyxa subellipsoidea C-169]	PSC72004.1 geranylgeranyl diphosphate synthase [Micractinium conductrix]
OG0002064	EIE25228.1 ubiquitin-conjugating enzyme [Coccomyxa subellipsoidea C-169], EIE25894.1 ubiquitin conjugating enzyme [Coccomyxa subellipsoidea C-169]	PSC71921.1 ubiquitin-conjugating enzyme E2 28-like [Micractinium conductrix]
OG0002065	EIE23420.1 hypothetical protein COCSUDRAFT_41669 [Coccomyxa subellipsoidea C-169]	PSC72051.1 expressed ef-hand domain-containing [Micractinium conductrix]
OG0002066	EIE27053.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	PSC71853.1 Structural maintenance of chromosomes 5 [Micractinium conductrix]
OG0002068	EIE22107.1 Redoxin-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC73880.1 Peroxiredoxin-chloroplastic [Micractinium conductrix]
OG0002069	EIE22849.1 cytochrome P450_ C-22 desaturase [Coccomyxa subellipsoidea C-169]	PSC76027.1 cytochrome P450 [Micractinium conductrix]
OG0002070	EIE20614.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC76303.1 DEAD-box ATP-dependent RNA helicase 7 [Micractinium conductrix]
OG0002071	EIE21970.1 hypothetical protein COCSUDRAFT_56415 [Coccomyxa subellipsoidea C-169]	PSC72338.1 tubulin tyrosine ligase [Micractinium conductrix]
OG0002072	EIE24579.1 porphobilinogen deaminase [Coccomyxa subellipsoidea C-169]	PSC70510.1 porphobilinogen deaminase [Micractinium conductrix]
OG0002073	EIE21960.1 40S ribosomal protein S16 [Coccomyxa subellipsoidea C-169]	PSC72287.1 40S ribosomal S16 [Micractinium conductrix]
OG0002074	EIE18677.1 hypothetical protein COCSUDRAFT_31575 [Coccomyxa subellipsoidea C-169]	PSC68908.1 putative ribosome biogenesis RLP24 [Micractinium conductrix]
OG0002075	EIE19377.1 myo-inositol-1-phosphate synthase_ partial [Coccomyxa subellipsoidea C-169]	PSC73941.1 inositol-3-phosphate synthase [Micractinium conductrix]
OG0002076	EIE18740.1 hypothetical protein COCSUDRAFT_38543 [Coccomyxa subellipsoidea C-169]	PSC74976.1 EH domain-containing 1-like [Micractinium conductrix]
OG0002077	EIE20165.1 SMAD/FHA domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC74722.1 serine threonine-kinase [Micractinium conductrix]
OG0002078	EIE20126.1 hypothetical protein COCSUDRAFT_67495 [Coccomyxa subellipsoidea C-169]	PSC76842.1 carbohydrate-binding module family 20 [Micractinium conductrix]
OG0002079	EIE26934.1 hypothetical protein COCSUDRAFT_12206_ partial [Coccomyxa subellipsoidea C-169]	PSC73718.1 cell wall integrity scw1 [Micractinium conductrix]
OG0002080	EIE23635.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]	PSC68284.1 Bifunctional aspartate aminotransferase and glutamate aspartate-prephenate aminotransferase [Micractinium conductrix]
OG0002081	EIE19179.1 hypothetical protein COCSUDRAFT_19880 [Coccomyxa subellipsoidea C-169]	PSC74408.1 Diphthamide biosynthesis 1 [Micractinium conductrix]
OG0002082	EIE19930.1 20S proteasome alpha subunit D [Coccomyxa subellipsoidea C-169]	PSC72255.1 Proteasome subunit alpha type-7 [Micractinium conductrix]
OG0002083	EIE21909.1 nascent polypeptide-associated complex_ alpha subunit [Coccomyxa subellipsoidea C-169]	PSC72226.1 Nascent polypeptide-associated complex subunit alpha [Micractinium conductrix]
