Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_VariabilisNC64A
OG0002714	EIE24605.1 hypothetical protein COCSUDRAFT_22902 [Coccomyxa subellipsoidea C-169]	XP_005849628.1 hypothetical protein CHLNCDRAFT_11464_ partial [Chlorella variabilis]
OG0002715	EIE22039.1 ornithine carbamoyltransferase [Coccomyxa subellipsoidea C-169]	XP_005850233.1 hypothetical protein CHLNCDRAFT_48133 [Chlorella variabilis]
OG0002716	EIE25941.1 hypothetical protein COCSUDRAFT_12599 [Coccomyxa subellipsoidea C-169]	XP_005843294.1 hypothetical protein CHLNCDRAFT_56407 [Chlorella variabilis]
OG0002717	EIE25850.1 hypothetical protein COCSUDRAFT_64866 [Coccomyxa subellipsoidea C-169]	XP_005843285.1 hypothetical protein CHLNCDRAFT_55304 [Chlorella variabilis]
OG0002718	EIE21732.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	XP_005842661.1 hypothetical protein CHLNCDRAFT_55778_ partial [Chlorella variabilis], XP_005843078.1 hypothetical protein CHLNCDRAFT_141620 [Chlorella variabilis]
OG0002719	EIE19067.1 GINS complex_ Sld5 component [Coccomyxa subellipsoidea C-169]	XP_005851297.1 hypothetical protein CHLNCDRAFT_18970 [Chlorella variabilis]
OG0002720	EIE25956.1 hypothetical protein COCSUDRAFT_64915 [Coccomyxa subellipsoidea C-169]	XP_005844827.1 hypothetical protein CHLNCDRAFT_138263 [Chlorella variabilis]
OG0002721	EIE18171.1 putative plastid geranylgeranyl reductase precursor [Coccomyxa subellipsoidea C-169]	XP_005851440.1 hypothetical protein CHLNCDRAFT_29491_ partial [Chlorella variabilis]
OG0002722	EIE24575.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005844486.1 hypothetical protein CHLNCDRAFT_58854 [Chlorella variabilis]
OG0002723	EIE23799.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]	XP_005844003.1 hypothetical protein CHLNCDRAFT_27382 [Chlorella variabilis]
OG0002724	EIE24576.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	XP_005844483.1 hypothetical protein CHLNCDRAFT_26777 [Chlorella variabilis]
OG0002725	EIE25583.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]	XP_005844013.1 hypothetical protein CHLNCDRAFT_139542 [Chlorella variabilis]
OG0002726	EIE23783.1 hypothetical protein COCSUDRAFT_63305 [Coccomyxa subellipsoidea C-169]	XP_005844636.1 hypothetical protein CHLNCDRAFT_54480 [Chlorella variabilis]
OG0002727	EIE22688.1 Phytoene desaturase [Coccomyxa subellipsoidea C-169]	XP_005850369.1 hypothetical protein CHLNCDRAFT_34420 [Chlorella variabilis]
OG0002728	EIE23767.1 DNA topoisomerase I [Coccomyxa subellipsoidea C-169]	XP_005844529.1 hypothetical protein CHLNCDRAFT_36846 [Chlorella variabilis]
OG0002729	EIE20951.1 glycoside-hydrolase-like protein [Coccomyxa subellipsoidea C-169]	XP_005844108.1 hypothetical protein CHLNCDRAFT_139544_ partial [Chlorella variabilis]
OG0002730	EIE20850.1 hypothetical protein COCSUDRAFT_9790_ partial [Coccomyxa subellipsoidea C-169]	XP_005844535.1 hypothetical protein CHLNCDRAFT_138954 [Chlorella variabilis]
OG0002731	EIE18960.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005844543.1 hypothetical protein CHLNCDRAFT_138972 [Chlorella variabilis]
OG0002732	EIE26166.1 hypothetical protein COCSUDRAFT_65015 [Coccomyxa subellipsoidea C-169]	XP_005851434.1 hypothetical protein CHLNCDRAFT_137743 [Chlorella variabilis]
OG0002733	EIE20894.1 TRAPP I complex [Coccomyxa subellipsoidea C-169]	XP_005844527.1 hypothetical protein CHLNCDRAFT_138928 [Chlorella variabilis]
OG0002735	EIE22037.1 N-terminal nucleophile aminohydrolase [Coccomyxa subellipsoidea C-169]	XP_005850127.1 hypothetical protein CHLNCDRAFT_48590 [Chlorella variabilis]
OG0002736	EIE27522.1 prokaryotic type I DNA topoisomerase [Coccomyxa subellipsoidea C-169]	XP_005844116.1 hypothetical protein CHLNCDRAFT_27302_ partial [Chlorella variabilis]
OG0002737	EIE20230.1 phosphoribosylformimino-5-aminoimidazole carboxamide ribonucleotide isomerase [Coccomyxa subellipsoidea C-169]	XP_005851444.1 hypothetical protein CHLNCDRAFT_137774 [Chlorella variabilis]
OG0002738	EIE26845.1 DUF1777-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005851128.1 hypothetical protein CHLNCDRAFT_137712 [Chlorella variabilis]
OG0002739	EIE23536.1 dynein light chain 9_ partial [Coccomyxa subellipsoidea C-169]	XP_005849271.1 hypothetical protein CHLNCDRAFT_21434 [Chlorella variabilis]
OG0002740	EIE24392.1 acyl-CoA N-acyltransferase [Coccomyxa subellipsoidea C-169]	XP_005850764.1 hypothetical protein CHLNCDRAFT_13632_ partial [Chlorella variabilis]
OG0002741	EIE19120.1 T-complex protein_ delta subunit [Coccomyxa subellipsoidea C-169]	XP_005851017.1 hypothetical protein CHLNCDRAFT_34242 [Chlorella variabilis]
OG0002742	EIE24631.1 ClpP/crotonase [Coccomyxa subellipsoidea C-169]	XP_005847563.1 hypothetical protein CHLNCDRAFT_133803 [Chlorella variabilis]
OG0002743	EIE26827.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	XP_005846531.1 hypothetical protein CHLNCDRAFT_58311 [Chlorella variabilis]
OG0002745	EIE20252.1 hypothetical protein COCSUDRAFT_25458 [Coccomyxa subellipsoidea C-169]	XP_005845744.1 hypothetical protein CHLNCDRAFT_136352 [Chlorella variabilis], XP_005845745.1 hypothetical protein CHLNCDRAFT_136353 [Chlorella variabilis]
OG0002746	EIE20918.1 HAD-like protein [Coccomyxa subellipsoidea C-169]	XP_005844234.1 hypothetical protein CHLNCDRAFT_27049_ partial [Chlorella variabilis]
OG0002747	EIE24238.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005847764.1 hypothetical protein CHLNCDRAFT_23258 [Chlorella variabilis]
OG0002748	EIE18206.1 CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Coccomyxa subellipsoidea C-169]	XP_005851053.1 hypothetical protein CHLNCDRAFT_19755 [Chlorella variabilis]
OG0002749	EIE22565.1 hypothetical protein COCSUDRAFT_66283 [Coccomyxa subellipsoidea C-169]	XP_005846836.1 hypothetical protein CHLNCDRAFT_135443 [Chlorella variabilis]
OG0002750	EIE21001.1 DUF747-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005846234.1 hypothetical protein CHLNCDRAFT_135516 [Chlorella variabilis]
OG0002751	EIE21372.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	XP_005845299.1 hypothetical protein CHLNCDRAFT_32227_ partial [Chlorella variabilis]
OG0002753	EIE20843.1 coatomer protein complex_ beta prime [Coccomyxa subellipsoidea C-169]	XP_005847746.1 hypothetical protein CHLNCDRAFT_35414 [Chlorella variabilis]
OG0002754	EIE25788.1 putative replication factor C 37 kDa subunit [Coccomyxa subellipsoidea C-169]	XP_005850558.1 hypothetical protein CHLNCDRAFT_48527 [Chlorella variabilis]
OG0002755	EIE22593.1 ribosomal protein L1 [Coccomyxa subellipsoidea C-169]	XP_005846698.1 hypothetical protein CHLNCDRAFT_135444 [Chlorella variabilis]
OG0002756	EIE26609.1 hypothetical protein COCSUDRAFT_64574 [Coccomyxa subellipsoidea C-169]	XP_005850882.1 hypothetical protein CHLNCDRAFT_140537 [Chlorella variabilis]
OG0002757	EIE22808.1 complex 1 family protein-like protein [Coccomyxa subellipsoidea C-169]	XP_005846825.1 hypothetical protein CHLNCDRAFT_24590 [Chlorella variabilis]
OG0002758	EIE25146.1 hypothetical protein COCSUDRAFT_52776 [Coccomyxa subellipsoidea C-169]	XP_005849988.1 hypothetical protein CHLNCDRAFT_141902 [Chlorella variabilis]
OG0002759	EIE21145.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]	XP_005842836.1 hypothetical protein CHLNCDRAFT_33393 [Chlorella variabilis]
OG0002761	EIE21646.1 monophosphate synthase [Coccomyxa subellipsoidea C-169]	XP_005846403.1 hypothetical protein CHLNCDRAFT_135487 [Chlorella variabilis]
OG0002762	EIE26677.1 aci-reductone dioxygenase [Coccomyxa subellipsoidea C-169]	XP_005850554.1 hypothetical protein CHLNCDRAFT_48525 [Chlorella variabilis]
OG0002763	EIE18568.1 hypothetical protein COCSUDRAFT_9085_ partial [Coccomyxa subellipsoidea C-169]	XP_005849088.1 hypothetical protein CHLNCDRAFT_143598 [Chlorella variabilis], XP_005849087.1 hypothetical protein CHLNCDRAFT_57385 [Chlorella variabilis]
OG0002764	EIE27013.1 hypothetical protein COCSUDRAFT_83572 [Coccomyxa subellipsoidea C-169]	XP_005850588.1 hypothetical protein CHLNCDRAFT_140511 [Chlorella variabilis]
OG0002765	EIE20916.1 low-CO2-inducible protein [Coccomyxa subellipsoidea C-169]	XP_005847679.1 hypothetical protein CHLNCDRAFT_23329 [Chlorella variabilis]
OG0002766	EIE21525.1 hypothetical protein COCSUDRAFT_66932 [Coccomyxa subellipsoidea C-169]	XP_005845424.1 hypothetical protein CHLNCDRAFT_58607 [Chlorella variabilis]
OG0002767	EIE19091.1 ribosomal protein L18 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]	XP_005843726.1 hypothetical protein CHLNCDRAFT_37334 [Chlorella variabilis]
OG0002768	EIE26179.1 hypothetical protein COCSUDRAFT_8646_ partial [Coccomyxa subellipsoidea C-169]	XP_005847729.1 hypothetical protein CHLNCDRAFT_133791 [Chlorella variabilis]
OG0002769	EIE26389.1 hypothetical protein COCSUDRAFT_21671 [Coccomyxa subellipsoidea C-169]	XP_005850868.1 cytoplasmic ribosomal protein S13 [Chlorella variabilis]
OG0002770	EIE19109.1 60S ribosomal protein L7 [Coccomyxa subellipsoidea C-169]	XP_005843719.1 hypothetical protein CHLNCDRAFT_49213 [Chlorella variabilis]
OG0002771	EIE24972.1 hypothetical protein COCSUDRAFT_83665 [Coccomyxa subellipsoidea C-169]	XP_005850599.1 expressed protein [Chlorella variabilis]
OG0002772	EIE21674.1 DUF602-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005851016.1 hypothetical protein CHLNCDRAFT_140862 [Chlorella variabilis]
OG0002773	EIE25828.1 chlorophyll synthase [Coccomyxa subellipsoidea C-169]	XP_005849286.1 hypothetical protein CHLNCDRAFT_34863 [Chlorella variabilis]
OG0002774	EIE18930.1 mitochondrial carrier [Coccomyxa subellipsoidea C-169]	XP_005850850.1 hypothetical protein CHLNCDRAFT_140450 [Chlorella variabilis]
OG0002775	EIE19155.1 hypothetical protein COCSUDRAFT_59638 [Coccomyxa subellipsoidea C-169]	XP_005843661.1 hypothetical protein CHLNCDRAFT_59183 [Chlorella variabilis]
OG0002776	EIE21780.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	XP_005850732.1 hypothetical protein CHLNCDRAFT_34239 [Chlorella variabilis]
OG0002778	EIE23805.1 PRP38-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005844609.1 hypothetical protein CHLNCDRAFT_49093 [Chlorella variabilis]
OG0002779	EIE21680.1 Dolichyl-diphosphooligosaccharide-protein glycosyltransferase 48kDa subunit [Coccomyxa subellipsoidea C-169]	XP_005846444.1 hypothetical protein CHLNCDRAFT_8673_ partial [Chlorella variabilis]
OG0002780	EIE26585.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]	XP_005851095.1 hypothetical protein CHLNCDRAFT_137624 [Chlorella variabilis]
OG0002781	EIE26657.1 nucleotide-diphospho-sugar transferase [Coccomyxa subellipsoidea C-169]	XP_005850851.1 hypothetical protein CHLNCDRAFT_140453 [Chlorella variabilis]
OG0002782	EIE18874.1 RUB1 conjugating enzyme [Coccomyxa subellipsoidea C-169]	XP_005849252.1 hypothetical protein CHLNCDRAFT_48683 [Chlorella variabilis]
OG0002783	EIE25017.1 hypothetical protein COCSUDRAFT_40379 [Coccomyxa subellipsoidea C-169]	XP_005850009.1 hypothetical protein CHLNCDRAFT_141957 [Chlorella variabilis]
OG0002784	EIE21689.1 DUF819-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005845329.1 hypothetical protein CHLNCDRAFT_25912 [Chlorella variabilis]
OG0002785	EIE21237.1 Clc chloride channel [Coccomyxa subellipsoidea C-169]	XP_005848966.1 hypothetical protein CHLNCDRAFT_144489 [Chlorella variabilis]
OG0002786	EIE23350.1 hypothetical protein COCSUDRAFT_65874 [Coccomyxa subellipsoidea C-169]	XP_005850856.1 hypothetical protein CHLNCDRAFT_140463 [Chlorella variabilis]
OG0002787	EIE19713.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	XP_005848752.1 expressed protein [Chlorella variabilis]
OG0002788	EIE24028.1 hypothetical protein COCSUDRAFT_47107 [Coccomyxa subellipsoidea C-169]	XP_005845466.1 hypothetical protein CHLNCDRAFT_137115 [Chlorella variabilis]
OG0002789	EIE21482.1 WD40 repeat-like protein_ partial [Coccomyxa subellipsoidea C-169]	XP_005845353.1 hypothetical protein CHLNCDRAFT_26064_ partial [Chlorella variabilis]
OG0002790	EIE19378.1 hypothetical protein COCSUDRAFT_44718 [Coccomyxa subellipsoidea C-169]	XP_005844771.1 hypothetical protein CHLNCDRAFT_54315 [Chlorella variabilis], XP_005843460.1 hypothetical protein CHLNCDRAFT_141115 [Chlorella variabilis]
OG0002791	EIE25100.1 hypothetical protein COCSUDRAFT_9560_ partial [Coccomyxa subellipsoidea C-169]	XP_005850219.1 hypothetical protein CHLNCDRAFT_57163 [Chlorella variabilis]
OG0002792	EIE21118.1 T-complex protein_ eta subunit [Coccomyxa subellipsoidea C-169]	XP_005845471.1 hypothetical protein CHLNCDRAFT_58635 [Chlorella variabilis]
OG0002793	EIE19305.1 hypothetical protein COCSUDRAFT_31183 [Coccomyxa subellipsoidea C-169]	XP_005844387.1 hypothetical protein CHLNCDRAFT_139027 [Chlorella variabilis]
OG0002794	EIE21455.1 hypothetical protein COCSUDRAFT_66895 [Coccomyxa subellipsoidea C-169]	XP_005844818.1 hypothetical protein CHLNCDRAFT_138739 [Chlorella variabilis]
OG0002797	EIE22930.1 hypothetical protein COCSUDRAFT_83702 [Coccomyxa subellipsoidea C-169]	XP_005844704.1 hypothetical protein CHLNCDRAFT_26561_ partial [Chlorella variabilis], XP_005844705.1 hypothetical protein CHLNCDRAFT_36764 [Chlorella variabilis]
OG0002798	EIE19413.1 hypothetical protein COCSUDRAFT_25855 [Coccomyxa subellipsoidea C-169]	XP_005843841.1 hypothetical protein CHLNCDRAFT_14832_ partial [Chlorella variabilis]
OG0002800	EIE21133.1 adenylate kinase [Coccomyxa subellipsoidea C-169]	XP_005846300.1 hypothetical protein CHLNCDRAFT_24794 [Chlorella variabilis]
OG0002801	EIE26752.1 Uroporphyrinogen decarboxylase [Coccomyxa subellipsoidea C-169]	XP_005850819.1 hypothetical protein CHLNCDRAFT_140365 [Chlorella variabilis]
OG0002803	EIE23131.1 barren-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005846577.1 hypothetical protein CHLNCDRAFT_135132 [Chlorella variabilis]
OG0002804	EIE22173.1 DNA replication factor C complex subunit 2 [Coccomyxa subellipsoidea C-169]	XP_005850478.1 hypothetical protein CHLNCDRAFT_59565 [Chlorella variabilis]
OG0002805	EIE26380.1 endoplasmic reticulum oxidoreductin 1 [Coccomyxa subellipsoidea C-169]	XP_005844257.1 hypothetical protein CHLNCDRAFT_26991_ partial [Chlorella variabilis]
OG0002806	EIE26834.1 hypothetical protein COCSUDRAFT_59342 [Coccomyxa subellipsoidea C-169]	XP_005846557.1 hypothetical protein CHLNCDRAFT_135888 [Chlorella variabilis]
OG0002807	EIE22158.1 R-SNARE protein_ Sec22-family [Coccomyxa subellipsoidea C-169]	XP_005850477.1 hypothetical protein CHLNCDRAFT_20041 [Chlorella variabilis]
OG0002808	EIE25948.1 zeta-carotene desaturase [Coccomyxa subellipsoidea C-169]	XP_005843062.1 hypothetical protein CHLNCDRAFT_141585 [Chlorella variabilis]
OG0002809	EIE26777.1 hypothetical protein COCSUDRAFT_64653 [Coccomyxa subellipsoidea C-169]	XP_005850814.1 hypothetical protein CHLNCDRAFT_50180 [Chlorella variabilis]
OG0002810	EIE26751.1 hypothetical protein COCSUDRAFT_32261_ partial [Coccomyxa subellipsoidea C-169]	XP_005850821.1 hypothetical protein CHLNCDRAFT_140375 [Chlorella variabilis]
OG0002811	EIE24393.1 hypothetical protein COCSUDRAFT_14021 [Coccomyxa subellipsoidea C-169]	XP_005843044.1 hypothetical protein CHLNCDRAFT_55433 [Chlorella variabilis]
OG0002812	EIE27437.1 hypothetical protein COCSUDRAFT_26736 [Coccomyxa subellipsoidea C-169]	XP_005846994.1 hypothetical protein CHLNCDRAFT_24112 [Chlorella variabilis]
OG0002813	EIE25653.1 galactose oxidase [Coccomyxa subellipsoidea C-169]	XP_005850784.1 hypothetical protein CHLNCDRAFT_19775_ partial [Chlorella variabilis]
OG0002814	EIE26430.1 hypothetical protein COCSUDRAFT_58968 [Coccomyxa subellipsoidea C-169]	XP_005844394.1 hypothetical protein CHLNCDRAFT_139038 [Chlorella variabilis]
OG0002815	EIE18927.1 hypothetical protein COCSUDRAFT_49110 [Coccomyxa subellipsoidea C-169]	XP_005850638.1 hypothetical protein CHLNCDRAFT_140640 [Chlorella variabilis]
OG0002816	EIE18794.1 hypothetical protein COCSUDRAFT_68202 [Coccomyxa subellipsoidea C-169]	XP_005851636.1 hypothetical protein CHLNCDRAFT_29643_ partial [Chlorella variabilis]
OG0002817	EIE19801.1 hypothetical protein COCSUDRAFT_58530 [Coccomyxa subellipsoidea C-169]	XP_005851342.1 hypothetical protein CHLNCDRAFT_138232 [Chlorella variabilis]
OG0002818	EIE27025.1 hypothetical protein COCSUDRAFT_83584 [Coccomyxa subellipsoidea C-169]	XP_005850517.1 hypothetical protein CHLNCDRAFT_140360 [Chlorella variabilis]
OG0002819	EIE26754.1 tocopherol cyclase [Coccomyxa subellipsoidea C-169]	XP_005850523.1 hypothetical protein CHLNCDRAFT_19624 [Chlorella variabilis]
OG0002820	EIE20224.1 ubiquinone biosynthesis O-methyltransferase [Coccomyxa subellipsoidea C-169]	XP_005850516.1 hypothetical protein CHLNCDRAFT_12117_ partial [Chlorella variabilis]
OG0002821	EIE22622.1 Adaptor protein complex AP-1 gamma subunit [Coccomyxa subellipsoidea C-169]	XP_005851641.1 hypothetical protein CHLNCDRAFT_18984_ partial [Chlorella variabilis]
OG0002822	EIE18618.1 DUF947-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005850505.1 hypothetical protein CHLNCDRAFT_140335 [Chlorella variabilis]
OG0002824	EIE19554.1 hypothetical protein COCSUDRAFT_67698 [Coccomyxa subellipsoidea C-169]	XP_005851656.1 hypothetical protein CHLNCDRAFT_138247 [Chlorella variabilis], XP_005851657.1 hypothetical protein CHLNCDRAFT_138249 [Chlorella variabilis]
OG0002825	EIE27024.1 hypothetical protein COCSUDRAFT_83583 [Coccomyxa subellipsoidea C-169]	XP_005850522.1 hypothetical protein CHLNCDRAFT_140370 [Chlorella variabilis]
OG0002826	EIE26363.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005844167.1 hypothetical protein CHLNCDRAFT_36976 [Chlorella variabilis]
OG0002827	EIE27356.1 MGC81798 protein-like protein [Coccomyxa subellipsoidea C-169]	XP_005846933.1 hypothetical protein CHLNCDRAFT_134850 [Chlorella variabilis]
OG0002828	EIE21921.1 hypothetical protein COCSUDRAFT_42941 [Coccomyxa subellipsoidea C-169]	XP_005847153.1 hypothetical protein CHLNCDRAFT_58090 [Chlorella variabilis]
OG0002829	EIE27392.1 hypothetical protein COCSUDRAFT_34803 [Coccomyxa subellipsoidea C-169]	XP_005846920.1 hypothetical protein CHLNCDRAFT_24090 [Chlorella variabilis]
OG0002831	EIE21978.1 eukaryotic initiation factor [Coccomyxa subellipsoidea C-169]	XP_005847096.1 hypothetical protein CHLNCDRAFT_134805 [Chlorella variabilis]
OG0002832	EIE19821.1 phosphatidylinositol 3 and 4-kinase family protein_ partial [Coccomyxa subellipsoidea C-169]	XP_005846940.1 hypothetical protein CHLNCDRAFT_134867 [Chlorella variabilis]
OG0002833	EIE18248.1 hypothetical protein COCSUDRAFT_9602_ partial [Coccomyxa subellipsoidea C-169]	XP_005846924.1 hypothetical protein CHLNCDRAFT_134832 [Chlorella variabilis]
OG0002834	EIE27309.1 hypothetical protein COCSUDRAFT_55328 [Coccomyxa subellipsoidea C-169], EIE27307.1 hypothetical protein COCSUDRAFT_55326 [Coccomyxa subellipsoidea C-169]	XP_005846926.1 hypothetical protein CHLNCDRAFT_134835 [Chlorella variabilis]
OG0002835	EIE18298.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]	XP_005846958.1 hypothetical protein CHLNCDRAFT_24273 [Chlorella variabilis]
OG0002836	EIE24114.1 UPF0103-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005846936.1 hypothetical protein CHLNCDRAFT_48888 [Chlorella variabilis]
OG0002837	EIE27351.1 DNA polymerase zeta [Coccomyxa subellipsoidea C-169]	XP_005847139.1 hypothetical protein CHLNCDRAFT_6685_ partial [Chlorella variabilis]
OG0002838	EIE25495.1 hypothetical protein COCSUDRAFT_61708 [Coccomyxa subellipsoidea C-169]	XP_005850096.1 hypothetical protein CHLNCDRAFT_142158 [Chlorella variabilis]
OG0002839	EIE19483.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	XP_005849636.1 hypothetical protein CHLNCDRAFT_21248 [Chlorella variabilis]
OG0002840	EIE19437.1 Dynamin-related protein 5A [Coccomyxa subellipsoidea C-169]	XP_005849633.1 hypothetical protein CHLNCDRAFT_34749 [Chlorella variabilis]
OG0002841	EIE19405.1 DUF393-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005849632.1 hypothetical protein CHLNCDRAFT_143135 [Chlorella variabilis]
OG0002842	EIE25144.1 ribosomal protein L36 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]	XP_005850248.1 hypothetical protein CHLNCDRAFT_141923 [Chlorella variabilis]
OG0002843	EIE23886.1 hypothetical protein COCSUDRAFT_62416 [Coccomyxa subellipsoidea C-169]	XP_005852262.1 hypothetical protein CHLNCDRAFT_133633 [Chlorella variabilis]
OG0002844	EIE25158.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	XP_005850015.1 hypothetical protein CHLNCDRAFT_57029 [Chlorella variabilis]
OG0002845	EIE25136.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005850247.1 hypothetical protein CHLNCDRAFT_34300 [Chlorella variabilis]
OG0002846	EIE22095.1 hypothetical protein COCSUDRAFT_83486_ partial [Coccomyxa subellipsoidea C-169]	XP_005843578.1 hypothetical protein CHLNCDRAFT_140230 [Chlorella variabilis]
OG0002847	EIE20883.1 hypothetical protein COCSUDRAFT_43765 [Coccomyxa subellipsoidea C-169]	XP_005843862.1 hypothetical protein CHLNCDRAFT_54836 [Chlorella variabilis]
OG0002848	EIE27107.1 ribosomal protein L1 [Coccomyxa subellipsoidea C-169]	XP_005843901.1 hypothetical protein CHLNCDRAFT_139764 [Chlorella variabilis]
OG0002849	EIE25089.1 hypothetical protein COCSUDRAFT_35637 [Coccomyxa subellipsoidea C-169]	XP_005850338.1 hypothetical protein CHLNCDRAFT_20347 [Chlorella variabilis]
OG0002850	EIE26531.1 nucleic acid-binding protein [Coccomyxa subellipsoidea C-169]	XP_005850007.1 hypothetical protein CHLNCDRAFT_141952 [Chlorella variabilis]
OG0002851	EIE25159.1 uridylate kinase [Coccomyxa subellipsoidea C-169]	XP_005850268.1 hypothetical protein CHLNCDRAFT_141978 [Chlorella variabilis]
OG0002852	EIE22097.1 hypothetical protein COCSUDRAFT_83488_ partial [Coccomyxa subellipsoidea C-169]	XP_005847578.1 hypothetical protein CHLNCDRAFT_133833 [Chlorella variabilis]
OG0002853	EIE25358.1 hypothetical protein COCSUDRAFT_6454_ partial [Coccomyxa subellipsoidea C-169]	XP_005850271.1 hypothetical protein CHLNCDRAFT_11561_ partial [Chlorella variabilis]
OG0002854	EIE25111.1 DUF6-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005850027.1 hypothetical protein CHLNCDRAFT_142001 [Chlorella variabilis]
OG0002856	EIE22149.1 mitogen-activated protein kinase 5 [Coccomyxa subellipsoidea C-169]	XP_005846540.1 hypothetical protein CHLNCDRAFT_58318 [Chlorella variabilis]
OG0002857	EIE27130.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]	XP_005847194.1 hypothetical protein CHLNCDRAFT_134990 [Chlorella variabilis]
OG0002858	EIE25755.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	XP_005843902.1 hypothetical protein CHLNCDRAFT_49185 [Chlorella variabilis]
OG0002859	EIE23477.1 hypothetical protein COCSUDRAFT_65935 [Coccomyxa subellipsoidea C-169]	XP_005844067.1 hypothetical protein CHLNCDRAFT_10545_ partial [Chlorella variabilis]
OG0002860	EIE19733.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	XP_005843323.1 hypothetical protein CHLNCDRAFT_59282 [Chlorella variabilis]
OG0002863	EIE20609.1 hypothetical protein COCSUDRAFT_18474 [Coccomyxa subellipsoidea C-169]	XP_005849485.1 hypothetical protein CHLNCDRAFT_142785 [Chlorella variabilis]
OG0002864	EIE25703.1 TOR kinase binding protein [Coccomyxa subellipsoidea C-169]	XP_005845694.1 hypothetical protein CHLNCDRAFT_36454 [Chlorella variabilis]
OG0002865	EIE23773.1 COP-II coat subunit [Coccomyxa subellipsoidea C-169]	XP_005843379.1 hypothetical protein CHLNCDRAFT_141205 [Chlorella variabilis]
OG0002866	EIE20697.1 26S proteasome regulatory subunit [Coccomyxa subellipsoidea C-169]	XP_005849817.1 hypothetical protein CHLNCDRAFT_21334 [Chlorella variabilis]
OG0002867	EIE27710.1 hypothetical protein COCSUDRAFT_45960 [Coccomyxa subellipsoidea C-169]	XP_005849544.1 hypothetical protein CHLNCDRAFT_50978 [Chlorella variabilis]
OG0002869	EIE22862.1 ABC1-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005844071.1 hypothetical protein CHLNCDRAFT_32749 [Chlorella variabilis]
OG0002870	EIE24854.1 hypothetical protein COCSUDRAFT_41132 [Coccomyxa subellipsoidea C-169]	XP_005845401.1 hypothetical protein CHLNCDRAFT_136963 [Chlorella variabilis]
OG0002871	EIE22825.1 TPR protein [Coccomyxa subellipsoidea C-169]	XP_005844861.1 hypothetical protein CHLNCDRAFT_26451_ partial [Chlorella variabilis]
OG0002872	EIE21250.1 UBC-like protein [Coccomyxa subellipsoidea C-169]	XP_005843164.1 hypothetical protein CHLNCDRAFT_59324 [Chlorella variabilis]
OG0002874	EIE21438.1 hypothetical protein COCSUDRAFT_53990 [Coccomyxa subellipsoidea C-169]	XP_005845269.1 hypothetical protein CHLNCDRAFT_136962 [Chlorella variabilis]
OG0002875	EIE25110.1 N-ethylmaleimide sensitive fusion protein_ partial [Coccomyxa subellipsoidea C-169]	XP_005850963.1 hypothetical protein CHLNCDRAFT_29882 [Chlorella variabilis]
OG0002876	EIE20822.1 DUF149-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005843389.1 hypothetical protein CHLNCDRAFT_28254 [Chlorella variabilis]
OG0002877	EIE18986.1 glutaredoxin [Coccomyxa subellipsoidea C-169]	XP_005844072.1 hypothetical protein CHLNCDRAFT_37075 [Chlorella variabilis]
