Orthogroup	Coccomyxa_SubellipsoideaC169	Auxenochlorella_protothecoides
OG0002160	EIE25598.1 hypothetical protein COCSUDRAFT_22793 [Coccomyxa subellipsoidea C-169]	RMZ56809.1 hypothetical protein APUTEX25_002898 [Auxenochlorella protothecoides]
OG0002161	EIE20262.1 anthranilate synthase component [Coccomyxa subellipsoidea C-169]	RMZ56813.1 hypothetical protein APUTEX25_002902_ partial [Auxenochlorella protothecoides]
OG0002162	EIE19209.1 60S ribosomal protein L5 [Coccomyxa subellipsoidea C-169]	RMZ56826.1 hypothetical protein APUTEX25_002915 [Auxenochlorella protothecoides]
OG0002163	EIE19617.1 Dor1-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ56835.1 hypothetical protein APUTEX25_002924_ partial [Auxenochlorella protothecoides]
OG0002164	EIE23876.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	RMZ56846.1 hypothetical protein APUTEX25_002935_ partial [Auxenochlorella protothecoides]
OG0002165	EIE23625.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	RMZ56849.1 hypothetical protein APUTEX25_002938_ partial [Auxenochlorella protothecoides]
OG0002166	EIE21123.1 transducin family protein [Coccomyxa subellipsoidea C-169]	RMZ56854.1 hypothetical protein APUTEX25_002943 [Auxenochlorella protothecoides]
OG0002167	EIE23744.1 transcription initiation factor IIA_ gamma subunit [Coccomyxa subellipsoidea C-169]	RMZ56861.1 hypothetical protein APUTEX25_002950 [Auxenochlorella protothecoides]
OG0002168	EIE21726.1 hypothetical protein COCSUDRAFT_83515 [Coccomyxa subellipsoidea C-169]	RMZ56876.1 hypothetical protein APUTEX25_002965 [Auxenochlorella protothecoides]
OG0002169	EIE20453.1 hypothetical protein COCSUDRAFT_30620 [Coccomyxa subellipsoidea C-169]	RMZ56894.1 hypothetical protein APUTEX25_002983 [Auxenochlorella protothecoides]
OG0002170	EIE27235.1 hypothetical protein COCSUDRAFT_38960 [Coccomyxa subellipsoidea C-169]	RMZ56913.1 hypothetical protein APUTEX25_004975 [Auxenochlorella protothecoides]
OG0002171	EIE20839.1 carbamoyl-phosphate synthase [Coccomyxa subellipsoidea C-169]	RMZ56922.1 hypothetical protein APUTEX25_004984_ partial [Auxenochlorella protothecoides]
OG0002172	EIE27280.1 ribosomal protein L32e [Coccomyxa subellipsoidea C-169]	RMZ56923.1 hypothetical protein APUTEX25_004985 [Auxenochlorella protothecoides]
OG0002173	EIE27234.1 AAA-ATPase of VPS4/SKD1 family [Coccomyxa subellipsoidea C-169]	RMZ56928.1 hypothetical protein APUTEX25_004990 [Auxenochlorella protothecoides]
OG0002174	EIE20846.1 Metallo-dependent phosphatase [Coccomyxa subellipsoidea C-169]	RMZ56930.1 hypothetical protein APUTEX25_004992 [Auxenochlorella protothecoides]
OG0002175	EIE20837.1 Diphthine synthase [Coccomyxa subellipsoidea C-169]	RMZ56954.1 hypothetical protein APUTEX25_005016 [Auxenochlorella protothecoides]
OG0002176	EIE25467.1 protoheme IX farnesyltransferase [Coccomyxa subellipsoidea C-169]	RMZ56958.1 hypothetical protein APUTEX25_005020 [Auxenochlorella protothecoides]
OG0002177	EIE27283.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	RMZ56959.1 hypothetical protein APUTEX25_005021 [Auxenochlorella protothecoides]
OG0002178	EIE18266.1 glycoside hydrolase [Coccomyxa subellipsoidea C-169]	RMZ56963.1 hypothetical protein APUTEX25_005025 [Auxenochlorella protothecoides]
OG0002179	EIE27254.1 breast carcinoma amplified sequence 2 [Coccomyxa subellipsoidea C-169]	RMZ56967.1 hypothetical protein APUTEX25_005029 [Auxenochlorella protothecoides]
OG0002180	EIE20891.1 TRAPP I complex [Coccomyxa subellipsoidea C-169]	RMZ56971.1 hypothetical protein APUTEX25_005033 [Auxenochlorella protothecoides]
OG0002181	EIE19834.1 DUF28-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ56977.1 hypothetical protein APUTEX25_005039 [Auxenochlorella protothecoides]
OG0002182	EIE26367.1 DUF846-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57007.1 hypothetical protein APUTEX25_002239_ partial [Auxenochlorella protothecoides]
OG0002184	EIE26613.1 ATP-dependent metallopeptidase Hfl [Coccomyxa subellipsoidea C-169]	RMZ57014.1 hypothetical protein APUTEX25_002246 [Auxenochlorella protothecoides]
OG0002185	EIE20014.1 plastid ribosomal protein L4 large ribosomal subunit [Coccomyxa subellipsoidea C-169]	RMZ57021.1 hypothetical protein APUTEX25_002253 [Auxenochlorella protothecoides]
OG0002186	EIE27150.1 hypothetical protein COCSUDRAFT_11508_ partial [Coccomyxa subellipsoidea C-169]	RMZ57031.1 hypothetical protein APUTEX25_002263_ partial [Auxenochlorella protothecoides]
OG0002187	EIE20557.1 ARF/SAR superfamily [Coccomyxa subellipsoidea C-169]	RMZ57033.1 hypothetical protein APUTEX25_002265 [Auxenochlorella protothecoides]
OG0002188	EIE18281.1 hypothetical protein COCSUDRAFT_60473 [Coccomyxa subellipsoidea C-169]	RMZ57045.1 hypothetical protein APUTEX25_002277_ partial [Auxenochlorella protothecoides]
OG0002189	EIE20796.1 flagellar outer dynein arm light chain 2 [Coccomyxa subellipsoidea C-169]	RMZ57055.1 hypothetical protein APUTEX25_002287 [Auxenochlorella protothecoides]
OG0002190	EIE19797.1 DUF1681-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57072.1 hypothetical protein APUTEX25_002304_ partial [Auxenochlorella protothecoides]
OG0002191	EIE27147.1 TRM-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57077.1 hypothetical protein APUTEX25_002309 [Auxenochlorella protothecoides]
OG0002192	EIE23641.1 hypothetical protein COCSUDRAFT_47374 [Coccomyxa subellipsoidea C-169]	RMZ57084.1 hypothetical protein APUTEX25_002316 [Auxenochlorella protothecoides]
OG0002193	EIE27246.1 hypothetical protein COCSUDRAFT_38970 [Coccomyxa subellipsoidea C-169]	RMZ57142.1 hypothetical protein APUTEX25_003599_ partial [Auxenochlorella protothecoides]
OG0002194	EIE27243.1 tubulin folding cofactor B [Coccomyxa subellipsoidea C-169]	RMZ57145.1 hypothetical protein APUTEX25_003602 [Auxenochlorella protothecoides]
OG0002195	EIE19272.1 succinyl-CoA ligase alpha chain [Coccomyxa subellipsoidea C-169]	RMZ57158.1 hypothetical protein APUTEX25_003992 [Auxenochlorella protothecoides]
OG0002196	EIE23052.1 Profilin/allergen [Coccomyxa subellipsoidea C-169]	RMZ57159.1 hypothetical protein APUTEX25_003993_ partial [Auxenochlorella protothecoides]
OG0002197	EIE23087.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57166.1 hypothetical protein APUTEX25_004000 [Auxenochlorella protothecoides]
OG0002198	EIE21723.1 hypothetical protein COCSUDRAFT_83512 [Coccomyxa subellipsoidea C-169]	RMZ57171.1 hypothetical protein APUTEX25_004005 [Auxenochlorella protothecoides]
OG0002199	EIE22779.1 Rhodanese-like protein [Coccomyxa subellipsoidea C-169]	RMZ57172.1 hypothetical protein APUTEX25_004006 [Auxenochlorella protothecoides]
OG0002200	EIE22795.1 hypothetical protein COCSUDRAFT_47698 [Coccomyxa subellipsoidea C-169]	RMZ57189.1 hypothetical protein APUTEX25_004023_ partial [Auxenochlorella protothecoides]
OG0002201	EIE25085.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	RMZ57190.1 hypothetical protein APUTEX25_004024 [Auxenochlorella protothecoides]
OG0002202	EIE26167.1 vacuolar protein sorting-associated protein 26 [Coccomyxa subellipsoidea C-169]	RMZ57201.1 hypothetical protein APUTEX25_004035_ partial [Auxenochlorella protothecoides]
OG0002203	EIE25384.1 cation-transporting ATPase [Coccomyxa subellipsoidea C-169]	RMZ57204.1 hypothetical protein APUTEX25_004038 [Auxenochlorella protothecoides]
OG0002204	EIE25185.1 hypothetical protein COCSUDRAFT_61427 [Coccomyxa subellipsoidea C-169]	RMZ57216.1 hypothetical protein APUTEX25_004050 [Auxenochlorella protothecoides]
OG0002205	EIE25430.1 CCR4-associated factor [Coccomyxa subellipsoidea C-169]	RMZ57254.1 hypothetical protein APUTEX25_004088 [Auxenochlorella protothecoides]
OG0002206	EIE20178.1 ATP-binding cassette transporter [Coccomyxa subellipsoidea C-169]	RMZ57260.1 hypothetical protein APUTEX25_004094 [Auxenochlorella protothecoides]
OG0002207	EIE22942.1 hypothetical protein COCSUDRAFT_63339 [Coccomyxa subellipsoidea C-169]	RMZ57267.1 hypothetical protein APUTEX25_004101 [Auxenochlorella protothecoides]
OG0002208	EIE21919.1 hypothetical protein COCSUDRAFT_56364 [Coccomyxa subellipsoidea C-169]	RMZ57269.1 hypothetical protein APUTEX25_004103 [Auxenochlorella protothecoides]
OG0002209	EIE22789.1 hypothetical protein COCSUDRAFT_47695 [Coccomyxa subellipsoidea C-169]	RMZ57271.1 hypothetical protein APUTEX25_004105_ partial [Auxenochlorella protothecoides]
OG0002210	EIE24939.1 hypothetical protein COCSUDRAFT_47016 [Coccomyxa subellipsoidea C-169]	RMZ57272.1 hypothetical protein APUTEX25_004106 [Auxenochlorella protothecoides]
OG0002211	EIE21068.1 hypothetical protein COCSUDRAFT_54108 [Coccomyxa subellipsoidea C-169]	RMZ57275.1 hypothetical protein APUTEX25_004109_ partial [Auxenochlorella protothecoides]
OG0002212	EIE25351.1 lipoate protein ligase-like protein [Coccomyxa subellipsoidea C-169]	RMZ57303.1 hypothetical protein APUTEX25_004137 [Auxenochlorella protothecoides]
OG0002213	EIE18660.1 hypothetical protein COCSUDRAFT_59969 [Coccomyxa subellipsoidea C-169]	RMZ57312.1 hypothetical protein APUTEX25_004146 [Auxenochlorella protothecoides]
OG0002214	EIE19782.1 Bystin-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19779.1 51.6 kd-like protein [Coccomyxa subellipsoidea C-169]	RMZ57327.1 hypothetical protein APUTEX25_004161 [Auxenochlorella protothecoides]
OG0002215	EIE25387.1 ribosomal protein S17 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]	RMZ57332.1 hypothetical protein APUTEX25_004166 [Auxenochlorella protothecoides]
OG0002216	EIE24890.1 hypothetical protein COCSUDRAFT_41160 [Coccomyxa subellipsoidea C-169]	RMZ57348.1 hypothetical protein APUTEX25_004182 [Auxenochlorella protothecoides]
OG0002217	EIE22753.1 glycosyl hydrolase family 38 protein_ partial [Coccomyxa subellipsoidea C-169]	RMZ57377.1 hypothetical protein APUTEX25_004211_ partial [Auxenochlorella protothecoides]
OG0002218	EIE24630.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57417.1 hypothetical protein APUTEX25_004251 [Auxenochlorella protothecoides]
OG0002219	EIE22735.1 LL-diaminopimelate aminotransferase [Coccomyxa subellipsoidea C-169]	RMZ57428.1 hypothetical protein APUTEX25_004262 [Auxenochlorella protothecoides]
OG0002220	EIE24866.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]	RMZ57431.1 hypothetical protein APUTEX25_004265 [Auxenochlorella protothecoides]
OG0002221	EIE24799.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]	RMZ57439.1 hypothetical protein APUTEX25_004273 [Auxenochlorella protothecoides]
OG0002222	EIE24035.1 hypothetical protein COCSUDRAFT_62559 [Coccomyxa subellipsoidea C-169], EIE20419.1 adenine nucleotide alpha hydrolases-like protein [Coccomyxa subellipsoidea C-169], EIE21634.1 hypothetical protein COCSUDRAFT_54050 [Coccomyxa subellipsoidea C-169]	RMZ57443.1 hypothetical protein APUTEX25_004277 [Auxenochlorella protothecoides]
OG0002223	EIE25338.1 HSP20-like chaperone [Coccomyxa subellipsoidea C-169]	RMZ57449.1 hypothetical protein APUTEX25_004283 [Auxenochlorella protothecoides]
OG0002224	EIE27218.1 hypothetical protein COCSUDRAFT_64127 [Coccomyxa subellipsoidea C-169]	RMZ57472.1 hypothetical protein APUTEX25_004306 [Auxenochlorella protothecoides]
OG0002225	EIE18808.1 hypothetical protein COCSUDRAFT_44977 [Coccomyxa subellipsoidea C-169]	RMZ57479.1 hypothetical protein APUTEX25_004313 [Auxenochlorella protothecoides]
OG0002226	EIE18719.1 Zinc/iron permease [Coccomyxa subellipsoidea C-169]	RMZ57491.1 hypothetical protein APUTEX25_003734 [Auxenochlorella protothecoides]
OG0002227	EIE26868.1 Amidophosphoribosyl transferase [Coccomyxa subellipsoidea C-169]	RMZ57492.1 hypothetical protein APUTEX25_003735_ partial [Auxenochlorella protothecoides]
OG0002228	EIE18724.1 Fcf1-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57493.1 hypothetical protein APUTEX25_003736_ partial [Auxenochlorella protothecoides]
OG0002229	EIE18725.1 hypothetical protein COCSUDRAFT_20380 [Coccomyxa subellipsoidea C-169], EIE18728.1 hypothetical protein COCSUDRAFT_60035 [Coccomyxa subellipsoidea C-169]	RMZ57512.1 hypothetical protein APUTEX25_003755_ partial [Auxenochlorella protothecoides]
OG0002230	EIE23252.1 hypothetical protein COCSUDRAFT_63608 [Coccomyxa subellipsoidea C-169]	RMZ57517.1 hypothetical protein APUTEX25_003760 [Auxenochlorella protothecoides]
OG0002231	EIE21225.1 thioredoxin-like protein [Coccomyxa subellipsoidea C-169]	RMZ57528.1 hypothetical protein APUTEX25_001728 [Auxenochlorella protothecoides]
OG0002232	EIE23267.1 Metallophos-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57531.1 hypothetical protein APUTEX25_001731 [Auxenochlorella protothecoides]
OG0002233	EIE22423.1 UDP-sugar pyrophosphorylase 1 [Coccomyxa subellipsoidea C-169]	RMZ57564.1 hypothetical protein APUTEX25_001764_ partial [Auxenochlorella protothecoides]
OG0002234	EIE19514.1 hypothetical protein COCSUDRAFT_83565_ partial [Coccomyxa subellipsoidea C-169]	RMZ57565.1 hypothetical protein APUTEX25_001765 [Auxenochlorella protothecoides]
OG0002235	EIE26909.1 Brix-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57566.1 hypothetical protein APUTEX25_001766_ partial [Auxenochlorella protothecoides]
OG0002236	EIE23751.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57592.1 hypothetical protein APUTEX25_001792_ partial [Auxenochlorella protothecoides]
OG0002237	EIE20922.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]	RMZ57594.1 hypothetical protein APUTEX25_001794 [Auxenochlorella protothecoides]
OG0002238	EIE24086.1 PCI-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57596.1 hypothetical protein APUTEX25_001796 [Auxenochlorella protothecoides]
OG0002239	EIE26899.1 hypothetical protein COCSUDRAFT_64712 [Coccomyxa subellipsoidea C-169]	RMZ57600.1 hypothetical protein APUTEX25_001800 [Auxenochlorella protothecoides]
OG0002240	EIE26115.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE22600.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169], EIE24502.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]	RMZ57612.1 hypothetical protein APUTEX25_001812 [Auxenochlorella protothecoides]
OG0002241	EIE20016.1 hypothetical protein COCSUDRAFT_54518 [Coccomyxa subellipsoidea C-169]	RMZ57620.1 hypothetical protein APUTEX25_001820 [Auxenochlorella protothecoides]
OG0002242	EIE19576.1 hypothetical protein COCSUDRAFT_19300_ partial [Coccomyxa subellipsoidea C-169]	RMZ57628.1 hypothetical protein APUTEX25_001828 [Auxenochlorella protothecoides]
OG0002243	EIE20913.1 CTP synthase [Coccomyxa subellipsoidea C-169]	RMZ57631.1 hypothetical protein APUTEX25_001831 [Auxenochlorella protothecoides]
OG0002244	EIE19432.1 hypothetical protein COCSUDRAFT_54686 [Coccomyxa subellipsoidea C-169]	RMZ57636.1 hypothetical protein APUTEX25_001836 [Auxenochlorella protothecoides]
OG0002245	EIE22182.1 elongation factor 2 [Coccomyxa subellipsoidea C-169]	RMZ57638.1 hypothetical protein APUTEX25_001838_ partial [Auxenochlorella protothecoides]
OG0002247	EIE22385.1 FtsJ-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ57646.1 hypothetical protein APUTEX25_001846 [Auxenochlorella protothecoides]
OG0002248	EIE20809.1 peptidase C19_ ubiquitin carboxyl-terminal hydrolase 2_ partial [Coccomyxa subellipsoidea C-169]	RMZ57661.1 hypothetical protein APUTEX25_001861 [Auxenochlorella protothecoides]
OG0002249	EIE22704.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]	RMZ57665.1 hypothetical protein APUTEX25_001865_ partial [Auxenochlorella protothecoides]
OG0002250	EIE22731.1 hypothetical protein COCSUDRAFT_66367 [Coccomyxa subellipsoidea C-169]	RMZ57670.1 hypothetical protein APUTEX25_001870 [Auxenochlorella protothecoides]
OG0002251	EIE26037.1 hypothetical protein COCSUDRAFT_40212 [Coccomyxa subellipsoidea C-169]	RMZ57688.1 hypothetical protein APUTEX25_001888_ partial [Auxenochlorella protothecoides]
OG0002252	EIE27348.1 hypothetical protein COCSUDRAFT_55364 [Coccomyxa subellipsoidea C-169]	RMZ57719.1 hypothetical protein APUTEX25_005565 [Auxenochlorella protothecoides]
OG0002366	EIE20833.1 adenine nucleotide hydrolase [Coccomyxa subellipsoidea C-169]	RMZ52009.1 hypothetical protein APUTEX25_001203 [Auxenochlorella protothecoides]
OG0002367	EIE27370.1 hypothetical protein COCSUDRAFT_11398 [Coccomyxa subellipsoidea C-169]	RMZ52013.1 hypothetical protein APUTEX25_001207 [Auxenochlorella protothecoides]
OG0002368	EIE18688.1 hypothetical protein COCSUDRAFT_49169 [Coccomyxa subellipsoidea C-169]	RMZ52030.1 hypothetical protein APUTEX25_001224 [Auxenochlorella protothecoides]
OG0002369	EIE27341.1 hypothetical protein COCSUDRAFT_11586_ partial [Coccomyxa subellipsoidea C-169]	RMZ52032.1 hypothetical protein APUTEX25_001226_ partial [Auxenochlorella protothecoides]
OG0002370	EIE25753.1 PCI-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52034.1 hypothetical protein APUTEX25_001228 [Auxenochlorella protothecoides]
OG0002371	EIE27405.1 histone acetyltransferase [Coccomyxa subellipsoidea C-169]	RMZ52037.1 hypothetical protein APUTEX25_001231 [Auxenochlorella protothecoides]
OG0002372	EIE18024.1 soluble starch synthase [Coccomyxa subellipsoidea C-169]	RMZ52041.1 hypothetical protein APUTEX25_001235_ partial [Auxenochlorella protothecoides]
OG0002373	EIE20612.1 hypothetical protein COCSUDRAFT_10544_ partial [Coccomyxa subellipsoidea C-169]	RMZ52042.1 hypothetical protein APUTEX25_001236 [Auxenochlorella protothecoides]
OG0002374	EIE20534.1 hypothetical protein COCSUDRAFT_54347 [Coccomyxa subellipsoidea C-169]	RMZ52045.1 hypothetical protein APUTEX25_001239 [Auxenochlorella protothecoides]
OG0002375	EIE27364.1 ubiquinone/menaquinone biosynthesis methyltransferase_ partial [Coccomyxa subellipsoidea C-169]	RMZ52048.1 hypothetical protein APUTEX25_001242 [Auxenochlorella protothecoides]
OG0002376	EIE25696.1 protein serine/threonine phosphatase 2C [Coccomyxa subellipsoidea C-169]	RMZ52052.1 hypothetical protein APUTEX25_001246 [Auxenochlorella protothecoides]
OG0002377	EIE25733.1 glycerol-3-phosphate 1-acyltransferase_ partial [Coccomyxa subellipsoidea C-169]	RMZ52054.1 hypothetical protein APUTEX25_001248_ partial [Auxenochlorella protothecoides]
OG0002378	EIE27293.1 hypothetical protein COCSUDRAFT_11390 [Coccomyxa subellipsoidea C-169]	RMZ52056.1 hypothetical protein APUTEX25_001250 [Auxenochlorella protothecoides]
OG0002379	EIE25510.1 T-complex protein 1 [Coccomyxa subellipsoidea C-169]	RMZ52070.1 hypothetical protein APUTEX25_001264 [Auxenochlorella protothecoides]
OG0002380	EIE18700.1 hypothetical protein COCSUDRAFT_45178 [Coccomyxa subellipsoidea C-169]	RMZ52090.1 hypothetical protein APUTEX25_001284 [Auxenochlorella protothecoides]
OG0002381	EIE27206.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]	RMZ52097.1 hypothetical protein APUTEX25_001291_ partial [Auxenochlorella protothecoides]
OG0002382	EIE27296.1 hypothetical protein COCSUDRAFT_64161 [Coccomyxa subellipsoidea C-169]	RMZ52102.1 hypothetical protein APUTEX25_001296_ partial [Auxenochlorella protothecoides]
OG0002383	EIE27367.1 hypothetical protein COCSUDRAFT_64195 [Coccomyxa subellipsoidea C-169]	RMZ52111.1 hypothetical protein APUTEX25_001305_ partial [Auxenochlorella protothecoides]
OG0002384	EIE18692.1 hypothetical protein COCSUDRAFT_68160 [Coccomyxa subellipsoidea C-169]	RMZ52112.1 hypothetical protein APUTEX25_001306_ partial [Auxenochlorella protothecoides]
OG0002385	EIE19084.1 hypothetical protein COCSUDRAFT_31344 [Coccomyxa subellipsoidea C-169]	RMZ52125.1 hypothetical protein APUTEX25_001515 [Auxenochlorella protothecoides]
OG0002386	EIE19062.1 vacuolar ATP synthase_ subunit A [Coccomyxa subellipsoidea C-169]	RMZ52133.1 hypothetical protein APUTEX25_001523 [Auxenochlorella protothecoides]
OG0002387	EIE19118.1 hypothetical protein COCSUDRAFT_19902_ partial [Coccomyxa subellipsoidea C-169]	RMZ52137.1 hypothetical protein APUTEX25_001527 [Auxenochlorella protothecoides]
OG0002388	EIE25751.1 hypothetical protein COCSUDRAFT_12888 [Coccomyxa subellipsoidea C-169]	RMZ52149.1 hypothetical protein APUTEX25_001539_ partial [Auxenochlorella protothecoides]
OG0002389	EIE19145.1 hypothetical protein COCSUDRAFT_59628 [Coccomyxa subellipsoidea C-169]	RMZ52150.1 hypothetical protein APUTEX25_001540 [Auxenochlorella protothecoides]
OG0002390	EIE26862.1 hypothetical protein COCSUDRAFT_39838 [Coccomyxa subellipsoidea C-169]	RMZ52159.1 hypothetical protein APUTEX25_001549_ partial [Auxenochlorella protothecoides]
OG0002391	EIE18778.1 metal-dependent protein hydrolase [Coccomyxa subellipsoidea C-169]	RMZ52163.1 hypothetical protein APUTEX25_001553 [Auxenochlorella protothecoides]
OG0002392	EIE23550.1 zeta-cop_ subunit of COP-I complex [Coccomyxa subellipsoidea C-169]	RMZ52187.1 hypothetical protein APUTEX25_001577 [Auxenochlorella protothecoides]
OG0002393	EIE19590.1 4A/4B type thioredoxin-like protein [Coccomyxa subellipsoidea C-169]	RMZ52201.1 hypothetical protein APUTEX25_001591_ partial [Auxenochlorella protothecoides]
OG0002394	EIE26309.1 hypothetical protein COCSUDRAFT_12315_ partial [Coccomyxa subellipsoidea C-169]	RMZ52207.1 hypothetical protein APUTEX25_001597 [Auxenochlorella protothecoides]
OG0002396	EIE23395.1 hypothetical protein COCSUDRAFT_62930 [Coccomyxa subellipsoidea C-169]	RMZ52227.1 hypothetical protein APUTEX25_001617_ partial [Auxenochlorella protothecoides]
OG0002397	EIE26403.1 hypothetical protein COCSUDRAFT_46074 [Coccomyxa subellipsoidea C-169]	RMZ52228.1 hypothetical protein APUTEX25_001618 [Auxenochlorella protothecoides]
OG0002398	EIE23593.1 photosystem II biogenesis protein Psp29 [Coccomyxa subellipsoidea C-169]	RMZ52235.1 hypothetical protein APUTEX25_001625 [Auxenochlorella protothecoides]
OG0002399	EIE25999.1 RabGAP/TBC protein [Coccomyxa subellipsoidea C-169]	RMZ52239.1 hypothetical protein APUTEX25_001629 [Auxenochlorella protothecoides]
OG0002400	EIE23592.1 hypothetical protein COCSUDRAFT_66002 [Coccomyxa subellipsoidea C-169]	RMZ52240.1 hypothetical protein APUTEX25_001630 [Auxenochlorella protothecoides]
OG0002401	EIE20807.1 hypothetical protein COCSUDRAFT_67242_ partial [Coccomyxa subellipsoidea C-169]	RMZ52243.1 hypothetical protein APUTEX25_001633 [Auxenochlorella protothecoides]
OG0002402	EIE25418.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52245.1 hypothetical protein APUTEX25_001635 [Auxenochlorella protothecoides]
OG0002403	EIE19194.1 DUF382-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52247.1 hypothetical protein APUTEX25_001637 [Auxenochlorella protothecoides]
OG0002404	EIE18798.1 20S proteasome beta subunit_ type 4 [Coccomyxa subellipsoidea C-169]	RMZ52264.1 hypothetical protein APUTEX25_001654 [Auxenochlorella protothecoides]
OG0002405	EIE26215.1 TerC-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52266.1 hypothetical protein APUTEX25_001656_ partial [Auxenochlorella protothecoides]
OG0002406	EIE19077.1 RabGAP/TBC protein [Coccomyxa subellipsoidea C-169]	RMZ52268.1 hypothetical protein APUTEX25_001658 [Auxenochlorella protothecoides]
OG0002407	EIE19780.1 DUF254-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52282.1 hypothetical protein APUTEX25_001672 [Auxenochlorella protothecoides]
OG0002408	EIE26356.1 hypothetical protein COCSUDRAFT_12481 [Coccomyxa subellipsoidea C-169]	RMZ52306.1 hypothetical protein APUTEX25_005059 [Auxenochlorella protothecoides]
OG0002409	EIE26497.1 hypothetical protein COCSUDRAFT_46111 [Coccomyxa subellipsoidea C-169]	RMZ52309.1 hypothetical protein APUTEX25_005062 [Auxenochlorella protothecoides]
OG0002410	EIE26627.1 acetylglutamate kinase_ partial [Coccomyxa subellipsoidea C-169]	RMZ52310.1 hypothetical protein APUTEX25_005063_ partial [Auxenochlorella protothecoides]
OG0002411	EIE26584.1 ATP-binding cassette transporter [Coccomyxa subellipsoidea C-169]	RMZ52316.1 hypothetical protein APUTEX25_005069 [Auxenochlorella protothecoides]
OG0002412	EIE24320.1 allantoinase [Coccomyxa subellipsoidea C-169]	RMZ52327.1 hypothetical protein APUTEX25_005080 [Auxenochlorella protothecoides]
OG0002413	EIE26494.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Coccomyxa subellipsoidea C-169]	RMZ52332.1 hypothetical protein APUTEX25_005085 [Auxenochlorella protothecoides]
OG0002414	EIE21976.1 phosphoribosyl pyrophosphate synthetase II [Coccomyxa subellipsoidea C-169]	RMZ52348.1 hypothetical protein APUTEX25_001710 [Auxenochlorella protothecoides]
OG0002415	EIE25991.1 Pantoate--beta-alanine ligase [Coccomyxa subellipsoidea C-169]	RMZ52356.1 hypothetical protein APUTEX25_000631 [Auxenochlorella protothecoides]
OG0002416	EIE26853.1 electron transfer flavo protein beta-subunit_electron transfer flavo protein alpha subunit_ partial [Coccomyxa subellipsoidea C-169]	RMZ52362.1 hypothetical protein APUTEX25_000637_ partial [Auxenochlorella protothecoides]
OG0002417	EIE24059.1 mitochondrial substrate carrier protein [Coccomyxa subellipsoidea C-169]	RMZ52367.1 hypothetical protein APUTEX25_000642 [Auxenochlorella protothecoides]
OG0002418	EIE27636.1 valyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]	RMZ52371.1 hypothetical protein APUTEX25_000646 [Auxenochlorella protothecoides]
OG0002419	EIE26801.1 hypothetical protein COCSUDRAFT_59309 [Coccomyxa subellipsoidea C-169]	RMZ52389.1 hypothetical protein APUTEX25_000664_ partial [Auxenochlorella protothecoides], RMZ52394.1 hypothetical protein APUTEX25_000669_ partial [Auxenochlorella protothecoides]
OG0002421	EIE22151.1 DNA polymerase delta subunit one [Coccomyxa subellipsoidea C-169]	RMZ52391.1 hypothetical protein APUTEX25_000666 [Auxenochlorella protothecoides]
OG0002422	EIE24281.1 hypothetical protein COCSUDRAFT_28729 [Coccomyxa subellipsoidea C-169]	RMZ52412.1 hypothetical protein APUTEX25_000687_ partial [Auxenochlorella protothecoides]
