Orthogroup	Scenedesmus_PABB004	Coccomyxa_SubellipsoideaC169
OG0002463	KAF8064661.1 hypothetical protein HT031_003463 [Scenedesmus sp. PABB004]	EIE24431.1 hypothetical protein COCSUDRAFT_52958 [Coccomyxa subellipsoidea C-169]
OG0002464	KAF8070915.1 TPS5 [Scenedesmus sp. PABB004]	EIE27674.1 hypothetical protein COCSUDRAFT_34928 [Coccomyxa subellipsoidea C-169]
OG0002465	KAF8055391.1 MCM3 [Scenedesmus sp. PABB004]	EIE20429.1 MCM-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002467	KAF8057642.1 ptpA [Scenedesmus sp. PABB004]	EIE24509.1 hypothetical protein COCSUDRAFT_61938 [Coccomyxa subellipsoidea C-169]
OG0002470	KAF8058109.1 SURF1 [Scenedesmus sp. PABB004]	EIE23234.1 hypothetical protein COCSUDRAFT_63590 [Coccomyxa subellipsoidea C-169]
OG0002471	KAF8063846.1 ABCC4 [Scenedesmus sp. PABB004]	EIE19290.1 P-loop containing nucleoside triphosphate hydrolase protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002472	KAF8057150.1 nrf1 [Scenedesmus sp. PABB004]	EIE21856.1 hypothetical protein COCSUDRAFT_16944 [Coccomyxa subellipsoidea C-169]
OG0002473	KAF8064607.1 SEN1 [Scenedesmus sp. PABB004]	EIE20779.1 RRN3-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002474	KAF8061390.1 CTPA3 [Scenedesmus sp. PABB004]	EIE21383.1 C-terminal processing peptidase [Coccomyxa subellipsoidea C-169]
OG0002475	KAF8071171.1 hrq1 [Scenedesmus sp. PABB004]	EIE24715.1 DEAD-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002479	KAF8059112.1 aarF domain-containing protein kinase [Scenedesmus sp. PABB004]	EIE26383.1 ABC1-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002480	KAF8068292.1 hypothetical protein HT031_001979 [Scenedesmus sp. PABB004]	EIE25211.1 tumor susceptibility protein [Coccomyxa subellipsoidea C-169]
OG0002482	KAF8058848.1 RRP44A [Scenedesmus sp. PABB004]	EIE23192.1 RNB-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002483	KAF8063758.1 DEAD-box ATP-dependent RNA helicase 6 [Scenedesmus sp. PABB004]	EIE22383.1 cytoplasmic DExD/H-box RNA helicase [Coccomyxa subellipsoidea C-169]
OG0002484	KAF8060618.1 B'ETA [Scenedesmus sp. PABB004]	EIE24469.1 PP2A-widerborst subunit [Coccomyxa subellipsoidea C-169]
OG0002485	KAF8073201.1 Dbt [Scenedesmus sp. PABB004]	EIE27558.1 hypothetical protein COCSUDRAFT_55557 [Coccomyxa subellipsoidea C-169]
OG0002486	KAF8071105.1 hypothetical protein HT031_001187 [Scenedesmus sp. PABB004]	EIE27552.1 FAD-linked oxidoreductase_ partial [Coccomyxa subellipsoidea C-169]
OG0002487	KAF8073169.1 yitJ [Scenedesmus sp. PABB004]	EIE19528.1 homocysteine S-methyltransferase AtHMT-1 [Coccomyxa subellipsoidea C-169]
OG0002489	KAF8072414.1 Alg14 [Scenedesmus sp. PABB004]	EIE27833.1 hypothetical protein COCSUDRAFT_83453_ partial [Coccomyxa subellipsoidea C-169]
OG0002490	KAF8055723.1 utp15 [Scenedesmus sp. PABB004]	EIE23613.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0002491	KAF8070972.1 AP4M [Scenedesmus sp. PABB004]	EIE26785.1 clathrin adaptor_ mu subunit [Coccomyxa subellipsoidea C-169]
OG0002492	KAF8070867.1 hypothetical protein HT031_000948 [Scenedesmus sp. PABB004]	EIE26722.1 hypothetical protein COCSUDRAFT_27193 [Coccomyxa subellipsoidea C-169]
OG0002493	KAF8060506.1 ubiquinone biosynthesis protein COQ4 [Scenedesmus sp. PABB004]	EIE24601.1 ubiquinone biosynthesis protein [Coccomyxa subellipsoidea C-169]
OG0002494	KAF8073114.1 SPS1 [Scenedesmus sp. PABB004]	EIE21968.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169]
OG0002495	KAF8055830.1 hypothetical protein HT031_006605 [Scenedesmus sp. PABB004], KAF8055829.1 MEP5 [Scenedesmus sp. PABB004]	EIE27440.1 protein prenylyltransferase [Coccomyxa subellipsoidea C-169]
OG0002496	KAF8060466.1 folate-biopterin transporter 1 [Scenedesmus sp. PABB004]	EIE19956.1 Biopterin transport-related protein BT1 [Coccomyxa subellipsoidea C-169]
OG0002497	KAF8070850.1 hypothetical protein HT031_000931 [Scenedesmus sp. PABB004]	EIE26720.1 hypothetical protein COCSUDRAFT_52434 [Coccomyxa subellipsoidea C-169]
OG0002498	KAF8073096.1 hypothetical protein HT031_000757 [Scenedesmus sp. PABB004]	EIE24402.1 hypothetical protein COCSUDRAFT_46793 [Coccomyxa subellipsoidea C-169]
OG0002500	KAF8056143.1 hypothetical protein HT031_006494 [Scenedesmus sp. PABB004]	EIE22380.1 hypothetical protein COCSUDRAFT_56069 [Coccomyxa subellipsoidea C-169]
OG0002502	KAF8055089.1 NAA15 [Scenedesmus sp. PABB004]	EIE27694.1 N-terminal acetyltransferase A_ auxiliary subunit [Coccomyxa subellipsoidea C-169]
OG0002503	KAF8063834.1 RRP5 [Scenedesmus sp. PABB004]	EIE23380.1 hypothetical protein COCSUDRAFT_28807 [Coccomyxa subellipsoidea C-169]
OG0002504	KAF8067238.1 elp4 [Scenedesmus sp. PABB004]	EIE24544.1 hypothetical protein COCSUDRAFT_40910 [Coccomyxa subellipsoidea C-169]
OG0002505	KAF8062659.1 SWC4 [Scenedesmus sp. PABB004]	EIE23565.1 hypothetical protein COCSUDRAFT_65984 [Coccomyxa subellipsoidea C-169]
OG0002506	KAF8059661.1 CA1 [Scenedesmus sp. PABB004]	EIE21826.1 calcium ATPase [Coccomyxa subellipsoidea C-169]
OG0002507	KAF8065963.1 rnf121 [Scenedesmus sp. PABB004]	EIE27720.1 hypothetical protein COCSUDRAFT_6996_ partial [Coccomyxa subellipsoidea C-169]
OG0002508	KAF8073207.1 rio2 [Scenedesmus sp. PABB004]	EIE18013.1 RIO1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002509	KAF8055989.1 LA1 [Scenedesmus sp. PABB004]	EIE26293.1 hypothetical protein COCSUDRAFT_46027 [Coccomyxa subellipsoidea C-169]
OG0002511	KAF8071351.1 AP2-3 [Scenedesmus sp. PABB004]	EIE25786.1 hypothetical protein COCSUDRAFT_64835 [Coccomyxa subellipsoidea C-169], EIE25658.1 hypothetical protein COCSUDRAFT_64766_ partial [Coccomyxa subellipsoidea C-169]
OG0002513	KAF8072786.1 serine/threonine-protein kinase [Scenedesmus sp. PABB004]	EIE27199.1 FabD/lysophospholipase-like protein [Coccomyxa subellipsoidea C-169]
OG0002514	KAF8066204.1 ycf42 [Scenedesmus sp. PABB004]	EIE26165.1 3-hydroxybutyrate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0002516	KAF8060519.1 Ycf53-like protein [Scenedesmus sp. PABB004]	EIE26147.1 GUN4-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002517	KAF8068301.1 MED31 [Scenedesmus sp. PABB004]	EIE25955.1 SOH1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002518	KAF8065482.1 MCM7 [Scenedesmus sp. PABB004]	EIE27285.1 MCM-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002519	KAF8070961.1 GCN2 [Scenedesmus sp. PABB004]	EIE24143.1 hypothetical protein COCSUDRAFT_62660 [Coccomyxa subellipsoidea C-169]
OG0002521	KAF8062057.1 ATM1 [Scenedesmus sp. PABB004]	EIE23470.1 ABC family transporter_ mitochondrial ATM1-like protein [Coccomyxa subellipsoidea C-169]
OG0002522	KAF8066239.1 mrpl22 [Scenedesmus sp. PABB004]	EIE26004.1 ribosomal protein L22 [Coccomyxa subellipsoidea C-169]
OG0002525	KAF8057751.1 DIM1A [Scenedesmus sp. PABB004]	EIE25280.1 dimethyladenosine transferase [Coccomyxa subellipsoidea C-169]
OG0002527	KAF8071266.1 FLA10 [Scenedesmus sp. PABB004]	EIE27378.1 nucleosome remodeling factor [Coccomyxa subellipsoidea C-169]
OG0002528	KAF8065730.1 VAC8 [Scenedesmus sp. PABB004], KAF8065727.1 hypothetical protein HT031_002787 [Scenedesmus sp. PABB004]	EIE21172.1 hypothetical protein COCSUDRAFT_57086 [Coccomyxa subellipsoidea C-169]
OG0002529	KAF8061991.1 hypothetical protein HT031_004251 [Scenedesmus sp. PABB004]	EIE27594.1 hypothetical protein COCSUDRAFT_34894 [Coccomyxa subellipsoidea C-169]
OG0002530	KAF8059681.1 ABC1 [Scenedesmus sp. PABB004]	EIE27608.1 ubiquinone biosynthesis protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002531	KAF8059114.1 DJC76 [Scenedesmus sp. PABB004]	EIE25489.1 DnaJ-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002532	KAF8070898.1 hypothetical protein HT031_000979 [Scenedesmus sp. PABB004]	EIE25491.1 putative thioredoxin-disulfide reductase [Coccomyxa subellipsoidea C-169]
OG0002533	KAF8072625.1 Ctnnbl1 [Scenedesmus sp. PABB004]	EIE25166.1 DUF1716-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002534	KAF8062911.1 DIT1 [Scenedesmus sp. PABB004]	EIE25562.1 oxoglutarate_malate antiporter_ partial [Coccomyxa subellipsoidea C-169]
OG0002536	KAF8067431.1 RPT5A [Scenedesmus sp. PABB004]	EIE25490.1 26S proteasome subunit P45 [Coccomyxa subellipsoidea C-169]
OG0002538	KAF8072622.1 RFC3 [Scenedesmus sp. PABB004]	EIE27222.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002539	KAF8055944.1 NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13-B [Scenedesmus sp. PABB004]	EIE20470.1 GRIM-19 [Coccomyxa subellipsoidea C-169]
OG0002540	KAF8064619.1 ytfP [Scenedesmus sp. PABB004]	EIE23290.1 HI0933-like protein [Coccomyxa subellipsoidea C-169]
OG0002541	KAF8065812.1 14-3-3-like protein [Scenedesmus sp. PABB004]	EIE21156.1 14-3-3 protein [Coccomyxa subellipsoidea C-169]
OG0002543	KAF8057918.1 hypothetical protein HT031_005864 [Scenedesmus sp. PABB004]	EIE27700.1 glutamine-hydrolyzing asparagine synthase [Coccomyxa subellipsoidea C-169]
OG0002544	KAF8061398.1 AATP1 [Scenedesmus sp. PABB004]	EIE18934.1 ADP/ATP carrier protein [Coccomyxa subellipsoidea C-169]
OG0002545	KAF8067272.1 ARA1 [Scenedesmus sp. PABB004]	EIE19344.1 hypothetical protein COCSUDRAFT_54656 [Coccomyxa subellipsoidea C-169]
OG0002546	KAF8063670.1 RECQL4A [Scenedesmus sp. PABB004]	EIE26685.1 ATP-dependent DNA helicase_ partial [Coccomyxa subellipsoidea C-169]
OG0002547	KAF8067280.1 RPS10 [Scenedesmus sp. PABB004]	EIE26060.1 plastid ribosomal protein S10 small ribosomal subunit_ partial [Coccomyxa subellipsoidea C-169]
OG0002548	KAF8062927.1 recG [Scenedesmus sp. PABB004]	EIE26488.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002549	KAF8058895.1 RPL3B [Scenedesmus sp. PABB004]	EIE20141.1 translation protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002551	KAF8068349.1 CYP59 [Scenedesmus sp. PABB004]	EIE25393.1 cyclophilin-like protein [Coccomyxa subellipsoidea C-169]
OG0002552	KAF8072806.1 jmj4 [Scenedesmus sp. PABB004]	EIE26943.1 Clavaminate synthase-like protein [Coccomyxa subellipsoidea C-169]
OG0002554	KAF8062006.1 pol5 [Scenedesmus sp. PABB004]	EIE23212.1 hypothetical protein COCSUDRAFT_63569 [Coccomyxa subellipsoidea C-169]
OG0002555	KAF8055746.1 WEE1 [Scenedesmus sp. PABB004]	EIE26646.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0002556	KAF8071380.1 LPA1 [Scenedesmus sp. PABB004]	EIE24367.1 hypothetical protein COCSUDRAFT_83671 [Coccomyxa subellipsoidea C-169]
OG0002557	KAF8058086.1 UBC7 [Scenedesmus sp. PABB004]	EIE26638.1 ubiquitin-conjugating enzyme [Coccomyxa subellipsoidea C-169]
OG0002558	KAF8072745.1 PPD3 [Scenedesmus sp. PABB004]	EIE19338.1 hypothetical protein COCSUDRAFT_58632 [Coccomyxa subellipsoidea C-169]
OG0002559	KAF8056464.1 TFB1-3 [Scenedesmus sp. PABB004]	EIE19511.1 hypothetical protein COCSUDRAFT_83562 [Coccomyxa subellipsoidea C-169]
OG0002561	KAF8056756.1 TOM40-2 [Scenedesmus sp. PABB004]	EIE26637.1 hypothetical protein COCSUDRAFT_12486 [Coccomyxa subellipsoidea C-169]
OG0002562	KAF8058916.1 rlmE [Scenedesmus sp. PABB004]	EIE24057.1 23S ribosomal RNA methyltransferase [Coccomyxa subellipsoidea C-169]
OG0002563	KAF8058445.1 hypothetical protein HT031_005569 [Scenedesmus sp. PABB004]	EIE26681.1 hypothetical protein COCSUDRAFT_12361_ partial [Coccomyxa subellipsoidea C-169]
OG0002564	KAF8062696.1 hypothetical protein HT031_004025 [Scenedesmus sp. PABB004]	EIE27331.1 hypothetical protein COCSUDRAFT_64176 [Coccomyxa subellipsoidea C-169]
OG0002565	KAF8065634.1 BUD31-like protein [Scenedesmus sp. PABB004]	EIE26879.1 G10 protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002567	KAF8072632.1 hypothetical protein HT031_000292 [Scenedesmus sp. PABB004]	EIE26342.1 DUF300-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002569	KAF8073008.1 Gtpbp1 [Scenedesmus sp. PABB004]	EIE25284.1 GTP binding protein [Coccomyxa subellipsoidea C-169]
OG0002570	KAF8065911.1 hypothetical protein HT031_002972 [Scenedesmus sp. PABB004]	EIE21391.1 hypothetical protein COCSUDRAFT_48090 [Coccomyxa subellipsoidea C-169]
OG0002571	KAF8072945.1 E2FB [Scenedesmus sp. PABB004]	EIE25921.1 hypothetical protein COCSUDRAFT_64899 [Coccomyxa subellipsoidea C-169], EIE21367.1 hypothetical protein COCSUDRAFT_66848 [Coccomyxa subellipsoidea C-169]
OG0002572	KAF8054985.1 MTX1 [Scenedesmus sp. PABB004]	EIE23487.1 hypothetical protein COCSUDRAFT_63025 [Coccomyxa subellipsoidea C-169]
OG0002573	KAF8062960.1 hypothetical protein HT031_003799 [Scenedesmus sp. PABB004]	EIE25893.1 hypothetical protein COCSUDRAFT_40132 [Coccomyxa subellipsoidea C-169]
OG0002574	KAF8072990.1 POL2A [Scenedesmus sp. PABB004]	EIE24845.1 DNA/RNA polymerase [Coccomyxa subellipsoidea C-169]
OG0002577	KAF8059167.1 RPS4 [Scenedesmus sp. PABB004]	EIE25547.1 ribosomal protein S4 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]
OG0002578	KAF8072451.1 hypothetical protein HT031_000110 [Scenedesmus sp. PABB004]	EIE21905.1 YVTN repeat-like/Quino protein amine dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0002580	KAF8071093.1 ME6 [Scenedesmus sp. PABB004]	EIE23960.1 NADP-dependent malic enzyme [Coccomyxa subellipsoidea C-169]
OG0002582	KAF8072638.1 hypothetical protein HT031_000298 [Scenedesmus sp. PABB004]	EIE21901.1 hypothetical protein COCSUDRAFT_56348 [Coccomyxa subellipsoidea C-169]
OG0002583	KAF8062727.1 hypothetical protein HT031_004057 [Scenedesmus sp. PABB004]	EIE23283.1 hypothetical protein COCSUDRAFT_15713_ partial [Coccomyxa subellipsoidea C-169]
OG0002584	KAF8071051.1 KEA1 [Scenedesmus sp. PABB004]	EIE21313.1 hypothetical protein COCSUDRAFT_66826 [Coccomyxa subellipsoidea C-169]
OG0002585	KAF8065959.1 lissencephaly-1-like protein [Scenedesmus sp. PABB004]	EIE27773.1 hypothetical protein COCSUDRAFT_52265 [Coccomyxa subellipsoidea C-169]
OG0002586	KAF8057676.1 REV1 [Scenedesmus sp. PABB004]	EIE26541.1 DNA/RNA polymerase_ partial [Coccomyxa subellipsoidea C-169]
OG0002587	KAF8071048.1 ADT2 [Scenedesmus sp. PABB004]	EIE26320.1 PDT-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002589	KAF8065850.1 Extracellular serine proteinase [Scenedesmus sp. PABB004], KAF8066217.1 Extracellular serine proteinase [Scenedesmus sp. PABB004]	EIE20928.1 subtilisin-like protein [Coccomyxa subellipsoidea C-169]
OG0002590	KAF8058069.1 PDH2 [Scenedesmus sp. PABB004]	EIE26851.1 pyruvate dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0002591	KAF8073237.1 hypothetical protein HT031_000898 [Scenedesmus sp. PABB004]	EIE19606.1 hypothetical protein COCSUDRAFT_54555 [Coccomyxa subellipsoidea C-169]
OG0002592	KAF8058912.1 DRG3 [Scenedesmus sp. PABB004]	EIE24012.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002593	KAF8071062.1 UBP22 [Scenedesmus sp. PABB004]	EIE26459.1 chlorophyll antenna size regulatory protein [Coccomyxa subellipsoidea C-169]
OG0002595	KAF8062799.1 MCSU3 [Scenedesmus sp. PABB004]	EIE21834.1 PLP-dependent transferase_ partial [Coccomyxa subellipsoidea C-169]
OG0002597	KAF8064551.1 Mccc2 [Scenedesmus sp. PABB004]	EIE19188.1 carboxyl transferase [Coccomyxa subellipsoidea C-169]
OG0002598	KAF8072370.1 ALDH10A8 [Scenedesmus sp. PABB004]	EIE20955.1 betaine aldehyde dehydrogenase [Coccomyxa subellipsoidea C-169]
OG0002599	KAF8058035.1 proteasome activator subunit 4 [Scenedesmus sp. PABB004]	EIE19124.1 hypothetical protein COCSUDRAFT_67978 [Coccomyxa subellipsoidea C-169]
OG0002600	KAF8058873.1 XRCC2 [Scenedesmus sp. PABB004]	EIE24112.1 hypothetical protein COCSUDRAFT_65747 [Coccomyxa subellipsoidea C-169]
OG0002601	KAF8058878.1 IMP3 [Scenedesmus sp. PABB004]	EIE24111.1 myo-inositol monophosphatase 2 [Coccomyxa subellipsoidea C-169]
OG0002602	KAF8073123.1 ravA [Scenedesmus sp. PABB004]	EIE24598.1 hypothetical protein COCSUDRAFT_40953 [Coccomyxa subellipsoidea C-169]
OG0002603	KAF8068255.1 Mlh1 [Scenedesmus sp. PABB004]	EIE19217.1 DNA mismatch repair protein MutL [Coccomyxa subellipsoidea C-169]
OG0002604	KAF8059368.1 hypothetical protein HT031_005173 [Scenedesmus sp. PABB004]	EIE25744.1 Dak1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002606	KAF8070956.1 DEAD-box ATP-dependent RNA helicase 50 [Scenedesmus sp. PABB004]	EIE21896.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002608	KAF8059099.1 OTU7 [Scenedesmus sp. PABB004]	EIE22284.1 cysteine proteinase [Coccomyxa subellipsoidea C-169]
OG0002609	KAF8072719.1 grpE [Scenedesmus sp. PABB004]	EIE20091.1 GrpE nucleotide exchange factor_ partial [Coccomyxa subellipsoidea C-169]
OG0002610	KAF8062004.1 queuosine salvage protein [Scenedesmus sp. PABB004]	EIE24800.1 hypothetical protein COCSUDRAFT_28369 [Coccomyxa subellipsoidea C-169]
OG0002611	KAF8067410.1 MAK3 [Scenedesmus sp. PABB004]	EIE18975.1 putative acyltransfersase_ partial [Coccomyxa subellipsoidea C-169]
OG0002612	KAF8072520.1 PI4KG7 [Scenedesmus sp. PABB004]	EIE22501.1 hypothetical protein COCSUDRAFT_66665 [Coccomyxa subellipsoidea C-169]
OG0002614	KAF8062773.1 CCT5 [Scenedesmus sp. PABB004]	EIE20952.1 T-complex protein_ epsilon subunit [Coccomyxa subellipsoidea C-169]
OG0002615	KAF8062711.1 HCS2 [Scenedesmus sp. PABB004]	EIE20886.1 class II aaRS and biotin synthetase [Coccomyxa subellipsoidea C-169]
OG0002616	KAF8063767.1 long chain base biosynthesis protein 2d [Scenedesmus sp. PABB004]	EIE22489.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0002618	KAF8062781.1 hypothetical protein HT031_004111 [Scenedesmus sp. PABB004]	EIE18978.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002619	KAF8073122.1 hypothetical protein HT031_000783 [Scenedesmus sp. PABB004]	EIE24530.1 hypothetical protein COCSUDRAFT_14080 [Coccomyxa subellipsoidea C-169]
OG0002622	KAF8069478.1 RPS23 [Scenedesmus sp. PABB004]	EIE26992.1 ribosomal protein S23 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]
OG0002623	KAF8072911.1 hypothetical protein HT031_000571 [Scenedesmus sp. PABB004]	EIE18373.1 PRENYLCYSTEINE methylesterase [Coccomyxa subellipsoidea C-169]
OG0002626	KAF8058052.1 CPN60-2 [Scenedesmus sp. PABB004]	EIE22221.1 mitochondrial chaperonin 60 [Coccomyxa subellipsoidea C-169]
OG0002627	KAF8060330.1 PYRB2 [Scenedesmus sp. PABB004]	EIE22361.1 aspartate carbamoyltransferase [Coccomyxa subellipsoidea C-169]
OG0002628	KAF8065768.1 rps6 [Scenedesmus sp. PABB004]	EIE22940.1 ribosomal protein S6e [Coccomyxa subellipsoidea C-169]
OG0002631	KAF8063092.1 Monodehydroascorbate reductase [Scenedesmus sp. PABB004]	EIE20462.1 monodehydroascorbate reductase [Coccomyxa subellipsoidea C-169], EIE25115.1 monodehydroascorbate reductase I [Coccomyxa subellipsoidea C-169]
OG0002632	KAF8068334.1 KPHMT2 [Scenedesmus sp. PABB004]	EIE22253.1 ketopantoate hydroxymethyltransferase [Coccomyxa subellipsoidea C-169]
OG0002633	KAF8060507.1 nog-1 [Scenedesmus sp. PABB004]	EIE24639.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002634	KAF8056393.1 rsmH [Scenedesmus sp. PABB004]	EIE23495.1 bacterial methyltransferase_ partial [Coccomyxa subellipsoidea C-169]
OG0002635	KAF8066181.1 LHCSR1 [Scenedesmus sp. PABB004]	EIE24179.1 mitochondrial carrier [Coccomyxa subellipsoidea C-169]
OG0002636	KAF8056015.1 SVR3 [Scenedesmus sp. PABB004]	EIE26536.1 GTP binding protein TypA [Coccomyxa subellipsoidea C-169]
OG0002637	KAF8068362.1 hypothetical protein HT031_002051 [Scenedesmus sp. PABB004]	EIE19712.1 ornithine transaminase [Coccomyxa subellipsoidea C-169]
OG0002640	KAF8067167.1 Prim1 [Scenedesmus sp. PABB004]	EIE26371.1 prim-pol domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002641	KAF8057766.1 SWC6 [Scenedesmus sp. PABB004]	EIE26018.1 hypothetical protein COCSUDRAFT_46459 [Coccomyxa subellipsoidea C-169]
OG0002642	KAF8056341.1 Enoyl-[acyl-carrier-protein] reductase [NADH] [Scenedesmus sp. PABB004]	EIE24261.1 NAD_P_-binding protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002643	KAF8060326.1 AGD5 [Scenedesmus sp. PABB004]	EIE22240.1 ENTH-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002644	KAF8071086.1 CPK12 [Scenedesmus sp. PABB004]	EIE21419.1 putative mitochondrial carrier protein [Coccomyxa subellipsoidea C-169]
OG0002645	KAF8056237.1 Methylenetetrahydrofolate reductase 1 [Scenedesmus sp. PABB004]	EIE19820.1 methylenetetrahydrofolate reduct [Coccomyxa subellipsoidea C-169]
OG0002646	KAF8057622.1 Roc1a [Scenedesmus sp. PABB004]	EIE26648.1 ring-box protein [Coccomyxa subellipsoidea C-169]
OG0002648	KAF8066183.1 itsn1 [Scenedesmus sp. PABB004]	EIE20212.1 hypothetical protein COCSUDRAFT_44152 [Coccomyxa subellipsoidea C-169]
OG0002649	KAF8069616.1 TL17 [Scenedesmus sp. PABB004]	EIE19575.1 hypothetical protein COCSUDRAFT_31020 [Coccomyxa subellipsoidea C-169]
OG0002650	KAF8068449.1 Rps20 [Scenedesmus sp. PABB004]	EIE21186.1 ribosomal protein S1 [Coccomyxa subellipsoidea C-169], EIE24673.1 ribosomal protein S1 [Coccomyxa subellipsoidea C-169]
OG0002651	KAF8063658.1 rps5 [Scenedesmus sp. PABB004]	EIE18338.1 plastid ribosomal protein S5A small ribosomal subunit [Coccomyxa subellipsoidea C-169]
OG0002652	KAF8060331.1 hypothetical protein HT031_004867 [Scenedesmus sp. PABB004]	EIE22319.1 Adenylosuccinate synthetase [Coccomyxa subellipsoidea C-169]
OG0002655	KAF8068364.1 IFT74 [Scenedesmus sp. PABB004]	EIE19697.1 hypothetical protein COCSUDRAFT_54585 [Coccomyxa subellipsoidea C-169]
OG0002657	KAF8072817.1 TOR1A [Scenedesmus sp. PABB004]	EIE22318.1 hypothetical protein COCSUDRAFT_6316_ partial [Coccomyxa subellipsoidea C-169]
OG0002658	KAF8063650.1 NPF8.5 [Scenedesmus sp. PABB004]	EIE19696.1 PTR2-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002659	KAF8072609.1 ASNAP2 [Scenedesmus sp. PABB004]	EIE23125.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0002660	KAF8060103.1 hypothetical protein HT031_005042 [Scenedesmus sp. PABB004], KAF8069562.1 RANBP1C [Scenedesmus sp. PABB004]	EIE19563.1 RAN binding protein_ RANBP1_ partial [Coccomyxa subellipsoidea C-169]
OG0002661	KAF8068347.1 hypothetical protein HT031_002036 [Scenedesmus sp. PABB004]	EIE20442.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0002664	KAF8062632.1 ecdysoneless-like protein [Scenedesmus sp. PABB004]	EIE20926.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0002667	KAF8070920.1 Histidine--tRNA ligase [Scenedesmus sp. PABB004]	EIE23554.1 histidyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0002669	KAF8073141.1 OST1A [Scenedesmus sp. PABB004]	EIE25887.1 Ribophorin I [Coccomyxa subellipsoidea C-169]
OG0002670	KAF8061942.1 SPAC3H5.08c [Scenedesmus sp. PABB004]	EIE19158.1 WD40 repeat-like protein [Coccomyxa subellipsoidea C-169]
OG0002672	KAF8056443.1 Napepld [Scenedesmus sp. PABB004]	EIE18285.1 Metallo-hydrolase/oxidoreductase [Coccomyxa subellipsoidea C-169]
OG0002673	KAF8070930.1 RPL26A [Scenedesmus sp. PABB004]	EIE21406.1 ribosomal protein L24 [Coccomyxa subellipsoidea C-169]
OG0002674	KAF8071174.1 pip [Scenedesmus sp. PABB004]	EIE21357.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0002675	KAF8064591.1 hypothetical protein HT031_003392 [Scenedesmus sp. PABB004]	EIE21043.1 hypothetical protein COCSUDRAFT_48248 [Coccomyxa subellipsoidea C-169]
OG0002676	KAF8066189.1 ACS8 [Scenedesmus sp. PABB004]	EIE20789.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0002677	KAF8066396.1 Flad1 [Scenedesmus sp. PABB004]	EIE21624.1 hypothetical protein COCSUDRAFT_17414_ partial [Coccomyxa subellipsoidea C-169]
OG0002678	KAF8060462.1 LENG8 [Scenedesmus sp. PABB004]	EIE23285.1 hypothetical protein COCSUDRAFT_63639 [Coccomyxa subellipsoidea C-169]
