Orthogroup	Scenedesmus_PABB004	Auxenochlorella_protothecoides
OG0001746	KAF8055742.1 hypothetical protein HT031_006646 [Scenedesmus sp. PABB004]	RMZ52794.1 hypothetical protein APUTEX25_000913 [Auxenochlorella protothecoides]
OG0001747	KAF8064696.1 hypothetical protein HT031_003498 [Scenedesmus sp. PABB004]	RMZ52803.1 hypothetical protein APUTEX25_000922 [Auxenochlorella protothecoides]
OG0001748	KAF8071078.1 CYP51 [Scenedesmus sp. PABB004]	RMZ52814.1 hypothetical protein APUTEX25_000933_ partial [Auxenochlorella protothecoides]
OG0001749	KAF8070959.1 glycosyltransferase 25 family member [Scenedesmus sp. PABB004], KAF8070954.1 hypothetical protein HT031_001035 [Scenedesmus sp. PABB004]	RMZ52817.1 hypothetical protein APUTEX25_000936 [Auxenochlorella protothecoides], RMZ57018.1 hypothetical protein APUTEX25_002250_ partial [Auxenochlorella protothecoides]
OG0001750	KAF8064675.1 hypothetical protein HT031_003477 [Scenedesmus sp. PABB004]	RMZ52825.1 hypothetical protein APUTEX25_000944 [Auxenochlorella protothecoides]
OG0001751	KAF8071125.1 hypothetical protein HT031_001207 [Scenedesmus sp. PABB004]	RMZ52833.1 hypothetical protein APUTEX25_000952_ partial [Auxenochlorella protothecoides]
OG0001754	KAF8062640.1 fbiC [Scenedesmus sp. PABB004]	RMZ52843.1 hypothetical protein APUTEX25_000962_ partial [Auxenochlorella protothecoides]
OG0001756	KAF8057933.1 fusA1 [Scenedesmus sp. PABB004]	RMZ52862.1 hypothetical protein APUTEX25_000981_ partial [Auxenochlorella protothecoides]
OG0001757	KAF8072835.1 LDL3 [Scenedesmus sp. PABB004]	RMZ52877.1 hypothetical protein APUTEX25_000996_ partial [Auxenochlorella protothecoides]
OG0001758	KAF8062044.1 OVA1 [Scenedesmus sp. PABB004]	RMZ52905.1 hypothetical protein APUTEX25_001024 [Auxenochlorella protothecoides]
OG0001760	KAF8068356.1 PAT13 [Scenedesmus sp. PABB004]	RMZ52914.1 hypothetical protein APUTEX25_001033 [Auxenochlorella protothecoides]
OG0001761	KAF8054951.1 hypothetical protein HT031_006887 [Scenedesmus sp. PABB004], KAF8054946.1 UVR8 [Scenedesmus sp. PABB004]	RMZ52928.1 hypothetical protein APUTEX25_001047_ partial [Auxenochlorella protothecoides]
OG0001762	KAF8066409.1 FAD6 [Scenedesmus sp. PABB004]	RMZ52929.1 hypothetical protein APUTEX25_001048 [Auxenochlorella protothecoides]
OG0001763	KAF8064574.1 CLPS3 [Scenedesmus sp. PABB004]	RMZ52932.1 hypothetical protein APUTEX25_001051 [Auxenochlorella protothecoides]
OG0001764	KAF8058336.1 RPA1B [Scenedesmus sp. PABB004]	RMZ52933.1 hypothetical protein APUTEX25_001052 [Auxenochlorella protothecoides]
OG0001767	KAF8065603.1 dolichyl pyrophosphate alpha-1 [Scenedesmus sp. PABB004]	RMZ52990.1 hypothetical protein APUTEX25_001109_ partial [Auxenochlorella protothecoides]
OG0001768	KAF8067224.1 hypothetical protein HT031_002271 [Scenedesmus sp. PABB004]	RMZ52995.1 hypothetical protein APUTEX25_001114_ partial [Auxenochlorella protothecoides]
OG0001769	KAF8066196.1 hypothetical protein HT031_002518 [Scenedesmus sp. PABB004]	RMZ53002.1 hypothetical protein APUTEX25_001121 [Auxenochlorella protothecoides]
OG0001770	KAF8062085.1 hypothetical protein HT031_004345 [Scenedesmus sp. PABB004]	RMZ53006.1 hypothetical protein APUTEX25_001125 [Auxenochlorella protothecoides]
OG0001771	KAF8061976.1 ODA7 [Scenedesmus sp. PABB004]	RMZ53019.1 hypothetical protein APUTEX25_001138 [Auxenochlorella protothecoides]
OG0001772	KAF8063076.1 hypothetical protein HT031_003915 [Scenedesmus sp. PABB004]	RMZ53026.1 hypothetical protein APUTEX25_001145 [Auxenochlorella protothecoides]
OG0001773	KAF8056141.1 hypothetical protein HT031_006492 [Scenedesmus sp. PABB004]	RMZ53034.1 hypothetical protein APUTEX25_001153_ partial [Auxenochlorella protothecoides]
OG0001774	KAF8059403.1 fls [Scenedesmus sp. PABB004], KAF8057908.1 Intracellular alkaline protease [Scenedesmus sp. PABB004]	RMZ53048.1 hypothetical protein APUTEX25_001167 [Auxenochlorella protothecoides]
OG0001777	KAF8055821.1 TIC236 [Scenedesmus sp. PABB004]	RMZ53093.1 hypothetical protein APUTEX25_002502_ partial [Auxenochlorella protothecoides], RMZ56327.1 hypothetical protein APUTEX25_000566 [Auxenochlorella protothecoides]
OG0001778	KAF8064485.1 impdh [Scenedesmus sp. PABB004]	RMZ53101.1 hypothetical protein APUTEX25_002510_ partial [Auxenochlorella protothecoides]
OG0001779	KAF8069701.1 SRP54-1 [Scenedesmus sp. PABB004]	RMZ53123.1 hypothetical protein APUTEX25_005112 [Auxenochlorella protothecoides]
OG0001780	KAF8066342.1 scy1 [Scenedesmus sp. PABB004]	RMZ53140.1 hypothetical protein APUTEX25_005129 [Auxenochlorella protothecoides]
OG0001781	KAF8072892.1 Fancd2 [Scenedesmus sp. PABB004]	RMZ53143.1 hypothetical protein APUTEX25_005132 [Auxenochlorella protothecoides]
OG0001782	KAF8057110.1 PRY3 [Scenedesmus sp. PABB004]	RMZ53144.1 hypothetical protein APUTEX25_005133 [Auxenochlorella protothecoides]
OG0001783	KAF8073186.1 ADE2 [Scenedesmus sp. PABB004]	RMZ53147.1 hypothetical protein APUTEX25_005136_ partial [Auxenochlorella protothecoides]
OG0001784	KAF8056019.1 cry [Scenedesmus sp. PABB004]	RMZ53168.1 hypothetical protein APUTEX25_005157_ partial [Auxenochlorella protothecoides]
OG0001785	KAF8062091.1 hypothetical protein HT031_004351 [Scenedesmus sp. PABB004], KAF8062094.1 VPS53 [Scenedesmus sp. PABB004]	RMZ53170.1 hypothetical protein APUTEX25_005159 [Auxenochlorella protothecoides]
OG0001786	KAF8056390.1 RPN11 [Scenedesmus sp. PABB004]	RMZ53182.1 hypothetical protein APUTEX25_005171 [Auxenochlorella protothecoides]
OG0001788	KAF8070952.1 spf31 [Scenedesmus sp. PABB004]	RMZ53209.1 hypothetical protein APUTEX25_005198 [Auxenochlorella protothecoides]
OG0001789	KAF8055327.1 LHCA1 [Scenedesmus sp. PABB004]	RMZ53219.1 hypothetical protein APUTEX25_005208 [Auxenochlorella protothecoides]
OG0001790	KAF8072392.1 Coatomer subunit gamma [Scenedesmus sp. PABB004]	RMZ53229.1 hypothetical protein APUTEX25_005218_ partial [Auxenochlorella protothecoides]
OG0001791	KAF8069393.1 hypothetical protein HT031_001508 [Scenedesmus sp. PABB004]	RMZ53230.1 hypothetical protein APUTEX25_005219 [Auxenochlorella protothecoides]
OG0001792	KAF8065962.1 rplA [Scenedesmus sp. PABB004]	RMZ53236.1 hypothetical protein APUTEX25_005225 [Auxenochlorella protothecoides]
OG0001794	KAF8061162.1 eif3g-a [Scenedesmus sp. PABB004]	RMZ53243.1 hypothetical protein APUTEX25_005232 [Auxenochlorella protothecoides]
OG0001795	KAF8059175.1 hypothetical protein HT031_005347 [Scenedesmus sp. PABB004]	RMZ53252.1 hypothetical protein APUTEX25_005241 [Auxenochlorella protothecoides]
OG0001796	KAF8072577.1 hypothetical protein HT031_000237 [Scenedesmus sp. PABB004]	RMZ53280.1 hypothetical protein APUTEX25_005269 [Auxenochlorella protothecoides]
OG0001797	KAF8061408.1 Ppc1 [Scenedesmus sp. PABB004]	RMZ53293.1 hypothetical protein APUTEX25_004781 [Auxenochlorella protothecoides]
OG0001799	KAF8056235.1 CS2 [Scenedesmus sp. PABB004]	RMZ53307.1 hypothetical protein APUTEX25_004795_ partial [Auxenochlorella protothecoides]
OG0001800	KAF8069417.1 RFC1 [Scenedesmus sp. PABB004]	RMZ53312.1 hypothetical protein APUTEX25_004800_ partial [Auxenochlorella protothecoides]
OG0001801	KAF8069406.1 TOM1 [Scenedesmus sp. PABB004]	RMZ53323.1 hypothetical protein APUTEX25_004811 [Auxenochlorella protothecoides]
OG0001803	KAF8060298.1 rplY [Scenedesmus sp. PABB004], KAF8060294.1 vpr [Scenedesmus sp. PABB004]	RMZ53334.1 hypothetical protein APUTEX25_004822 [Auxenochlorella protothecoides]
OG0001804	KAF8062031.1 msh-3 [Scenedesmus sp. PABB004]	RMZ53336.1 hypothetical protein APUTEX25_004824_ partial [Auxenochlorella protothecoides]
OG0001805	KAF8062898.1 RIBA1 [Scenedesmus sp. PABB004]	RMZ57722.1 hypothetical protein APUTEX25_001699_ partial [Auxenochlorella protothecoides], RMZ53356.1 hypothetical protein APUTEX25_004844_ partial [Auxenochlorella protothecoides]
OG0001806	KAF8061314.1 ycf24 [Scenedesmus sp. PABB004]	RMZ53370.1 hypothetical protein APUTEX25_004858 [Auxenochlorella protothecoides]
OG0001807	KAF8069624.1 Granule-bound starch synthase 1b [Scenedesmus sp. PABB004]	RMZ53371.1 hypothetical protein APUTEX25_004859 [Auxenochlorella protothecoides]
OG0001809	KAF8067166.1 hypothetical protein HT031_002213 [Scenedesmus sp. PABB004]	RMZ53388.1 hypothetical protein APUTEX25_004876 [Auxenochlorella protothecoides]
OG0001810	KAF8056863.1 hypothetical protein HT031_006207 [Scenedesmus sp. PABB004]	RMZ53393.1 hypothetical protein APUTEX25_004881 [Auxenochlorella protothecoides]
OG0001811	KAF8063093.1 VPS10 [Scenedesmus sp. PABB004]	RMZ53395.1 hypothetical protein APUTEX25_004883 [Auxenochlorella protothecoides]
OG0001812	KAF8073244.1 coatomer subunit beta-1 [Scenedesmus sp. PABB004]	RMZ53408.1 hypothetical protein APUTEX25_004896 [Auxenochlorella protothecoides]
OG0001813	KAF8068207.1 phenylalanine--tRNA ligase [Scenedesmus sp. PABB004]	RMZ53413.1 hypothetical protein APUTEX25_004901 [Auxenochlorella protothecoides]
OG0001814	KAF8066285.1 hypothetical protein HT031_002608 [Scenedesmus sp. PABB004]	RMZ53435.1 hypothetical protein APUTEX25_004923 [Auxenochlorella protothecoides]
OG0001815	KAF8069603.1 nhp6 [Scenedesmus sp. PABB004]	RMZ53437.1 hypothetical protein APUTEX25_004925 [Auxenochlorella protothecoides], RMZ55848.1 hypothetical protein APUTEX25_003814_ partial [Auxenochlorella protothecoides]
OG0001817	KAF8058870.1 SNX1 [Scenedesmus sp. PABB004]	RMZ53443.1 hypothetical protein APUTEX25_004931 [Auxenochlorella protothecoides]
OG0001818	KAF8073064.1 60S acidic ribosomal protein P0 [Scenedesmus sp. PABB004]	RMZ53466.1 hypothetical protein APUTEX25_003288_ partial [Auxenochlorella protothecoides]
OG0001819	KAF8069628.1 selenbp1 [Scenedesmus sp. PABB004]	RMZ53473.1 hypothetical protein APUTEX25_003295 [Auxenochlorella protothecoides]
OG0001820	KAF8066309.1 strawberry notch-like protein [Scenedesmus sp. PABB004]	RMZ53589.1 hypothetical protein APUTEX25_003411 [Auxenochlorella protothecoides], RMZ53485.1 hypothetical protein APUTEX25_003307 [Auxenochlorella protothecoides]
OG0001821	KAF8072915.1 BSL2 [Scenedesmus sp. PABB004]	RMZ53488.1 hypothetical protein APUTEX25_003310_ partial [Auxenochlorella protothecoides]
OG0001823	KAF8054949.1 AVT6B [Scenedesmus sp. PABB004]	RMZ53514.1 hypothetical protein APUTEX25_003336 [Auxenochlorella protothecoides]
OG0001824	KAF8059708.1 MAP2B [Scenedesmus sp. PABB004]	RMZ53517.1 hypothetical protein APUTEX25_003339 [Auxenochlorella protothecoides]
OG0001825	KAF8073233.1 ACX4 [Scenedesmus sp. PABB004]	RMZ53518.1 hypothetical protein APUTEX25_003340 [Auxenochlorella protothecoides]
OG0001826	KAF8057278.1 CCT8 [Scenedesmus sp. PABB004]	RMZ53526.1 hypothetical protein APUTEX25_003348_ partial [Auxenochlorella protothecoides]
OG0001827	KAF8062060.1 Guk1 [Scenedesmus sp. PABB004], KAF8072379.1 GK1 [Scenedesmus sp. PABB004]	RMZ53537.1 hypothetical protein APUTEX25_003359_ partial [Auxenochlorella protothecoides]
OG0001828	KAF8054610.1 tnrc4-a [Scenedesmus sp. PABB004], KAF8067108.1 HNRNPA1 [Scenedesmus sp. PABB004]	RMZ53538.1 hypothetical protein APUTEX25_003360_ partial [Auxenochlorella protothecoides]
OG0001829	KAF8061306.1 VHA-a3 [Scenedesmus sp. PABB004]	RMZ53545.1 hypothetical protein APUTEX25_003367 [Auxenochlorella protothecoides]
OG0001830	KAF8065947.1 DHS1 [Scenedesmus sp. PABB004]	RMZ53555.1 hypothetical protein APUTEX25_003377_ partial [Auxenochlorella protothecoides]
OG0001831	KAF8063832.1 Serine--tRNA ligase [Scenedesmus sp. PABB004]	RMZ53569.1 hypothetical protein APUTEX25_003391 [Auxenochlorella protothecoides]
OG0001832	KAF8054873.1 BIO3-BIO1 [Scenedesmus sp. PABB004], KAF8054954.1 BIO3-BIO1 [Scenedesmus sp. PABB004]	RMZ53575.1 hypothetical protein APUTEX25_003397_ partial [Auxenochlorella protothecoides]
OG0001833	KAF8062919.1 hypothetical protein HT031_003757 [Scenedesmus sp. PABB004]	RMZ53579.1 hypothetical protein APUTEX25_003401 [Auxenochlorella protothecoides]
OG0001834	KAF8073022.1 B3 domain-containing protein [Scenedesmus sp. PABB004]	RMZ55869.1 hypothetical protein APUTEX25_003835 [Auxenochlorella protothecoides], RMZ53582.1 hypothetical protein APUTEX25_003404 [Auxenochlorella protothecoides]
OG0001837	KAF8065568.1 purH [Scenedesmus sp. PABB004]	RMZ53617.1 hypothetical protein APUTEX25_003151_ partial [Auxenochlorella protothecoides]
OG0001838	KAF8061341.1 tsr1 [Scenedesmus sp. PABB004]	RMZ53623.1 hypothetical protein APUTEX25_003157 [Auxenochlorella protothecoides]
OG0001839	KAF8058088.1 Prep [Scenedesmus sp. PABB004]	RMZ53627.1 hypothetical protein APUTEX25_003161_ partial [Auxenochlorella protothecoides]
OG0001840	KAF8059215.1 ARC6 [Scenedesmus sp. PABB004], KAF8059214.1 Nuak2 [Scenedesmus sp. PABB004]	RMZ53643.1 hypothetical protein APUTEX25_003177 [Auxenochlorella protothecoides]
OG0001841	KAF8054979.1 ABCF5 [Scenedesmus sp. PABB004]	RMZ53644.1 hypothetical protein APUTEX25_003178 [Auxenochlorella protothecoides]
OG0001842	KAF8065887.1 hypothetical protein HT031_002948 [Scenedesmus sp. PABB004]	RMZ53677.1 hypothetical protein APUTEX25_003211 [Auxenochlorella protothecoides]
OG0001843	KAF8060514.1 eif2s3 [Scenedesmus sp. PABB004]	RMZ53679.1 hypothetical protein APUTEX25_003213_ partial [Auxenochlorella protothecoides]
OG0001844	KAF8057129.1 pyrroline-5-carboxylate reductase [Scenedesmus sp. PABB004]	RMZ53691.1 hypothetical protein APUTEX25_003225_ partial [Auxenochlorella protothecoides]
OG0001845	KAF8060565.1 mettl3 [Scenedesmus sp. PABB004]	RMZ53692.1 hypothetical protein APUTEX25_003226_ partial [Auxenochlorella protothecoides]
OG0001846	KAF8057659.1 POLR3H [Scenedesmus sp. PABB004]	RMZ53711.1 hypothetical protein APUTEX25_003245 [Auxenochlorella protothecoides]
OG0001847	KAF8072988.1 sec61a [Scenedesmus sp. PABB004]	RMZ53720.1 hypothetical protein APUTEX25_003254 [Auxenochlorella protothecoides]
OG0001848	KAF8071268.1 FAB1C [Scenedesmus sp. PABB004]	RMZ53721.1 hypothetical protein APUTEX25_003255_ partial [Auxenochlorella protothecoides]
OG0001849	KAF8065757.1 hypothetical protein HT031_002817 [Scenedesmus sp. PABB004]	RMZ53734.1 hypothetical protein APUTEX25_003873 [Auxenochlorella protothecoides]
OG0001850	KAF8069446.1 DEAD-box ATP-dependent RNA helicase 18 [Scenedesmus sp. PABB004]	RMZ53736.1 hypothetical protein APUTEX25_003875 [Auxenochlorella protothecoides]
OG0001851	KAF8064526.1 methionine--tRNA ligase [Scenedesmus sp. PABB004]	RMZ53753.1 hypothetical protein APUTEX25_003892 [Auxenochlorella protothecoides]
OG0001852	KAF8065608.1 DGS1 [Scenedesmus sp. PABB004]	RMZ53754.1 hypothetical protein APUTEX25_003893_ partial [Auxenochlorella protothecoides]
OG0001853	KAF8057869.1 can [Scenedesmus sp. PABB004]	RMZ53775.1 hypothetical protein APUTEX25_003914 [Auxenochlorella protothecoides]
OG0001854	KAF8061353.1 SUMO3 [Scenedesmus sp. PABB004]	RMZ53787.1 hypothetical protein APUTEX25_003926 [Auxenochlorella protothecoides]
OG0001855	KAF8065905.1 SF3B4 [Scenedesmus sp. PABB004]	RMZ53811.1 hypothetical protein APUTEX25_003950_ partial [Auxenochlorella protothecoides]
OG0001856	KAF8058350.1 upp [Scenedesmus sp. PABB004]	RMZ53821.1 hypothetical protein APUTEX25_003960_ partial [Auxenochlorella protothecoides]
OG0001857	KAF8070880.1 RAN-A1 [Scenedesmus sp. PABB004]	RMZ53842.1 hypothetical protein APUTEX25_005588_ partial [Auxenochlorella protothecoides]
OG0001858	KAF8071193.1 RPL8 [Scenedesmus sp. PABB004]	RMZ53847.1 hypothetical protein APUTEX25_005593 [Auxenochlorella protothecoides]
OG0001859	KAF8063005.1 Primpol [Scenedesmus sp. PABB004]	RMZ53867.1 hypothetical protein APUTEX25_005613 [Auxenochlorella protothecoides]
OG0001860	KAF8072572.1 Phenylalanine--tRNA ligase alpha subunit [Scenedesmus sp. PABB004]	RMZ53868.1 hypothetical protein APUTEX25_005614 [Auxenochlorella protothecoides]
OG0001861	KAF8070969.1 guaA [Scenedesmus sp. PABB004]	RMZ53874.1 hypothetical protein APUTEX25_005620_ partial [Auxenochlorella protothecoides]
OG0001862	KAF8062954.1 yif1b-a [Scenedesmus sp. PABB004]	RMZ53912.1 hypothetical protein APUTEX25_004937 [Auxenochlorella protothecoides]
OG0001863	KAF8065561.1 SLY1 [Scenedesmus sp. PABB004]	RMZ53918.1 hypothetical protein APUTEX25_004943 [Auxenochlorella protothecoides]
OG0001864	KAF8055911.1 LCMT1 [Scenedesmus sp. PABB004]	RMZ53933.1 hypothetical protein APUTEX25_004958_ partial [Auxenochlorella protothecoides]
OG0001865	KAF8060290.1 hypothetical protein HT031_004825 [Scenedesmus sp. PABB004]	RMZ53938.1 hypothetical protein APUTEX25_004963_ partial [Auxenochlorella protothecoides]
OG0001866	KAF8071226.1 SAD2 [Scenedesmus sp. PABB004]	RMZ53946.1 hypothetical protein APUTEX25_004971 [Auxenochlorella protothecoides], RMZ56300.1 hypothetical protein APUTEX25_000539 [Auxenochlorella protothecoides]
OG0001867	KAF8073032.1 complex 1 intermediate-associated protein [Scenedesmus sp. PABB004]	RMZ53960.1 hypothetical protein APUTEX25_002537 [Auxenochlorella protothecoides]
OG0001868	KAF8061305.1 VPS18 [Scenedesmus sp. PABB004]	RMZ53973.1 hypothetical protein APUTEX25_002550_ partial [Auxenochlorella protothecoides]
OG0001869	KAF8069447.1 ECR1 [Scenedesmus sp. PABB004]	RMZ53980.1 hypothetical protein APUTEX25_002557 [Auxenochlorella protothecoides]
OG0001870	KAF8072744.1 RWA3 [Scenedesmus sp. PABB004]	RMZ53981.1 hypothetical protein APUTEX25_002558 [Auxenochlorella protothecoides]
OG0001871	KAF8072837.1 CBR1 [Scenedesmus sp. PABB004]	RMZ53983.1 hypothetical protein APUTEX25_002560 [Auxenochlorella protothecoides]
OG0001872	KAF8061089.1 petC [Scenedesmus sp. PABB004]	RMZ53988.1 hypothetical protein APUTEX25_002565 [Auxenochlorella protothecoides]
OG0001873	KAF8060109.1 rimO [Scenedesmus sp. PABB004], KAF8054807.1 rimO [Scenedesmus sp. PABB004]	RMZ53989.1 hypothetical protein APUTEX25_002566 [Auxenochlorella protothecoides]
OG0001874	KAF8057623.1 hypothetical protein HT031_005972 [Scenedesmus sp. PABB004]	RMZ53999.1 hypothetical protein APUTEX25_002576_ partial [Auxenochlorella protothecoides]
OG0001875	KAF8055280.1 eukaryotic translation initiation factor 3 subunit J [Scenedesmus sp. PABB004]	RMZ54010.1 hypothetical protein APUTEX25_002587 [Auxenochlorella protothecoides]
OG0001876	KAF8072647.1 MDH1 [Scenedesmus sp. PABB004]	RMZ54020.1 hypothetical protein APUTEX25_002597 [Auxenochlorella protothecoides]
OG0001877	KAF8059205.1 XYL1 [Scenedesmus sp. PABB004]	RMZ54021.1 hypothetical protein APUTEX25_002598_ partial [Auxenochlorella protothecoides]
OG0001878	KAF8062041.1 CTDSPL2 [Scenedesmus sp. PABB004]	RMZ54033.1 hypothetical protein APUTEX25_002610_ partial [Auxenochlorella protothecoides]
OG0001879	KAF8073080.1 hypothetical protein HT031_000741 [Scenedesmus sp. PABB004]	RMZ54035.1 hypothetical protein APUTEX25_002612 [Auxenochlorella protothecoides]
OG0001880	KAF8058875.1 UBP7 [Scenedesmus sp. PABB004]	RMZ54051.1 hypothetical protein APUTEX25_002628_ partial [Auxenochlorella protothecoides]
OG0001881	KAF8071319.1 hypothetical protein HT031_001402 [Scenedesmus sp. PABB004]	RMZ54069.1 hypothetical protein APUTEX25_002646 [Auxenochlorella protothecoides]
OG0001882	KAF8072978.1 PDX1 [Scenedesmus sp. PABB004]	RMZ54082.1 hypothetical protein APUTEX25_002659_ partial [Auxenochlorella protothecoides]
OG0001883	KAF8055490.1 TIF3I1 [Scenedesmus sp. PABB004]	RMZ54085.1 hypothetical protein APUTEX25_002662 [Auxenochlorella protothecoides]
OG0001885	KAF8063718.1 RPL3 [Scenedesmus sp. PABB004]	RMZ54124.1 hypothetical protein APUTEX25_005280_ partial [Auxenochlorella protothecoides]
OG0001886	KAF8069452.1 APUM8 [Scenedesmus sp. PABB004]	RMZ54136.1 hypothetical protein APUTEX25_005292 [Auxenochlorella protothecoides]
OG0001887	KAF8055930.1 VP22-1 [Scenedesmus sp. PABB004]	RMZ54180.1 hypothetical protein APUTEX25_005336_ partial [Auxenochlorella protothecoides]
OG0001888	KAF8068421.1 RPN5A [Scenedesmus sp. PABB004]	RMZ54184.1 hypothetical protein APUTEX25_005340 [Auxenochlorella protothecoides]
OG0001889	KAF8073241.1 hypothetical protein HT031_000902 [Scenedesmus sp. PABB004]	RMZ54189.1 hypothetical protein APUTEX25_005345 [Auxenochlorella protothecoides]
OG0001890	KAF8069435.1 protein phosphatase methylesterase 1 [Scenedesmus sp. PABB004]	RMZ54196.1 hypothetical protein APUTEX25_005352 [Auxenochlorella protothecoides]
OG0001891	KAF8061287.1 hypothetical protein HT031_004377 [Scenedesmus sp. PABB004]	RMZ54198.1 hypothetical protein APUTEX25_005354_ partial [Auxenochlorella protothecoides]
OG0001892	KAF8069538.1 regulator of telomere elongation helicase 1 [Scenedesmus sp. PABB004]	RMZ54204.1 hypothetical protein APUTEX25_005360 [Auxenochlorella protothecoides]
OG0001893	KAF8060532.1 Pdcl3 [Scenedesmus sp. PABB004]	RMZ54263.1 hypothetical protein APUTEX25_000614_ partial [Auxenochlorella protothecoides]
OG0001894	KAF8056103.1 nifk [Scenedesmus sp. PABB004]	RMZ54269.1 hypothetical protein APUTEX25_000620 [Auxenochlorella protothecoides]
OG0001895	KAF8072804.1 N-acetyl-gamma-glutamyl-phosphate reductase [Scenedesmus sp. PABB004]	RMZ54276.1 hypothetical protein APUTEX25_001434 [Auxenochlorella protothecoides]
OG0001896	KAF8065632.1 CNX1 [Scenedesmus sp. PABB004]	RMZ54287.1 hypothetical protein APUTEX25_001445_ partial [Auxenochlorella protothecoides]
OG0001897	KAF8070926.1 PDIL2-2 [Scenedesmus sp. PABB004]	RMZ54288.1 hypothetical protein APUTEX25_001446_ partial [Auxenochlorella protothecoides]
OG0001898	KAF8065745.1 cid14 [Scenedesmus sp. PABB004]	RMZ54293.1 hypothetical protein APUTEX25_001451_ partial [Auxenochlorella protothecoides]
OG0001899	KAF8071154.1 rimM [Scenedesmus sp. PABB004]	RMZ54295.1 hypothetical protein APUTEX25_001453 [Auxenochlorella protothecoides]
OG0001900	KAF8065707.1 UFD1 [Scenedesmus sp. PABB004]	RMZ54297.1 hypothetical protein APUTEX25_001455 [Auxenochlorella protothecoides]
OG0001901	KAF8066373.1 hypothetical protein HT031_002697 [Scenedesmus sp. PABB004]	RMZ54301.1 hypothetical protein APUTEX25_001459 [Auxenochlorella protothecoides]
OG0001902	KAF8064558.1 ADK1 [Scenedesmus sp. PABB004]	RMZ54305.1 hypothetical protein APUTEX25_001463 [Auxenochlorella protothecoides]
OG0001903	KAF8065654.1 hypothetical protein HT031_003255 [Scenedesmus sp. PABB004], KAF8065655.1 hypothetical protein HT031_003256 [Scenedesmus sp. PABB004]	RMZ54307.1 hypothetical protein APUTEX25_001465 [Auxenochlorella protothecoides]
OG0001904	KAF8069667.1 Histone H2A-IV [Scenedesmus sp. PABB004]	RMZ54313.1 hypothetical protein APUTEX25_001471 [Auxenochlorella protothecoides]
OG0001905	KAF8065925.1 dapC [Scenedesmus sp. PABB004]	RMZ54321.1 hypothetical protein APUTEX25_001479 [Auxenochlorella protothecoides]
OG0001906	KAF8065868.1 MBB1 [Scenedesmus sp. PABB004], KAF8058296.1 MBB1 [Scenedesmus sp. PABB004]	RMZ54324.1 hypothetical protein APUTEX25_001482 [Auxenochlorella protothecoides]
OG0001907	KAF8066203.1 GCN5 [Scenedesmus sp. PABB004]	RMZ54331.1 hypothetical protein APUTEX25_001489 [Auxenochlorella protothecoides]
OG0001909	KAF8064487.1 hypothetical protein HT031_003286 [Scenedesmus sp. PABB004]	RMZ54373.1 hypothetical protein APUTEX25_001949 [Auxenochlorella protothecoides]
OG0001910	KAF8057901.1 GgCAS1 [Scenedesmus sp. PABB004]	RMZ54383.1 hypothetical protein APUTEX25_001959_ partial [Auxenochlorella protothecoides]
OG0001911	KAF8061953.1 ALG11 [Scenedesmus sp. PABB004]	RMZ54385.1 hypothetical protein APUTEX25_001961_ partial [Auxenochlorella protothecoides]
OG0001912	KAF8072553.1 SMC1 [Scenedesmus sp. PABB004]	RMZ54396.1 hypothetical protein APUTEX25_001972 [Auxenochlorella protothecoides]
OG0001913	KAF8072803.1 VPS35B [Scenedesmus sp. PABB004]	RMZ54406.1 hypothetical protein APUTEX25_001982 [Auxenochlorella protothecoides]
OG0001914	KAF8073139.1 hypothetical protein HT031_000800 [Scenedesmus sp. PABB004]	RMZ54407.1 hypothetical protein APUTEX25_001983 [Auxenochlorella protothecoides]
OG0001915	KAF8068311.1 UVR8 [Scenedesmus sp. PABB004]	RMZ54414.1 hypothetical protein APUTEX25_001990 [Auxenochlorella protothecoides]
OG0001916	KAF8059367.1 radA [Scenedesmus sp. PABB004]	RMZ54423.1 hypothetical protein APUTEX25_001999 [Auxenochlorella protothecoides]
OG0001917	KAF8058477.1 hypothetical protein HT031_005601 [Scenedesmus sp. PABB004]	RMZ54459.1 hypothetical protein APUTEX25_002035_ partial [Auxenochlorella protothecoides]
OG0001918	KAF8058943.1 WIN1 [Scenedesmus sp. PABB004]	RMZ54461.1 hypothetical protein APUTEX25_002037_ partial [Auxenochlorella protothecoides]
OG0001919	KAF8065525.1 VAT1 [Scenedesmus sp. PABB004]	RMZ54473.1 hypothetical protein APUTEX25_002049 [Auxenochlorella protothecoides]
OG0001920	KAF8063750.1 CYP57 [Scenedesmus sp. PABB004]	RMZ54480.1 hypothetical protein APUTEX25_002056 [Auxenochlorella protothecoides]
OG0001921	KAF8057284.1 VHA-d1 [Scenedesmus sp. PABB004]	RMZ54483.1 hypothetical protein APUTEX25_002059_ partial [Auxenochlorella protothecoides]
OG0001922	KAF8058864.1 KIN14I [Scenedesmus sp. PABB004]	RMZ54495.1 hypothetical protein APUTEX25_002071_ partial [Auxenochlorella protothecoides]
OG0001923	KAF8072380.1 RH42 [Scenedesmus sp. PABB004]	RMZ54541.1 hypothetical protein APUTEX25_002116 [Auxenochlorella protothecoides]
