Orthogroup	Chlorella_VariabilisNC64A	Coccomyxa_SubellipsoideaC169
OG0001948	XP_005851428.1 hypothetical protein CHLNCDRAFT_17231_ partial [Chlorella variabilis]	EIE21638.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0001949	XP_005851436.1 hypothetical protein CHLNCDRAFT_56689 [Chlorella variabilis]	EIE18242.1 hypothetical protein COCSUDRAFT_45504 [Coccomyxa subellipsoidea C-169]
OG0001950	XP_005851420.1 hypothetical protein CHLNCDRAFT_19326 [Chlorella variabilis]	EIE21615.1 histidine tRNA 5'-guanylyltransferase [Coccomyxa subellipsoidea C-169]
OG0001951	XP_005850125.1 40S ribosomal protein S18 [Chlorella variabilis]	EIE24636.1 ribosomal protein S18 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]
OG0001952	XP_005850128.1 hypothetical protein CHLNCDRAFT_20545 [Chlorella variabilis]	EIE24637.1 26S proteasome regulatory subunit [Coccomyxa subellipsoidea C-169]
OG0001953	XP_005847727.1 hypothetical protein CHLNCDRAFT_133789 [Chlorella variabilis], XP_005847728.1 hypothetical protein CHLNCDRAFT_133790 [Chlorella variabilis]	EIE22446.1 hypothetical protein COCSUDRAFT_56130 [Coccomyxa subellipsoidea C-169]
OG0001954	XP_005847810.1 hypothetical protein CHLNCDRAFT_23357 [Chlorella variabilis]	EIE22455.1 S-adenosyl-L-methionine-dependent methyltransferase [Coccomyxa subellipsoidea C-169]
OG0001955	XP_005849269.1 hypothetical protein CHLNCDRAFT_143544 [Chlorella variabilis]	EIE23587.1 peptidase M18_ aminopeptidase I [Coccomyxa subellipsoidea C-169]
OG0001956	XP_005850566.1 hypothetical protein CHLNCDRAFT_34068 [Chlorella variabilis]	EIE19836.1 glycyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0001957	XP_005849989.1 hypothetical protein CHLNCDRAFT_141903 [Chlorella variabilis], XP_005845910.1 hypothetical protein CHLNCDRAFT_136514 [Chlorella variabilis]	EIE25131.1 hypothetical protein COCSUDRAFT_46598 [Coccomyxa subellipsoidea C-169]
OG0001958	XP_005842951.1 hypothetical protein CHLNCDRAFT_28686 [Chlorella variabilis]	EIE19736.1 heme peroxidase [Coccomyxa subellipsoidea C-169]
OG0001960	XP_005843657.1 hypothetical protein CHLNCDRAFT_140025 [Chlorella variabilis]	EIE19108.1 spliceosome component_ nuclear pre-mRNA splicing factor [Coccomyxa subellipsoidea C-169]
OG0001961	XP_005850242.1 hypothetical protein CHLNCDRAFT_141905 [Chlorella variabilis]	EIE22621.1 hypothetical protein COCSUDRAFT_53607 [Coccomyxa subellipsoidea C-169]
OG0001962	XP_005850881.1 hypothetical protein CHLNCDRAFT_56882 [Chlorella variabilis]	EIE26619.1 phosphatases II [Coccomyxa subellipsoidea C-169]
OG0001963	XP_005850011.1 hypothetical protein CHLNCDRAFT_7714_ partial [Chlorella variabilis]	EIE25157.1 hypothetical protein COCSUDRAFT_27846 [Coccomyxa subellipsoidea C-169]
OG0001964	XP_005847826.1 hypothetical protein CHLNCDRAFT_17999_ partial [Chlorella variabilis]	EIE20662.1 hypothetical protein COCSUDRAFT_54194 [Coccomyxa subellipsoidea C-169]
OG0001965	XP_005846219.1 hypothetical protein CHLNCDRAFT_135478 [Chlorella variabilis]	EIE21705.1 long-chain acyl-CoA oxidase [Coccomyxa subellipsoidea C-169]
OG0001966	XP_005851182.1 hypothetical protein CHLNCDRAFT_13270_ partial [Chlorella variabilis]	EIE26653.1 hypothetical protein COCSUDRAFT_59173 [Coccomyxa subellipsoidea C-169]
OG0001967	XP_005849249.1 hypothetical protein CHLNCDRAFT_48682 [Chlorella variabilis]	EIE19467.1 ribosomal protein S19 [Coccomyxa subellipsoidea C-169]
OG0001968	XP_005850733.1 hypothetical protein CHLNCDRAFT_34245 [Chlorella variabilis]	EIE18937.1 phophatdylinositol 4-kinase [Coccomyxa subellipsoidea C-169]
OG0001969	XP_005847582.1 hypothetical protein CHLNCDRAFT_23038 [Chlorella variabilis]	EIE24722.1 nucleotide binding protein [Coccomyxa subellipsoidea C-169]
OG0001970	XP_005842828.1 hypothetical protein CHLNCDRAFT_142572 [Chlorella variabilis]	EIE21063.1 GTPase EngC_ partial [Coccomyxa subellipsoidea C-169]
OG0001971	XP_005845835.1 hypothetical protein CHLNCDRAFT_58425 [Chlorella variabilis]	EIE20255.1 hypothetical protein COCSUDRAFT_2352_ partial [Coccomyxa subellipsoidea C-169]
OG0001972	XP_005851043.1 hypothetical protein CHLNCDRAFT_29960 [Chlorella variabilis]	EIE19247.1 starch branching enzyme [Coccomyxa subellipsoidea C-169]
OG0001973	XP_005850767.1 hypothetical protein CHLNCDRAFT_20078 [Chlorella variabilis]	EIE25878.1 p-hydroxyphenylpyruvate dioxigenase [Coccomyxa subellipsoidea C-169]
OG0001974	XP_005842809.1 hypothetical protein CHLNCDRAFT_28812 [Chlorella variabilis]	EIE20990.1 hypothetical protein COCSUDRAFT_54084 [Coccomyxa subellipsoidea C-169]
OG0001975	XP_005846214.1 hypothetical protein CHLNCDRAFT_25038 [Chlorella variabilis]	EIE25813.1 hydrogenobyrinic acid a_c-diamide cobaltochelatase_ partial [Coccomyxa subellipsoidea C-169]
OG0001976	XP_005847305.1 hypothetical protein CHLNCDRAFT_134426 [Chlorella variabilis]	EIE26706.1 glyoxalase I [Coccomyxa subellipsoidea C-169]
OG0001978	XP_005846696.1 hypothetical protein CHLNCDRAFT_135440 [Chlorella variabilis]	EIE22579.1 hypothetical protein COCSUDRAFT_66290 [Coccomyxa subellipsoidea C-169]
OG0001979	XP_005850162.1 hypothetical protein CHLNCDRAFT_57124 [Chlorella variabilis]	EIE25465.1 Nop-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001980	XP_005845340.1 hypothetical protein CHLNCDRAFT_32265 [Chlorella variabilis]	EIE21667.1 vacuolar ATP synthase subunit H [Coccomyxa subellipsoidea C-169]
OG0001981	XP_005845343.1 hypothetical protein CHLNCDRAFT_36589 [Chlorella variabilis]	EIE21708.1 NAD_P_-binding protein [Coccomyxa subellipsoidea C-169]
OG0001982	XP_005847223.1 expressed protein [Chlorella variabilis]	EIE18167.1 hypothetical protein COCSUDRAFT_49374 [Coccomyxa subellipsoidea C-169], EIE22009.1 hypothetical protein COCSUDRAFT_43000 [Coccomyxa subellipsoidea C-169]
OG0001983	XP_005842674.1 hypothetical protein CHLNCDRAFT_137229_ partial [Chlorella variabilis], XP_005843835.1 hypothetical protein CHLNCDRAFT_139929 [Chlorella variabilis]	EIE22865.1 hypothetical protein COCSUDRAFT_63988 [Coccomyxa subellipsoidea C-169]
OG0001984	XP_005848728.1 hypothetical protein CHLNCDRAFT_144404 [Chlorella variabilis]	EIE25551.1 alpha/beta-hydrolase [Coccomyxa subellipsoidea C-169]
OG0001986	XP_005844785.1 hypothetical protein CHLNCDRAFT_138663 [Chlorella variabilis]	EIE20935.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0001987	XP_005851338.1 hypothetical protein CHLNCDRAFT_138222 [Chlorella variabilis]	EIE23713.1 hypothetical protein COCSUDRAFT_41874 [Coccomyxa subellipsoidea C-169]
OG0001988	XP_005850820.1 hypothetical protein CHLNCDRAFT_140371 [Chlorella variabilis]	EIE26750.1 AIG2-like protein [Coccomyxa subellipsoidea C-169]
OG0001989	XP_005849065.1 hypothetical protein CHLNCDRAFT_51240 [Chlorella variabilis]	EIE26377.1 hypothetical protein COCSUDRAFT_32152_ partial [Coccomyxa subellipsoidea C-169]
OG0001990	XP_005850497.1 hypothetical protein CHLNCDRAFT_13670_ partial [Chlorella variabilis]	EIE22118.1 L30e-like protein [Coccomyxa subellipsoidea C-169]
OG0001991	XP_005846716.1 hypothetical protein CHLNCDRAFT_35894 [Chlorella variabilis]	EIE23132.1 HlyIII-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001992	XP_005843041.1 hypothetical protein CHLNCDRAFT_55429 [Chlorella variabilis]	EIE19723.1 ser/thr kinase_ ABC1 family [Coccomyxa subellipsoidea C-169]
OG0001993	XP_005849767.1 hypothetical protein CHLNCDRAFT_30316 [Chlorella variabilis]	EIE22822.1 Flavokinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001994	XP_005848423.1 hypothetical protein CHLNCDRAFT_22261 [Chlorella variabilis], XP_005849064.1 hypothetical protein CHLNCDRAFT_143540 [Chlorella variabilis]	EIE25888.1 adenosine/AMP deaminase family protein [Coccomyxa subellipsoidea C-169]
OG0001995	XP_005844310.1 hypothetical protein CHLNCDRAFT_26970 [Chlorella variabilis]	EIE26434.1 Pkinase-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0001996	XP_005850817.1 hypothetical protein CHLNCDRAFT_29723 [Chlorella variabilis]	EIE23728.1 1-deoxy-D-xylulose 5-phosphate reductoisomerase [Coccomyxa subellipsoidea C-169]
OG0001997	XP_005851652.1 hypothetical protein CHLNCDRAFT_56812 [Chlorella variabilis]	EIE23912.1 SM/Sec1-family protein [Coccomyxa subellipsoidea C-169]
OG0001998	XP_005846616.1 hypothetical protein CHLNCDRAFT_11379_ partial [Chlorella variabilis]	EIE24693.1 cyclopropyl isomerase [Coccomyxa subellipsoidea C-169]
OG0001999	XP_005850511.1 hypothetical protein CHLNCDRAFT_48513 [Chlorella variabilis]	EIE26765.1 riboflavin synthase domain-like protein [Coccomyxa subellipsoidea C-169]
OG0002000	XP_005851332.1 hypothetical protein CHLNCDRAFT_55988 [Chlorella variabilis]	EIE23742.1 glutamine amidotransferase/cyclase [Coccomyxa subellipsoidea C-169]
OG0002001	XP_005850504.1 hypothetical protein CHLNCDRAFT_140333 [Chlorella variabilis]	EIE26974.1 hypothetical protein COCSUDRAFT_12091 [Coccomyxa subellipsoidea C-169]
OG0002002	XP_005850500.1 hypothetical protein CHLNCDRAFT_56833 [Chlorella variabilis]	EIE24720.1 hypothetical protein COCSUDRAFT_36047 [Coccomyxa subellipsoidea C-169]
OG0002003	XP_005846398.1 hypothetical protein CHLNCDRAFT_58339 [Chlorella variabilis]	EIE20087.1 XAP5-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002004	XP_005846397.1 hypothetical protein CHLNCDRAFT_135887 [Chlorella variabilis]	EIE26835.1 V-snare-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002005	XP_005846922.1 hypothetical protein CHLNCDRAFT_31479 [Chlorella variabilis]	EIE27273.1 nucleic acid binding protein [Coccomyxa subellipsoidea C-169]
OG0002006	XP_005847149.1 hypothetical protein CHLNCDRAFT_35818 [Chlorella variabilis]	EIE27347.1 chlorophyll a/b-binding protein [Coccomyxa subellipsoidea C-169]
OG0002007	XP_005846928.1 hypothetical protein CHLNCDRAFT_58077 [Chlorella variabilis]	EIE27359.1 Cse1-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002008	XP_005846921.1 hypothetical protein CHLNCDRAFT_23831 [Chlorella variabilis]	EIE21798.1 putative DnaJ protein [Coccomyxa subellipsoidea C-169]
OG0002009	XP_005847102.1 hypothetical protein CHLNCDRAFT_35784 [Chlorella variabilis]	EIE27411.1 ATP synthase-like protein O subunit_ mitochondrial precursor [Coccomyxa subellipsoidea C-169]
OG0002010	XP_005847098.1 transcription factor_ partial [Chlorella variabilis]	EIE27419.1 CCAAT-binding transcription factor subunit A [Coccomyxa subellipsoidea C-169]
OG0002011	XP_005846943.1 hypothetical protein CHLNCDRAFT_56195 [Chlorella variabilis]	EIE27414.1 vacuolar ATP synthase subunit B [Coccomyxa subellipsoidea C-169]
OG0002012	XP_005847113.1 hypothetical protein CHLNCDRAFT_52783 [Chlorella variabilis]	EIE18249.1 hypothetical protein COCSUDRAFT_45509 [Coccomyxa subellipsoidea C-169]
OG0002013	XP_005847108.1 hypothetical protein CHLNCDRAFT_24122 [Chlorella variabilis]	EIE27272.1 SCO1-SenC-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002014	XP_005847106.1 hypothetical protein CHLNCDRAFT_134820 [Chlorella variabilis]	EIE27391.1 RNA-binding domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002015	XP_005849463.1 hypothetical protein CHLNCDRAFT_30278 [Chlorella variabilis]	EIE20468.1 pyrroline-5-carboxlyate synthetase [Coccomyxa subellipsoidea C-169]
OG0002016	XP_005852152.1 hypothetical protein CHLNCDRAFT_15257_ partial [Chlorella variabilis]	EIE24049.1 ClpX_ ATPase regulatory subunit [Coccomyxa subellipsoidea C-169]
OG0002017	XP_005850252.1 hypothetical protein CHLNCDRAFT_141931 [Chlorella variabilis]	EIE18923.1 putative valyl tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0002018	XP_005846373.1 hypothetical protein CHLNCDRAFT_36152 [Chlorella variabilis]	EIE26831.1 acyl-CoA oxidase [Coccomyxa subellipsoidea C-169]
OG0002019	XP_005850333.1 hypothetical protein CHLNCDRAFT_142124 [Chlorella variabilis]	EIE25319.1 hypothetical protein COCSUDRAFT_65190 [Coccomyxa subellipsoidea C-169]
OG0002020	XP_005850259.1 hypothetical protein CHLNCDRAFT_141958 [Chlorella variabilis]	EIE25134.1 Mog1p/PsbP-like protein [Coccomyxa subellipsoidea C-169]
OG0002021	XP_005846885.1 hypothetical protein CHLNCDRAFT_134734 [Chlorella variabilis]	EIE24941.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002022	XP_005847244.1 hypothetical protein CHLNCDRAFT_134227 [Chlorella variabilis]	EIE26696.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]
OG0002023	XP_005843972.1 40S ribosomal protein S5 [Chlorella variabilis]	EIE23830.1 ribosomal protein S5 component of cytosolic 80S ribosome and 40S small subunit [Coccomyxa subellipsoidea C-169]
OG0002024	XP_005849995.1 hypothetical protein CHLNCDRAFT_141922 [Chlorella variabilis]	EIE25137.1 MATH-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002025	XP_005850331.1 hypothetical protein CHLNCDRAFT_20274_ partial [Chlorella variabilis], XP_005852313.1 hypothetical protein CHLNCDRAFT_28858_ partial [Chlorella variabilis], XP_005852314.1 hypothetical protein CHLNCDRAFT_13078_ partial [Chlorella variabilis]	EIE21219.1 superoxide dismutase [Mn] [Coccomyxa subellipsoidea C-169]
OG0002026	XP_005850261.1 hypothetical protein CHLNCDRAFT_50559 [Chlorella variabilis]	EIE25148.1 TFP11-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002027	XP_005843965.1 hypothetical protein CHLNCDRAFT_27518 [Chlorella variabilis]	EIE25769.1 adenine phosphoribosyltransferase [Coccomyxa subellipsoidea C-169]
OG0002028	XP_005845802.1 hypothetical protein CHLNCDRAFT_25435_ partial [Chlorella variabilis]	EIE22766.1 26S proteasome regulatory subunit [Coccomyxa subellipsoidea C-169]
OG0002029	XP_005845275.1 hypothetical protein CHLNCDRAFT_136976 [Chlorella variabilis]	EIE18114.1 Actin/actin-like protein [Coccomyxa subellipsoidea C-169]
OG0002030	XP_005849233.1 hypothetical protein CHLNCDRAFT_51197 [Chlorella variabilis]	EIE18816.1 hypothetical protein COCSUDRAFT_44983 [Coccomyxa subellipsoidea C-169]
OG0002031	XP_005849029.1 hypothetical protein CHLNCDRAFT_21604_ partial [Chlorella variabilis]	EIE23648.1 kinesin-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002032	XP_005843992.1 hypothetical protein CHLNCDRAFT_37081 [Chlorella variabilis]	EIE24901.1 hypothetical protein COCSUDRAFT_14300 [Coccomyxa subellipsoidea C-169]
OG0002033	XP_005848853.1 hypothetical protein CHLNCDRAFT_48710 [Chlorella variabilis]	EIE18517.1 signal recognition particle protein [Coccomyxa subellipsoidea C-169]
OG0002034	XP_005845528.1 hypothetical protein CHLNCDRAFT_58513 [Chlorella variabilis]	EIE26093.1 hypothetical protein COCSUDRAFT_46488 [Coccomyxa subellipsoidea C-169]
OG0002035	XP_005851164.1 hypothetical protein CHLNCDRAFT_137783 [Chlorella variabilis]	EIE23790.1 DNA topoisomerase II [Coccomyxa subellipsoidea C-169]
OG0002037	XP_005843202.1 hypothetical protein CHLNCDRAFT_141429 [Chlorella variabilis]	EIE21291.1 antiviral helicase [Coccomyxa subellipsoidea C-169]
OG0002038	XP_005851841.1 hypothetical protein CHLNCDRAFT_133342 [Chlorella variabilis]	EIE24065.1 ribosomal protein L37 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169]
OG0002039	XP_005849805.1 hypothetical protein CHLNCDRAFT_142913 [Chlorella variabilis]	EIE23880.1 MFS general substrate transporter [Coccomyxa subellipsoidea C-169]
OG0002040	XP_005844252.1 hypothetical protein CHLNCDRAFT_58991 [Chlorella variabilis]	EIE26294.1 dihydroxy-acid dehydratase [Coccomyxa subellipsoidea C-169]
OG0002041	XP_005843325.1 hypothetical protein CHLNCDRAFT_10816_ partial [Chlorella variabilis]	EIE24967.1 hypothetical protein COCSUDRAFT_83659_ partial [Coccomyxa subellipsoidea C-169]
OG0002042	XP_005852171.1 hypothetical protein CHLNCDRAFT_33566 [Chlorella variabilis]	EIE25420.1 starch branching enzyme [Coccomyxa subellipsoidea C-169]
OG0002043	XP_005843364.1 hypothetical protein CHLNCDRAFT_141171 [Chlorella variabilis]	EIE23695.1 DNA polymerase epsilon_ subunit B [Coccomyxa subellipsoidea C-169]
OG0002044	XP_005848817.1 hypothetical protein CHLNCDRAFT_144112 [Chlorella variabilis]	EIE20259.1 hypothetical protein COCSUDRAFT_37929 [Coccomyxa subellipsoidea C-169]
OG0002045	XP_005843372.1 hypothetical protein CHLNCDRAFT_55227 [Chlorella variabilis]	EIE23756.1 hypothetical protein COCSUDRAFT_53450 [Coccomyxa subellipsoidea C-169]
OG0002046	XP_005847675.1 hypothetical protein CHLNCDRAFT_134066 [Chlorella variabilis]	EIE20756.1 ribosomal protein S2 [Coccomyxa subellipsoidea C-169]
OG0002047	XP_005846806.1 hypothetical protein CHLNCDRAFT_135363_ partial [Chlorella variabilis]	EIE22733.1 hypothetical protein COCSUDRAFT_66368_ partial [Coccomyxa subellipsoidea C-169]
OG0002048	XP_005850822.1 hypothetical protein CHLNCDRAFT_19608_ partial [Chlorella variabilis], XP_005850823.1 hypothetical protein CHLNCDRAFT_14282_ partial [Chlorella variabilis]	EIE26746.1 aconitate hydratase [Coccomyxa subellipsoidea C-169]
OG0002049	XP_005843997.1 hypothetical protein CHLNCDRAFT_139495 [Chlorella variabilis]	EIE24780.1 DNA repair exonuclease [Coccomyxa subellipsoidea C-169]
OG0002050	XP_005842559.1 hypothetical protein CHLNCDRAFT_144612_ partial [Chlorella variabilis], XP_005848025.1 hypothetical protein CHLNCDRAFT_145626_ partial [Chlorella variabilis]	EIE18147.1 hypothetical protein COCSUDRAFT_49369 [Coccomyxa subellipsoidea C-169]
OG0002051	XP_005848173.1 hypothetical protein CHLNCDRAFT_145563 [Chlorella variabilis]	EIE21089.1 Nop-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002052	XP_005847636.1 hypothetical protein CHLNCDRAFT_133974 [Chlorella variabilis]	EIE20699.1 hypothetical protein COCSUDRAFT_57268 [Coccomyxa subellipsoidea C-169], EIE20698.1 phosphatases II [Coccomyxa subellipsoidea C-169]
OG0002053	XP_005842924.1 hypothetical protein CHLNCDRAFT_28677 [Chlorella variabilis]	EIE19777.1 signal peptidase complex I_ partial [Coccomyxa subellipsoidea C-169]
OG0002054	XP_005844804.1 hypothetical protein CHLNCDRAFT_138705 [Chlorella variabilis]	EIE21301.1 ARM repeat-containing protein [Coccomyxa subellipsoidea C-169]
OG0002055	XP_005846041.1 hypothetical protein CHLNCDRAFT_36274 [Chlorella variabilis]	EIE25952.1 cyclin-like protein [Coccomyxa subellipsoidea C-169]
OG0002056	XP_005846170.1 hypothetical protein CHLNCDRAFT_25172 [Chlorella variabilis]	EIE25802.1 small rab-related GTPase [Coccomyxa subellipsoidea C-169]
OG0002057	XP_005846132.1 hypothetical protein CHLNCDRAFT_31925_ partial [Chlorella variabilis]	EIE22242.1 ATP-binding cassette transporter_ partial [Coccomyxa subellipsoidea C-169]
OG0002058	XP_005846042.1 hypothetical protein CHLNCDRAFT_25380 [Chlorella variabilis]	EIE25954.1 hypothetical protein COCSUDRAFT_12541 [Coccomyxa subellipsoidea C-169]
OG0002059	XP_005845977.1 hypothetical protein CHLNCDRAFT_136015 [Chlorella variabilis]	EIE23389.1 hypothetical protein COCSUDRAFT_15264 [Coccomyxa subellipsoidea C-169]
OG0002060	XP_005846051.1 hypothetical protein CHLNCDRAFT_136201 [Chlorella variabilis]	EIE26012.1 mitochondrial inner membrane translocase [Coccomyxa subellipsoidea C-169], EIE18067.1 mitochondrial inner membrane translocase [Coccomyxa subellipsoidea C-169]
OG0002061	XP_005846172.1 hypothetical protein CHLNCDRAFT_58397 [Chlorella variabilis]	EIE26344.1 Cupredoxin [Coccomyxa subellipsoidea C-169]
OG0002062	XP_005847577.1 hypothetical protein CHLNCDRAFT_23105_ partial [Chlorella variabilis]	EIE19573.1 PTR2-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002063	XP_005845983.1 hypothetical protein CHLNCDRAFT_31906 [Chlorella variabilis]	EIE26210.1 Polyprenyl synthetase [Coccomyxa subellipsoidea C-169]
OG0002064	XP_005846026.1 hypothetical protein CHLNCDRAFT_53431 [Chlorella variabilis]	EIE25894.1 ubiquitin conjugating enzyme [Coccomyxa subellipsoidea C-169]
OG0002065	XP_005846017.1 hypothetical protein CHLNCDRAFT_136118 [Chlorella variabilis]	EIE23420.1 hypothetical protein COCSUDRAFT_41669 [Coccomyxa subellipsoidea C-169]
OG0002066	XP_005846106.1 hypothetical protein CHLNCDRAFT_58355 [Chlorella variabilis]	EIE27053.1 P-loop containing nucleoside triphosphate hydrolase protein [Coccomyxa subellipsoidea C-169]
OG0002068	XP_005851545.1 hypothetical protein CHLNCDRAFT_29579 [Chlorella variabilis]	EIE22107.1 Redoxin-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002069	XP_005849468.1 hypothetical protein CHLNCDRAFT_30281 [Chlorella variabilis]	EIE22849.1 cytochrome P450_ C-22 desaturase [Coccomyxa subellipsoidea C-169]
OG0002070	XP_005849733.1 hypothetical protein CHLNCDRAFT_20835_ partial [Chlorella variabilis]	EIE20614.1 DEAD-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002071	XP_005846863.1 hypothetical protein CHLNCDRAFT_134673 [Chlorella variabilis]	EIE21970.1 hypothetical protein COCSUDRAFT_56415 [Coccomyxa subellipsoidea C-169]
OG0002072	XP_005843555.1 hypothetical protein CHLNCDRAFT_33052 [Chlorella variabilis]	EIE24579.1 porphobilinogen deaminase [Coccomyxa subellipsoidea C-169]
OG0002073	XP_005846849.1 hypothetical protein CHLNCDRAFT_58028 [Chlorella variabilis]	EIE21960.1 40S ribosomal protein S16 [Coccomyxa subellipsoidea C-169]
OG0002074	XP_005851189.1 hypothetical protein CHLNCDRAFT_13957_ partial [Chlorella variabilis]	EIE18677.1 hypothetical protein COCSUDRAFT_31575 [Coccomyxa subellipsoidea C-169]
OG0002075	XP_005851530.1 hypothetical protein CHLNCDRAFT_55979 [Chlorella variabilis]	EIE19377.1 myo-inositol-1-phosphate synthase_ partial [Coccomyxa subellipsoidea C-169]
OG0002076	XP_005851211.1 hypothetical protein CHLNCDRAFT_33853 [Chlorella variabilis]	EIE18740.1 hypothetical protein COCSUDRAFT_38543 [Coccomyxa subellipsoidea C-169]
OG0002077	XP_005843548.1 hypothetical protein CHLNCDRAFT_140170 [Chlorella variabilis]	EIE20165.1 SMAD/FHA domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002078	XP_005845462.1 hypothetical protein CHLNCDRAFT_53918 [Chlorella variabilis]	EIE20126.1 hypothetical protein COCSUDRAFT_67495 [Coccomyxa subellipsoidea C-169]
OG0002079	XP_005851244.1 hypothetical protein CHLNCDRAFT_19159_ partial [Chlorella variabilis]	EIE26934.1 hypothetical protein COCSUDRAFT_12206_ partial [Coccomyxa subellipsoidea C-169]
OG0002080	XP_005851526.1 hypothetical protein CHLNCDRAFT_48481 [Chlorella variabilis]	EIE23635.1 PLP-dependent transferase [Coccomyxa subellipsoidea C-169]
OG0002081	XP_005847591.1 hypothetical protein CHLNCDRAFT_23248_ partial [Chlorella variabilis]	EIE19179.1 hypothetical protein COCSUDRAFT_19880 [Coccomyxa subellipsoidea C-169]
OG0002082	XP_005847059.1 hypothetical protein CHLNCDRAFT_24020 [Chlorella variabilis]	EIE19930.1 20S proteasome alpha subunit D [Coccomyxa subellipsoidea C-169]
OG0002083	XP_005846851.1 hypothetical protein CHLNCDRAFT_56187 [Chlorella variabilis]	EIE21909.1 nascent polypeptide-associated complex_ alpha subunit [Coccomyxa subellipsoidea C-169]
OG0002084	XP_005849462.1 hypothetical protein CHLNCDRAFT_30275 [Chlorella variabilis]	EIE20615.1 tRNA-i_6_A37 modification enzyme MiaB [Coccomyxa subellipsoidea C-169]
OG0002085	XP_005850321.1 hypothetical protein CHLNCDRAFT_142096 [Chlorella variabilis]	EIE25479.1 hypothetical protein COCSUDRAFT_1587_ partial [Coccomyxa subellipsoidea C-169]
OG0002086	XP_005851544.1 hypothetical protein CHLNCDRAFT_56758 [Chlorella variabilis]	EIE24041.1 HIT-like protein [Coccomyxa subellipsoidea C-169]
OG0002087	XP_005849695.1 hypothetical protein CHLNCDRAFT_30497 [Chlorella variabilis]	EIE22441.1 importin alpha [Coccomyxa subellipsoidea C-169]
OG0002088	XP_005849940.1 hypothetical protein CHLNCDRAFT_34803 [Chlorella variabilis]	EIE22447.1 TPR-like protein [Coccomyxa subellipsoidea C-169]
OG0002089	XP_005850046.1 hypothetical protein CHLNCDRAFT_30027 [Chlorella variabilis]	EIE25344.1 glutaminyl-tRNA synthetase [Coccomyxa subellipsoidea C-169]
OG0002090	XP_005849937.1 hypothetical protein CHLNCDRAFT_56088 [Chlorella variabilis]	EIE22443.1 20S proteasome alpha subunit G [Coccomyxa subellipsoidea C-169]
OG0002091	XP_005849953.1 hypothetical protein CHLNCDRAFT_143308 [Chlorella variabilis]	EIE24807.1 NAD-binding D-isomer specific 2-hydroxyacid dehydrogenase [Coccomyxa subellipsoidea C-169], EIE22438.1 hypothetical protein COCSUDRAFT_37061 [Coccomyxa subellipsoidea C-169]
OG0002092	XP_005850595.1 hypothetical protein CHLNCDRAFT_19573_ partial [Chlorella variabilis]	EIE23778.1 FtsJ-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0002093	XP_005847547.1 hypothetical protein CHLNCDRAFT_133752 [Chlorella variabilis]	EIE27539.1 glycerol-3-phosphate permease-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0002094	XP_005847506.1 hypothetical protein CHLNCDRAFT_134520 [Chlorella variabilis], XP_005850315.1 hypothetical protein CHLNCDRAFT_142082 [Chlorella variabilis]	EIE25417.1 hypothetical protein COCSUDRAFT_40666 [Coccomyxa subellipsoidea C-169]
OG0002095	XP_005844921.1 hypothetical protein CHLNCDRAFT_26444 [Chlorella variabilis]	EIE25029.1 proteasome subunit alpha [Coccomyxa subellipsoidea C-169]
OG0002096	XP_005851557.1 hypothetical protein CHLNCDRAFT_138030_ partial [Chlorella variabilis], XP_005851558.1 hypothetical protein CHLNCDRAFT_138032 [Chlorella variabilis]	EIE26766.1 hypothetical protein COCSUDRAFT_46223 [Coccomyxa subellipsoidea C-169]
OG0002097	XP_005844496.1 hypothetical protein CHLNCDRAFT_56307 [Chlorella variabilis]	EIE20960.1 3-isopropylmalate dehydrogenase [Coccomyxa subellipsoidea C-169]
