Orthogroup	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P
OG0002956	XP_005851482.1 hypothetical protein CHLNCDRAFT_13527_ partial [Chlorella variabilis]	KAI3433641.1 hypothetical protein D9Q98_003450 [Chlorella vulgaris]
OG0002957	XP_005851556.1 hypothetical protein CHLNCDRAFT_138028 [Chlorella variabilis]	KAI3433484.1 hypothetical protein D9Q98_003296 [Chlorella vulgaris]
OG0002958	XP_005848655.1 hypothetical protein CHLNCDRAFT_57484 [Chlorella variabilis]	KAI3427156.1 hypothetical protein D9Q98_007093 [Chlorella vulgaris]
OG0002959	XP_005844428.1 hypothetical protein CHLNCDRAFT_36907 [Chlorella variabilis]	KAI3432876.1 hypothetical protein D9Q98_010459 [Chlorella vulgaris]
OG0002960	XP_005844337.1 hypothetical protein CHLNCDRAFT_56318 [Chlorella variabilis]	KAI3432861.1 hypothetical protein D9Q98_010444 [Chlorella vulgaris]
OG0002961	XP_005844375.1 hypothetical protein CHLNCDRAFT_54612 [Chlorella variabilis]	KAI3432398.1 hypothetical protein D9Q98_003954 [Chlorella vulgaris]
OG0002962	XP_005847470.1 hypothetical protein CHLNCDRAFT_35621 [Chlorella variabilis]	KAI3428540.1 hypothetical protein D9Q98_007362 [Chlorella vulgaris]
OG0002964	XP_005847484.1 hypothetical protein CHLNCDRAFT_52595 [Chlorella variabilis]	KAI3428510.1 hypothetical protein D9Q98_007334 [Chlorella vulgaris]
OG0002965	XP_005844595.1 hypothetical protein CHLNCDRAFT_58862 [Chlorella variabilis]	KAI3430344.1 hypothetical protein D9Q98_004939 [Chlorella vulgaris]
OG0002966	XP_005846761.1 hypothetical protein CHLNCDRAFT_135248 [Chlorella variabilis]	KAI3425100.1 hypothetical protein D9Q98_008478 [Chlorella vulgaris]
OG0002967	XP_005844063.1 hypothetical protein CHLNCDRAFT_27272 [Chlorella variabilis]	KAI3430706.1 hypothetical protein D9Q98_005295 [Chlorella vulgaris]
OG0002968	XP_005842911.1 hypothetical protein CHLNCDRAFT_141854 [Chlorella variabilis]	KAI3434373.1 hypothetical protein D9Q98_002452 [Chlorella vulgaris]
OG0002969	XP_005847306.1 hypothetical protein CHLNCDRAFT_14184_ partial [Chlorella variabilis]	KAI3428530.1 hypothetical protein D9Q98_007353 [Chlorella vulgaris]
OG0002970	XP_005849386.1 hypothetical protein CHLNCDRAFT_30609 [Chlorella variabilis]	KAI3434691.1 hypothetical protein D9Q98_002754 [Chlorella vulgaris]
OG0002971	XP_005849373.1 hypothetical protein CHLNCDRAFT_21686 [Chlorella variabilis]	KAI3434716.1 hypothetical protein D9Q98_002777 [Chlorella vulgaris]
OG0002972	XP_005849371.1 hypothetical protein CHLNCDRAFT_143835 [Chlorella variabilis]	KAI3434720.1 hypothetical protein D9Q98_002781 [Chlorella vulgaris]
OG0002973	XP_005849185.1 expressed protein [Chlorella variabilis]	KAI3434697.1 hypothetical protein D9Q98_002759 [Chlorella vulgaris]
OG0002975	XP_005850209.1 hypothetical protein CHLNCDRAFT_34524 [Chlorella variabilis]	KAI3428807.1 hypothetical protein D9Q98_007624 [Chlorella vulgaris]
OG0002976	XP_005843480.1 hypothetical protein CHLNCDRAFT_37431 [Chlorella variabilis]	KAI3432765.1 hypothetical protein D9Q98_004305 [Chlorella vulgaris]
OG0002977	XP_005851310.1 hypothetical protein CHLNCDRAFT_138144 [Chlorella variabilis]	KAI3433369.1 hypothetical protein D9Q98_003186 [Chlorella vulgaris]
OG0002978	XP_005845495.1 hypothetical protein CHLNCDRAFT_13819_ partial [Chlorella variabilis]	KAI3436069.1 hypothetical protein D9Q98_002127 [Chlorella vulgaris]
OG0002979	XP_005842695.1 hypothetical protein CHLNCDRAFT_55742 [Chlorella variabilis]	KAI3432734.1 hypothetical protein D9Q98_004275 [Chlorella vulgaris]
OG0002980	XP_005843496.1 hypothetical protein CHLNCDRAFT_141021 [Chlorella variabilis]	KAI3432717.1 hypothetical protein D9Q98_004260 [Chlorella vulgaris]
OG0002981	XP_005843518.1 hypothetical protein CHLNCDRAFT_59245 [Chlorella variabilis]	KAI3432759.1 hypothetical protein D9Q98_004299 [Chlorella vulgaris]
OG0002983	XP_005844185.1 hypothetical protein CHLNCDRAFT_139345 [Chlorella variabilis]	KAI3432276.1 hypothetical protein D9Q98_003836 [Chlorella vulgaris]
OG0002984	XP_005843503.1 hypothetical protein CHLNCDRAFT_141034 [Chlorella variabilis]	KAI3432688.1 hypothetical protein D9Q98_004231 [Chlorella vulgaris]
OG0002985	XP_005850363.1 hypothetical protein CHLNCDRAFT_59600 [Chlorella variabilis]	KAI3428207.1 hypothetical protein D9Q98_006587 [Chlorella vulgaris]
OG0002986	XP_005850115.1 hypothetical protein CHLNCDRAFT_57088 [Chlorella variabilis]	KAI3428198.1 hypothetical protein D9Q98_006578 [Chlorella vulgaris]
OG0002987	XP_005842806.1 hypothetical protein CHLNCDRAFT_142619 [Chlorella variabilis]	KAI3436025.1 hypothetical protein D9Q98_002082 [Chlorella vulgaris]
OG0002988	XP_005844117.1 hypothetical protein CHLNCDRAFT_27289 [Chlorella variabilis]	KAI3430645.1 hypothetical protein D9Q98_005238 [Chlorella vulgaris]
OG0002989	XP_005845454.1 hypothetical protein CHLNCDRAFT_25833_ partial [Chlorella variabilis]	KAI3436155.1 hypothetical protein D9Q98_002212 [Chlorella vulgaris]
OG0002990	XP_005850117.1 hypothetical protein CHLNCDRAFT_34403 [Chlorella variabilis]	KAI3428202.1 hypothetical protein D9Q98_006582 [Chlorella vulgaris]
OG0002991	XP_005850106.1 hypothetical protein CHLNCDRAFT_34395 [Chlorella variabilis]	KAI3428175.1 hypothetical protein D9Q98_006555 [Chlorella vulgaris]
OG0002992	XP_005850110.1 hypothetical protein CHLNCDRAFT_20361 [Chlorella variabilis]	KAI3428183.1 hypothetical protein D9Q98_006563 [Chlorella vulgaris]
OG0002993	XP_005845450.1 hypothetical protein CHLNCDRAFT_137078 [Chlorella variabilis]	KAI3436164.1 hypothetical protein D9Q98_002221 [Chlorella vulgaris]
OG0002994	XP_005846441.1 hypothetical protein CHLNCDRAFT_17561_ partial [Chlorella variabilis]	KAI3435894.1 hypothetical protein D9Q98_001952 [Chlorella vulgaris]
OG0002996	XP_005851902.1 hypothetical protein CHLNCDRAFT_133517 [Chlorella variabilis]	KAI3429741.1 hypothetical protein D9Q98_010056 [Chlorella vulgaris]
OG0002997	XP_005852246.1 hypothetical protein CHLNCDRAFT_49669 [Chlorella variabilis]	KAI3429787.1 hypothetical protein D9Q98_010100 [Chlorella vulgaris]
OG0002998	XP_005844813.1 hypothetical protein CHLNCDRAFT_138729 [Chlorella variabilis]	KAI3430886.1 hypothetical protein D9Q98_009295 [Chlorella vulgaris]
OG0002999	XP_005845003.1 hypothetical protein CHLNCDRAFT_58768 [Chlorella variabilis]	KAI3431590.1 hypothetical protein D9Q98_004640 [Chlorella vulgaris]
OG0003000	XP_005847851.1 hypothetical protein CHLNCDRAFT_134092 [Chlorella variabilis], XP_005851922.1 hypothetical protein CHLNCDRAFT_18066_ partial [Chlorella variabilis]	KAI3429789.1 hypothetical protein D9Q98_010102 [Chlorella vulgaris]
OG0003002	XP_005844777.1 hypothetical protein CHLNCDRAFT_58805 [Chlorella variabilis]	KAI3430820.1 hypothetical protein D9Q98_009231 [Chlorella vulgaris]
OG0003003	XP_005851951.1 hypothetical protein CHLNCDRAFT_49703 [Chlorella variabilis]	KAI3429836.1 hypothetical protein D9Q98_010149 [Chlorella vulgaris]
OG0003005	XP_005843940.1 hypothetical protein CHLNCDRAFT_37179 [Chlorella variabilis]	KAI3434495.1 hypothetical protein D9Q98_002570 [Chlorella vulgaris]
OG0003006	XP_005852269.1 hypothetical protein CHLNCDRAFT_33699 [Chlorella variabilis]	KAI3429865.1 hypothetical protein D9Q98_010176 [Chlorella vulgaris]
OG0003007	XP_005843532.1 hypothetical protein CHLNCDRAFT_33026 [Chlorella variabilis]	KAI3432680.1 hypothetical protein D9Q98_004223 [Chlorella vulgaris]
OG0003008	XP_005851966.1 hypothetical protein CHLNCDRAFT_33707 [Chlorella variabilis]	KAI3429886.1 hypothetical protein D9Q98_010197 [Chlorella vulgaris]
OG0003009	XP_005852245.1 hypothetical protein CHLNCDRAFT_133558 [Chlorella variabilis]	KAI3429783.1 hypothetical protein D9Q98_010096 [Chlorella vulgaris]
OG0003010	XP_005848790.1 hypothetical protein CHLNCDRAFT_144589 [Chlorella variabilis]	KAI3437909.1 hypothetical protein D9Q98_000354 [Chlorella vulgaris]
OG0003011	XP_005847212.1 hypothetical protein CHLNCDRAFT_35878 [Chlorella variabilis]	KAI3437941.1 hypothetical protein D9Q98_000385 [Chlorella vulgaris]
OG0003012	XP_005846182.1 hypothetical protein CHLNCDRAFT_136198 [Chlorella variabilis]	KAI3431479.1 hypothetical protein D9Q98_004531 [Chlorella vulgaris]
OG0003013	XP_005844735.1 hypothetical protein CHLNCDRAFT_138731 [Chlorella variabilis]	KAI3430889.1 hypothetical protein D9Q98_009298 [Chlorella vulgaris]
OG0003014	XP_005852235.1 hypothetical protein CHLNCDRAFT_56589 [Chlorella variabilis]	KAI3429758.1 hypothetical protein D9Q98_010071 [Chlorella vulgaris]
OG0003015	XP_005845004.1 hypothetical protein CHLNCDRAFT_7539_ partial [Chlorella variabilis]	KAI3431589.1 hypothetical protein D9Q98_004639 [Chlorella vulgaris]
OG0003016	XP_005843533.1 hypothetical protein CHLNCDRAFT_59807 [Chlorella variabilis]	KAI3432677.1 hypothetical protein D9Q98_004220 [Chlorella vulgaris]
OG0003017	XP_005843939.1 hypothetical protein CHLNCDRAFT_59785 [Chlorella variabilis]	KAI3434492.1 hypothetical protein D9Q98_002567 [Chlorella vulgaris]
OG0003018	XP_005852259.1 hypothetical protein CHLNCDRAFT_133608 [Chlorella variabilis]	KAI3429828.1 hypothetical protein D9Q98_010141 [Chlorella vulgaris]
OG0003019	XP_005847869.1 hypothetical protein CHLNCDRAFT_145199 [Chlorella variabilis]	KAI3437922.1 hypothetical protein D9Q98_000367 [Chlorella vulgaris]
OG0003020	XP_005850847.1 hypothetical protein CHLNCDRAFT_140444 [Chlorella variabilis]	KAI3436865.1 hypothetical protein D9Q98_006275 [Chlorella vulgaris]
OG0003021	XP_005846275.1 hypothetical protein CHLNCDRAFT_16754_ partial [Chlorella variabilis]	KAI3435875.1 hypothetical protein D9Q98_001933 [Chlorella vulgaris]
OG0003022	XP_005848378.1 hypothetical protein CHLNCDRAFT_145142 [Chlorella variabilis], XP_005848377.1 hypothetical protein CHLNCDRAFT_145141 [Chlorella variabilis]	KAI3426479.1 hypothetical protein D9Q98_008845 [Chlorella vulgaris]
OG0003023	XP_005843104.1 hypothetical protein CHLNCDRAFT_49269 [Chlorella variabilis]	KAI3424429.1 hypothetical protein D9Q98_009981 [Chlorella vulgaris]
OG0003024	XP_005846450.1 hypothetical protein CHLNCDRAFT_36050 [Chlorella variabilis]	KAI3435878.1 hypothetical protein D9Q98_001936 [Chlorella vulgaris]
OG0003025	XP_005844652.1 hypothetical protein CHLNCDRAFT_138996 [Chlorella variabilis]	KAI3430214.1 hypothetical protein D9Q98_004812 [Chlorella vulgaris]
OG0003026	XP_005847581.1 hypothetical protein CHLNCDRAFT_23150_ partial [Chlorella variabilis]	KAI3425789.1 hypothetical protein D9Q98_007764 [Chlorella vulgaris]
OG0003027	XP_005847723.1 hypothetical protein CHLNCDRAFT_35389 [Chlorella variabilis]	KAI3425743.1 hypothetical protein D9Q98_007719 [Chlorella vulgaris]
OG0003028	XP_005847747.1 hypothetical protein CHLNCDRAFT_23132 [Chlorella variabilis]	KAI3425795.1 hypothetical protein D9Q98_007770 [Chlorella vulgaris]
OG0003029	XP_005850867.1 hypothetical protein CHLNCDRAFT_29762 [Chlorella variabilis]	KAI3436806.1 hypothetical protein D9Q98_006216 [Chlorella vulgaris]
OG0003030	XP_005850463.1 hypothetical protein CHLNCDRAFT_30204 [Chlorella variabilis]	KAI3428830.1 hypothetical protein D9Q98_007647 [Chlorella vulgaris]
OG0003031	XP_005844579.1 hypothetical protein CHLNCDRAFT_138830 [Chlorella variabilis]	KAI3430372.1 hypothetical protein D9Q98_004967 [Chlorella vulgaris]
OG0003032	XP_005849662.1 hypothetical protein CHLNCDRAFT_143203 [Chlorella variabilis]	KAI3438826.1 hypothetical protein D9Q98_001243 [Chlorella vulgaris]
OG0003033	XP_005850200.1 hypothetical protein CHLNCDRAFT_30197 [Chlorella variabilis]	KAI3428842.1 hypothetical protein D9Q98_007659 [Chlorella vulgaris]
OG0003034	XP_005852216.1 hypothetical protein CHLNCDRAFT_29307 [Chlorella variabilis]	KAI3429690.1 hypothetical protein D9Q98_005775 [Chlorella vulgaris]
OG0003035	XP_005849784.1 hypothetical protein CHLNCDRAFT_142867 [Chlorella variabilis]	KAI3438544.1 hypothetical protein D9Q98_000972 [Chlorella vulgaris]
OG0003036	XP_005850190.1 hypothetical protein CHLNCDRAFT_57142 [Chlorella variabilis]	KAI3428373.1 hypothetical protein D9Q98_006753 [Chlorella vulgaris]
OG0003037	XP_005846266.1 hypothetical protein CHLNCDRAFT_135583 [Chlorella variabilis]	KAI3435897.1 hypothetical protein D9Q98_001955 [Chlorella vulgaris]
OG0003038	XP_005849520.1 hypothetical protein CHLNCDRAFT_142863 [Chlorella variabilis]	KAI3438541.1 hypothetical protein D9Q98_000969 [Chlorella vulgaris]
OG0003039	XP_005852217.1 hypothetical protein CHLNCDRAFT_12895_ partial [Chlorella variabilis], XP_005850788.1 hypothetical protein CHLNCDRAFT_140296 [Chlorella variabilis]	KAI3429692.1 hypothetical protein D9Q98_005777 [Chlorella vulgaris]
OG0003040	XP_005850199.1 hypothetical protein CHLNCDRAFT_17545_ partial [Chlorella variabilis]	KAI3428839.1 hypothetical protein D9Q98_007656 [Chlorella vulgaris]
OG0003041	XP_005844487.1 hypothetical protein CHLNCDRAFT_138831 [Chlorella variabilis]	KAI3430373.1 hypothetical protein D9Q98_004968 [Chlorella vulgaris]
OG0003042	XP_005846272.1 hypothetical protein CHLNCDRAFT_58253 [Chlorella variabilis]	KAI3435883.1 hypothetical protein D9Q98_001941 [Chlorella vulgaris]
OG0003043	XP_005847749.1 hypothetical protein CHLNCDRAFT_133847 [Chlorella variabilis]	KAI3425799.1 hypothetical protein D9Q98_007774 [Chlorella vulgaris]
OG0003044	XP_005846277.1 hypothetical protein CHLNCDRAFT_17489_ partial [Chlorella variabilis], XP_005846278.1 hypothetical protein CHLNCDRAFT_135614 [Chlorella variabilis]	KAI3435871.1 hypothetical protein D9Q98_001929 [Chlorella vulgaris]
OG0003045	XP_005850535.1 hypothetical protein CHLNCDRAFT_50195 [Chlorella variabilis]	KAI3435483.1 hypothetical protein D9Q98_001550 [Chlorella vulgaris], KAI3435484.1 hypothetical protein D9Q98_001550 [Chlorella vulgaris]
OG0003046	XP_005849913.1 hypothetical protein CHLNCDRAFT_143202 [Chlorella variabilis]	KAI3438825.1 hypothetical protein D9Q98_001242 [Chlorella vulgaris]
OG0003047	XP_005844552.1 hypothetical protein CHLNCDRAFT_54503 [Chlorella variabilis]	KAI3430212.1 hypothetical protein D9Q98_004810 [Chlorella vulgaris]
OG0003048	XP_005850198.1 hypothetical protein CHLNCDRAFT_142415 [Chlorella variabilis]	KAI3428836.1 hypothetical protein D9Q98_007653 [Chlorella vulgaris]
OG0003049	XP_005849038.1 hypothetical protein CHLNCDRAFT_143470 [Chlorella variabilis]	KAI3434991.1 hypothetical protein D9Q98_003043 [Chlorella vulgaris]
OG0003050	XP_005849794.1 hypothetical protein CHLNCDRAFT_57224 [Chlorella variabilis]	KAI3438563.1 hypothetical protein D9Q98_000990 [Chlorella vulgaris]
OG0003051	XP_005850445.1 hypothetical protein CHLNCDRAFT_142394 [Chlorella variabilis]	KAI3428369.1 hypothetical protein D9Q98_006749 [Chlorella vulgaris]
OG0003052	XP_005851883.1 hypothetical protein CHLNCDRAFT_33616 [Chlorella variabilis]	KAI3429693.1 hypothetical protein D9Q98_005778 [Chlorella vulgaris]
OG0003053	XP_005850175.1 hypothetical protein CHLNCDRAFT_142359 [Chlorella variabilis]	KAI3428338.1 hypothetical protein D9Q98_006718 [Chlorella vulgaris]
OG0003054	XP_005850421.1 hypothetical protein CHLNCDRAFT_142343 [Chlorella variabilis]	KAI3428325.1 hypothetical protein D9Q98_006705 [Chlorella vulgaris]
OG0003055	XP_005843123.1 hypothetical protein CHLNCDRAFT_55386 [Chlorella variabilis]	KAI3424405.1 hypothetical protein D9Q98_009957 [Chlorella vulgaris]
OG0003056	XP_005850550.1 hypothetical protein CHLNCDRAFT_29747 [Chlorella variabilis]	KAI3436880.1 hypothetical protein D9Q98_006288 [Chlorella vulgaris]
OG0003057	XP_005850194.1 hypothetical protein CHLNCDRAFT_34496 [Chlorella variabilis]	KAI3428381.1 hypothetical protein D9Q98_006761 [Chlorella vulgaris]
OG0003058	XP_005849789.1 hypothetical protein CHLNCDRAFT_142879 [Chlorella variabilis]	KAI3438554.1 hypothetical protein D9Q98_000982 [Chlorella vulgaris]
OG0003059	XP_005850549.1 hypothetical protein CHLNCDRAFT_48112 [Chlorella variabilis]	KAI3436886.1 hypothetical protein D9Q98_006294 [Chlorella vulgaris]
OG0003060	XP_005846257.1 hypothetical protein CHLNCDRAFT_13101_ partial [Chlorella variabilis]	KAI3435919.1 hypothetical protein D9Q98_001977 [Chlorella vulgaris]
OG0003061	XP_005845738.1 hypothetical protein CHLNCDRAFT_58432 [Chlorella variabilis]	KAI3425313.1 hypothetical protein D9Q98_009078 [Chlorella vulgaris]
OG0003062	XP_005849920.1 hypothetical protein CHLNCDRAFT_21084 [Chlorella variabilis]	KAI3438844.1 hypothetical protein D9Q98_001261 [Chlorella vulgaris]
OG0003063	XP_005847414.1 hypothetical protein CHLNCDRAFT_52503 [Chlorella variabilis]	KAI3428659.1 hypothetical protein D9Q98_007482 [Chlorella vulgaris]
OG0003064	XP_005847413.1 hypothetical protein CHLNCDRAFT_134278 [Chlorella variabilis]	KAI3428662.1 hypothetical protein D9Q98_007485 [Chlorella vulgaris]
OG0003065	XP_005844243.1 hypothetical protein CHLNCDRAFT_56325 [Chlorella variabilis]	KAI3426090.1 hypothetical protein D9Q98_008058 [Chlorella vulgaris]
OG0003066	XP_005847364.1 hypothetical protein CHLNCDRAFT_57908 [Chlorella variabilis]	KAI3428769.1 hypothetical protein D9Q98_007590 [Chlorella vulgaris]
OG0003067	XP_005847260.1 hypothetical protein CHLNCDRAFT_57944 [Chlorella variabilis]	KAI3428672.1 hypothetical protein D9Q98_007495 [Chlorella vulgaris]
OG0003068	XP_005847405.1 hypothetical protein CHLNCDRAFT_23687_ partial [Chlorella variabilis]	KAI3428676.1 hypothetical protein D9Q98_007499 [Chlorella vulgaris]
OG0003069	XP_005847396.1 hypothetical protein CHLNCDRAFT_134243 [Chlorella variabilis]	KAI3428691.1 hypothetical protein D9Q98_007514 [Chlorella vulgaris]
OG0003070	XP_005844157.1 hypothetical protein CHLNCDRAFT_139273 [Chlorella variabilis]	KAI3426089.1 hypothetical protein D9Q98_008057 [Chlorella vulgaris]
OG0003071	XP_005847365.1 hypothetical protein CHLNCDRAFT_31189 [Chlorella variabilis]	KAI3428763.1 hypothetical protein D9Q98_007584 [Chlorella vulgaris]
OG0003072	XP_005847265.1 hypothetical protein CHLNCDRAFT_134279 [Chlorella variabilis]	KAI3428661.1 hypothetical protein D9Q98_007484 [Chlorella vulgaris]
OG0003073	XP_005847400.1 hypothetical protein CHLNCDRAFT_57939 [Chlorella variabilis]	KAI3428684.1 hypothetical protein D9Q98_007507 [Chlorella vulgaris]
OG0003074	XP_005849844.1 hypothetical protein CHLNCDRAFT_34723 [Chlorella variabilis]	KAI3438665.1 hypothetical protein D9Q98_001086 [Chlorella vulgaris]
OG0003075	XP_005851177.1 hypothetical protein CHLNCDRAFT_18937 [Chlorella variabilis]	KAI3433671.1 hypothetical protein D9Q98_003480 [Chlorella vulgaris]
OG0003076	XP_005843525.1 hypothetical protein CHLNCDRAFT_28067_ partial [Chlorella variabilis]	KAI3432690.1 hypothetical protein D9Q98_004233 [Chlorella vulgaris]
OG0003077	XP_005850970.1 hypothetical protein CHLNCDRAFT_34202 [Chlorella variabilis]	KAI3436596.1 hypothetical protein D9Q98_006013 [Chlorella vulgaris]
OG0003078	XP_005850636.1 hypothetical protein CHLNCDRAFT_19680_ partial [Chlorella variabilis]	KAI3436690.1 hypothetical protein D9Q98_006105 [Chlorella vulgaris]
OG0003079	XP_005845158.1 hypothetical protein CHLNCDRAFT_137326 [Chlorella variabilis]	KAI3424748.1 hypothetical protein D9Q98_008137 [Chlorella vulgaris]
OG0003080	XP_005850612.1 hypothetical protein CHLNCDRAFT_56004 [Chlorella variabilis]	KAI3436741.1 hypothetical protein D9Q98_006156 [Chlorella vulgaris]
OG0003081	XP_005846112.1 hypothetical protein CHLNCDRAFT_59721 [Chlorella variabilis]	KAI3431340.1 hypothetical protein D9Q98_004397 [Chlorella vulgaris]
OG0003082	XP_005845086.1 hypothetical protein CHLNCDRAFT_26277_ partial [Chlorella variabilis]	KAI3424828.1 hypothetical protein D9Q98_008214 [Chlorella vulgaris]
OG0003083	XP_005845194.1 hypothetical protein CHLNCDRAFT_137413 [Chlorella variabilis]	KAI3424832.1 hypothetical protein D9Q98_008218 [Chlorella vulgaris]
OG0003083	XP_005845195.1 hypothetical protein CHLNCDRAFT_137414 [Chlorella variabilis]	KAI3424833.1 hypothetical protein D9Q98_008219 [Chlorella vulgaris]
OG0003084	XP_005850890.1 hypothetical protein CHLNCDRAFT_34107 [Chlorella variabilis]	KAI3436758.1 hypothetical protein D9Q98_006170 [Chlorella vulgaris]
OG0003085	XP_005850611.1 hypothetical protein CHLNCDRAFT_140567 [Chlorella variabilis]	KAI3436743.1 hypothetical protein D9Q98_006158 [Chlorella vulgaris]
OG0003086	XP_005851171.1 hypothetical protein CHLNCDRAFT_137805 [Chlorella variabilis]	KAI3433683.1 hypothetical protein D9Q98_003492 [Chlorella vulgaris]
OG0003087	XP_005847622.1 hypothetical protein CHLNCDRAFT_23208 [Chlorella variabilis]	KAI3425876.1 hypothetical protein D9Q98_007849 [Chlorella vulgaris]
OG0003089	XP_005849071.1 hypothetical protein CHLNCDRAFT_143558 [Chlorella variabilis]	KAI3434905.1 hypothetical protein D9Q98_002959 [Chlorella vulgaris]
OG0003090	XP_005843893.1 hypothetical protein CHLNCDRAFT_32922 [Chlorella variabilis]	KAI3434552.1 hypothetical protein D9Q98_002625 [Chlorella vulgaris]
OG0003091	XP_005845989.1 hypothetical protein CHLNCDRAFT_58364 [Chlorella variabilis]	KAI3431341.1 hypothetical protein D9Q98_004398 [Chlorella vulgaris]
OG0003092	XP_005845204.1 hypothetical protein CHLNCDRAFT_137436 [Chlorella variabilis], XP_005842734.1 hypothetical protein CHLNCDRAFT_28927_ partial [Chlorella variabilis], XP_005845205.1 hypothetical protein CHLNCDRAFT_26240_ partial [Chlorella variabilis]	KAI3424857.1 hypothetical protein D9Q98_008241 [Chlorella vulgaris]
OG0003093	XP_005845087.1 expressed protein [Chlorella variabilis]	KAI3424830.1 hypothetical protein D9Q98_008216 [Chlorella vulgaris]
OG0003094	XP_005849109.1 hypothetical protein CHLNCDRAFT_143670 [Chlorella variabilis], XP_005850897.1 hypothetical protein CHLNCDRAFT_50289 [Chlorella variabilis]	KAI3436734.1 hypothetical protein D9Q98_006149 [Chlorella vulgaris]
OG0003095	XP_005850601.1 hypothetical protein CHLNCDRAFT_59578 [Chlorella variabilis]	KAI3436770.1 hypothetical protein D9Q98_006182 [Chlorella vulgaris]
OG0003096	XP_005846964.1 hypothetical protein CHLNCDRAFT_24292_ partial [Chlorella variabilis]	KAI3438047.1 hypothetical protein D9Q98_000490 [Chlorella vulgaris]
OG0003097	XP_005844042.1 hypothetical protein CHLNCDRAFT_11521_ partial [Chlorella variabilis]	KAI3430682.1 hypothetical protein D9Q98_005271 [Chlorella vulgaris]
OG0003098	XP_005843605.1 hypothetical protein CHLNCDRAFT_18031_ partial [Chlorella variabilis]	KAI3432639.1 hypothetical protein D9Q98_004185 [Chlorella vulgaris]
OG0003099	XP_005844020.1 hypothetical protein CHLNCDRAFT_32796 [Chlorella variabilis]	KAI3430634.1 hypothetical protein D9Q98_005227 [Chlorella vulgaris]
OG0003100	XP_005851987.1 hypothetical protein CHLNCDRAFT_49321 [Chlorella variabilis]	KAI3429248.1 hypothetical protein D9Q98_005345 [Chlorella vulgaris]
OG0003101	XP_005845897.1 hypothetical protein CHLNCDRAFT_53603 [Chlorella variabilis]	KAI3425224.1 hypothetical protein D9Q98_008992 [Chlorella vulgaris]
OG0003102	XP_005844559.1 hypothetical protein CHLNCDRAFT_12611_ partial [Chlorella variabilis]	KAI3430422.1 hypothetical protein D9Q98_005017 [Chlorella vulgaris], KAI3430421.1 hypothetical protein D9Q98_005016 [Chlorella vulgaris]
OG0003103	XP_005851091.1 CPD photolyase [Chlorella variabilis]	KAI3433882.1 hypothetical protein D9Q98_003684 [Chlorella vulgaris]
OG0003104	XP_005847329.1 hypothetical protein CHLNCDRAFT_134489 [Chlorella variabilis]	KAI3428483.1 hypothetical protein D9Q98_007308 [Chlorella vulgaris]
OG0003105	XP_005845823.1 hypothetical protein CHLNCDRAFT_58500 [Chlorella variabilis]	KAI3425118.1 hypothetical protein D9Q98_008890 [Chlorella vulgaris]
OG0003106	XP_005847541.1 hypothetical protein CHLNCDRAFT_35384 [Chlorella variabilis]	KAI3425710.1 hypothetical protein D9Q98_007686 [Chlorella vulgaris]
OG0003107	XP_005843492.1 hypothetical protein CHLNCDRAFT_141008 [Chlorella variabilis]	KAI3432740.1 hypothetical protein D9Q98_004281 [Chlorella vulgaris]
OG0003108	XP_005844465.1 hypothetical protein CHLNCDRAFT_15662_ partial [Chlorella variabilis]	KAI3430411.1 hypothetical protein D9Q98_005006 [Chlorella vulgaris]
OG0003109	XP_005851183.1 hypothetical protein CHLNCDRAFT_9310_ partial [Chlorella variabilis]	KAI3433655.1 hypothetical protein D9Q98_003464 [Chlorella vulgaris]
OG0003110	XP_005847300.1 hypothetical protein CHLNCDRAFT_134409 [Chlorella variabilis]	KAI3428544.1 hypothetical protein D9Q98_007366 [Chlorella vulgaris]
OG0003111	XP_005852084.1 hypothetical protein CHLNCDRAFT_133107 [Chlorella variabilis]	KAI3429426.1 hypothetical protein D9Q98_005520 [Chlorella vulgaris]
OG0003112	XP_005852042.1 hypothetical protein CHLNCDRAFT_133012 [Chlorella variabilis]	KAI3429347.1 hypothetical protein D9Q98_005442 [Chlorella vulgaris]
OG0003113	XP_005846672.1 hypothetical protein CHLNCDRAFT_135387 [Chlorella variabilis]	KAI3424975.1 hypothetical protein D9Q98_008356 [Chlorella vulgaris]
OG0003114	XP_005851666.1 hypothetical protein CHLNCDRAFT_56429 [Chlorella variabilis]	KAI3429247.1 hypothetical protein D9Q98_005344 [Chlorella vulgaris]
OG0003115	XP_005846306.1 hypothetical protein CHLNCDRAFT_135679 [Chlorella variabilis]	KAI3435813.1 hypothetical protein D9Q98_001871 [Chlorella vulgaris]
OG0003116	XP_005846230.1 hypothetical protein CHLNCDRAFT_13944_ partial [Chlorella variabilis]	KAI3435962.1 hypothetical protein D9Q98_002020 [Chlorella vulgaris]
OG0003117	XP_005846815.1 hypothetical protein CHLNCDRAFT_135382 [Chlorella variabilis]	KAI3424979.1 hypothetical protein D9Q98_008360 [Chlorella vulgaris]
OG0003118	XP_005846478.1 hypothetical protein CHLNCDRAFT_31757 [Chlorella variabilis]	KAI3435819.1 hypothetical protein D9Q98_001877 [Chlorella vulgaris]
